EREVAN     LATITUDE    40.5      LONGITUDE     44.17     ALTITUDE    2000 M
EREVAN     INSTRUMENT   18NM64    NEUTRON MONITOR     
EREVAN     STANDARD PRESSURE    792.8   mb     COEFFICIENT   -0.71     % / mb
EREVAN     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
EREVAN     PRE-INCREASE AVERAGE COUNTING RATE     22.79      COUNTS PER SECOND
EREVAN     TIME INTERVALS    300         3600     
EREVAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
EREVAN     031027 3600 000000-010000   00      22.71  794.3     22.96     0.70    -9999
EREVAN     031027 3600 010000-020000   00      22.82  795.1     23.19     1.80    -9999
EREVAN     031027 3600 020000-030000   00      22.72  795.8     23.21     1.80    -9999
EREVAN     031027 3600 030000-040000   00      22.71  796.1     23.25     2.00    -9999
EREVAN     031027 3600 040000-050000   00      22.55  797.1     23.25     2.00    -9999
EREVAN     031027 3600 050000-060000   00      22.55  797.7     23.35     2.50    -9999
EREVAN     031027 3600 060000-070000   00      22.51  798.0     23.35     2.50    -9999
EREVAN     031027 3600 070000-080000   00      22.48  798.2     23.36     2.50    -9999
EREVAN     031027 3600 080000-090000   00      22.53  798.0     23.38     2.60    -9999
EREVAN     031027 3600 090000-100000   00      22.63  797.6     23.41     2.70    -9999
EREVAN     031027 3600 100000-110000   00      22.56  797.5     23.33     2.40    -9999
EREVAN     031027 3600 110000-120000   00      22.58  797.7     23.38     2.60    -9999
EREVAN     031027 3600 120000-130000   00      22.55  797.9     23.38     2.60    -9999
EREVAN     031027 3600 130000-140000   00      22.52  797.8     23.34     2.40    -9999
EREVAN     031027 3600 140000-150000   00      22.43  798.0     23.28     2.10    -9999
EREVAN     031027 3600 150000-160000   00      22.32  798.2     23.20     1.80    -9999
EREVAN     031027 3600 160000-170000   00      22.39  798.2     23.26     2.10    -9999
