HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    1012.3  mb     COEFFICIENT   -0.73     % / mb
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    110.14      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
HERMANUS   031027 3600 000000-010000   00     105.79 1015.5    108.29    -1.70    -9999
HERMANUS   031027 3600 010000-020000   00     107.01 1015.1    109.22    -0.80    -9999
HERMANUS   031027 3600 020000-030000   00     108.10 1014.7    110.01    -0.10    -9999
HERMANUS   031027 3600 030000-040000   00     109.04 1014.4    110.72     0.50    -9999
HERMANUS   031027 3600 040000-050000   00     108.89 1014.3    110.49     0.30    -9999
HERMANUS   031027 3600 050000-060000   00     108.87 1014.2    110.39     0.20    -9999
HERMANUS   031027 3600 060000-070000   00     109.87 1013.7    111.00     0.80    -9999
HERMANUS   031027 3600 070000-080000   00     110.37 1013.2    111.10     0.90    -9999
HERMANUS   031027 3600 080000-090000   00     112.12 1012.9    112.61     2.20    -9999
HERMANUS   031027 3600 090000-100000   00     113.46 1012.1    113.30     2.90    -9999
HERMANUS   031027 3600 100000-110000   00     114.55 1011.2    113.64     3.20    -9999
HERMANUS   031027 3600 110000-120000   00     116.33 1010.4    114.73     4.20    -9999
HERMANUS   031027 3600 120000-130000   00     117.80 1009.7    115.58     4.90    -9999
HERMANUS   031027 3600 130000-140000   00     118.07 1009.6    115.77     5.10    -9999
HERMANUS   031027 3600 140000-150000   00     118.35 1009.5    115.96     5.30    -9999
HERMANUS   031027 3600 150000-160000   00     117.82 1009.8    115.69     5.00    -9999
HERMANUS   031027 3600 160000-170000   00     117.35 1010.0    115.40     4.80    -9999
HERMANUS   031027 3600 170000-180000   00     115.41 1010.7    114.07     3.60    -9999
HERMANUS   031027 3600 180000-190000   00     114.70 1011.2    113.78     3.30    -9999
HERMANUS   031027 3600 190000-200000   00     114.36 1011.3    113.53     3.10    -9999
HERMANUS   031027 3600 200000-210000   00     113.23 1011.6    112.65     2.30    -9999
HERMANUS   031027 3600 210000-220000   00     113.54 1011.7    113.05     2.60    -9999
HERMANUS   031027 3600 220000-230000   00     113.97 1011.4    113.23     2.80    -9999
HERMANUS   031027 3600 230000-240000   00     114.02 1010.8    112.78     2.40    -9999
HERMANUS   031028 3600 000000-010000   00     114.63 1010.5    113.13     2.70    -9999
HERMANUS   031028 3600 010000-020000   00     114.48 1010.3    112.82     2.40    -9999
HERMANUS   031028 3600 020000-030000   00     113.55 1010.0    111.66     1.40    -9999
HERMANUS   031028 3600 030000-040000   00     111.73 1010.4    110.19     0.00    -9999
HERMANUS   031028 3600 040000-050000   00     109.88 1010.8    108.68    -1.30    -9999
HERMANUS   031028 3600 050000-060000   00     109.04 1011.5    108.40    -1.60    -9999
HERMANUS   031028 3600 060000-070000   00     109.74 1011.9    109.42    -0.70    -9999
HERMANUS   031028 3600 070000-080000   00     109.93 1012.4    110.01    -0.10    -9999
HERMANUS   031028 3600 080000-090000   00     111.22 1012.6    111.46     1.20    -9999
HERMANUS   031028 3600 090000-100000   00     111.01 1012.4    111.09     0.90    -9999
HERMANUS   031028 300  100000-100500   00     109.28 1012.3    109.28    -0.80    -9999
HERMANUS   031028 300  100500-101000   00     111.07 1012.3    111.06     0.80    -9999
HERMANUS   031028 300  101000-101500   00     110.98 1012.3    110.97     0.70    -9999
HERMANUS   031028 300  101500-102000   00     111.24 1012.3    111.22     1.00    -9999
HERMANUS   031028 300  102000-102500   00     110.37 1012.3    110.34     0.20    -9999
HERMANUS   031028 300  102500-103000   00     111.81 1012.3    111.78     1.50    -9999
HERMANUS   031028 300  103000-103500   00     111.89 1012.2    111.84     1.50    -9999
HERMANUS   031028 300  103500-104000   00     108.35 1012.2    108.30    -1.70    -9999
HERMANUS   031028 300  104000-104500   00     109.11 1012.2    109.05    -1.00    -9999
HERMANUS   031028 300  104500-105000   00     108.91 1012.2    108.84    -1.20    -9999
HERMANUS   031028 300  105000-105500   00     109.85 1012.2    109.78    -0.30    -9999
HERMANUS   031028 300  105500-110000   00     108.86 1012.2    108.79    -1.20    -9999
HERMANUS   031028 300  110000-110500   00     109.17 1012.2    109.08    -0.90    -9999
HERMANUS   031028 300  110500-111000   00     112.79 1012.2    112.67     2.30    -9999
HERMANUS   031028 300  111000-111500   00     110.64 1012.1    110.52     0.30    -9999
HERMANUS   031028 300  111500-112000   00     113.77 1012.1    113.61     3.10    -9999
HERMANUS   031028 300  112000-112500   00     113.60 1012.1    113.43     3.00    -9999
HERMANUS   031028 300  112500-113000   00     110.89 1012.1    110.70     0.50    -9999
HERMANUS   031028 300  113000-113500   00     110.65 1012.0    110.44     0.30    -9999
HERMANUS   031028 300  113500-114000   00     108.57 1012.0    108.34    -1.60    -9999
HERMANUS   031028 300  114000-114500   00     111.48 1012.0    111.22     1.00    -9999
HERMANUS   031028 300  114500-115000   00     110.32 1012.0    110.05    -0.10    -9999
HERMANUS   031028 300  115000-115500   00     111.27 1011.9    110.98     0.70    -9999
HERMANUS   031028 300  115500-120000   00     111.21 1011.9    110.90     0.70    -9999
HERMANUS   031028 300  120000-120500   00     111.08 1011.9    110.75     0.60    -9999
HERMANUS   031028 300  120500-121000   00     111.77 1011.9    111.42     1.20    -9999
