INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1017.6  mb     COEFFICIENT   -0.74     % / mb
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    159.99      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
INUVIK     031027 3600 000000-010000   00     170.55 1012.2    163.87     2.40    -9999
INUVIK     031027 3600 010000-020000   00     171.27 1012.4    164.81     3.00    -9999
INUVIK     031027 3600 020000-030000   00     172.32 1012.7    166.18     3.90    -9999
INUVIK     031027 3600 030000-040000   00     173.17 1012.9    167.25     4.50    -9999
INUVIK     031027 3600 040000-050000   00     172.20 1013.0    166.44     4.00    -9999
INUVIK     031027 3600 050000-060000   00     172.04 1013.2    166.53     4.10    -9999
INUVIK     031027 3600 060000-070000   00     171.79 1013.3    166.41     4.00    -9999
INUVIK     031027 3600 070000-080000   00     171.34 1013.6    166.34     4.00    -9999
INUVIK     031027 3600 080000-090000   00     169.44 1013.9    164.87     3.10    -9999
INUVIK     031027 3600 090000-100000   00     167.64 1014.3    163.60     2.30    -9999
INUVIK     031027 3600 100000-110000   00     166.73 1014.5    162.95     1.90    -9999
INUVIK     031027 3600 110000-120000   00     166.42 1014.7    162.89     1.80    -9999
INUVIK     031027 3600 120000-130000   00     166.15 1014.9    162.86     1.80    -9999
INUVIK     031027 3600 130000-140000   00     166.91 1015.0    163.73     2.30    -9999
INUVIK     031027 3600 140000-150000   00     167.02 1015.2    164.08     2.60    -9999
INUVIK     031027 3600 150000-160000   00     167.35 1015.3    164.52     2.80    -9999
INUVIK     031027 3600 160000-170000   00     167.34 1015.1    164.28     2.70    -9999
INUVIK     031027 3600 170000-180000   00     167.34 1015.2    164.39     2.80    -9999
INUVIK     031027 3600 180000-190000   00     166.30 1015.2    163.38     2.10    -9999
INUVIK     031027 3600 190000-200000   00     166.07 1015.3    163.27     2.10    -9999
INUVIK     031027 3600 200000-210000   00     166.58 1015.3    163.77     2.40    -9999
INUVIK     031027 3600 210000-220000   00     167.13 1015.6    164.68     2.90    -9999
INUVIK     031027 3600 220000-230000   00     167.14 1015.6    164.68     2.90    -9999
INUVIK     031027 3600 230000-240000   00     166.09 1015.5    163.53     2.20    -9999
INUVIK     031028 3600 000000-010000   00     167.57 1015.4    164.86     3.00    -9999
INUVIK     031028 3600 010000-020000   00     168.12 1015.3    165.28     3.30    -9999
INUVIK     031028 3600 020000-030000   00     168.10 1015.4    165.39     3.40    -9999
INUVIK     031028 3600 030000-040000   00     167.47 1015.6    165.01     3.10    -9999
INUVIK     031028 3600 040000-050000   00     167.53 1015.7    165.19     3.30    -9999
INUVIK     031028 3600 050000-060000   00     166.22 1015.9    164.14     2.60    -9999
INUVIK     031028 3600 060000-070000   00     164.73 1015.9    162.67     1.70    -9999
INUVIK     031028 3600 070000-080000   00     163.18 1016.5    161.86     1.20    -9999
INUVIK     031028 3600 080000-090000   00     162.00 1016.9    161.16     0.70    -9999
INUVIK     031028 300  090000-090500   00     162.28 1017.1    161.70     1.10    -9999
INUVIK     031028 300  090500-091000   00     163.18 1017.2    162.65     1.70    -9999
INUVIK     031028 300  091000-091500   00     161.80 1017.2    161.32     0.80    -9999
INUVIK     031028 300  091500-092000   00     159.16 1017.2    158.74    -0.80    -9999
INUVIK     031028 300  092000-092500   00     161.40 1017.3    161.02     0.60    -9999
INUVIK     031028 300  092500-093000   00     161.20 1017.3    160.87     0.60    -9999
INUVIK     031028 300  093000-093500   00     161.94 1017.4    161.66     1.00    -9999
