IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    802.3   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    177.36      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   031027 3600 000000-010000   00    -999.00 -999.0    180.65     1.60    -9999
IRKUTSK2   031027 3600 010000-020000   00    -999.00 -999.0    183.12     3.00    -9999
IRKUTSK2   031027 3600 020000-030000   00    -999.00 -999.0    182.04     2.40    -9999
IRKUTSK2   031027 3600 030000-040000   00    -999.00 -999.0    181.20     1.90    -9999
IRKUTSK2   031027 3600 040000-050000   00    -999.00 -999.0    180.40     1.40    -9999
IRKUTSK2   031027 3600 050000-060000   00    -999.00 -999.0    181.66     2.10    -9999
IRKUTSK2   031027 3600 060000-070000   00    -999.00 -999.0    182.25     2.50    -9999
IRKUTSK2   031027 3600 070000-080000   00    -999.00 -999.0    182.60     2.70    -9999
IRKUTSK2   031027 3600 080000-090000   00    -999.00 -999.0    183.08     2.90    -9999
IRKUTSK2   031027 3600 090000-100000   00    -999.00 -999.0    182.74     2.70    -9999
IRKUTSK2   031027 3600 100000-110000   00    -999.00 -999.0    183.01     2.90    -9999
IRKUTSK2   031027 3600 110000-120000   00    -999.00 -999.0    183.19     3.00    -9999
IRKUTSK2   031027 3600 120000-130000   00    -999.00 -999.0    182.56     2.60    -9999
IRKUTSK2   031027 3600 130000-140000   00    -999.00 -999.0    182.74     2.70    -9999
IRKUTSK2   031027 3600 140000-150000   00    -999.00 -999.0    181.62     2.10    -9999
IRKUTSK2   031027 3600 150000-160000   00    -999.00 -999.0    181.20     1.90    -9999
IRKUTSK2   031027 3600 160000-170000   00    -999.00 -999.0    181.24     1.90    -9999
IRKUTSK2   031027 3600 170000-180000   00    -999.00 -999.0    181.90     2.30    -9999
IRKUTSK2   031027 3600 180000-190000   00    -999.00 -999.0    181.13     1.80    -9999
IRKUTSK2   031027 3600 190000-200000   00    -999.00 -999.0    182.07     2.40    -9999
IRKUTSK2   031027 3600 200000-210000   00    -999.00 -999.0    181.13     1.80    -9999
IRKUTSK2   031027 3600 210000-220000   00    -999.00 -999.0    177.82     0.00    -9999
IRKUTSK2   031027 3600 220000-230000   00    -999.00 -999.0    175.98    -1.10    -9999
IRKUTSK2   031027 3600 230000-240000   00    -999.00 -999.0    175.21    -1.50    -9999
IRKUTSK2   031028 3600 000000-010000   00     180.88  799.0    176.67    -0.70    -9999
IRKUTSK2   031028 3600 010000-020000   00     184.60  798.8    180.05     1.20    -9999
IRKUTSK2   031028 3600 020000-030000   00     187.12  798.9    182.64     2.70    -9999
IRKUTSK2   031028 3600 030000-040000   00     187.81  799.3    183.83     3.40    -9999
IRKUTSK2   031028 3600 040000-050000   00     187.58  799.2    183.48     3.20    -9999
IRKUTSK2   031028 3600 050000-060000   00     186.24  799.4    182.42     2.60    -9999
IRKUTSK2   031028 3600 060000-070000   00     184.40  799.9    181.27     1.90    -9999
IRKUTSK2   031028 3600 070000-080000   00     182.71  800.5    180.38     1.40    -9999
IRKUTSK2   031028 3600 080000-090000   00     181.96  801.2    180.54     1.50    -9999
IRKUTSK2   031028 300  090000-090500   00     181.00  801.8    180.38     1.40    -9999
