IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    723.2   mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    335.36      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   031027 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 150000-160000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 210000-220000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 220000-230000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031027 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK3   031028 3600 000000-010000   00     353.20  719.9    344.91     2.80    -9999
IRKUTSK3   031028 3600 010000-020000   00     355.53  720.2    347.93     3.70    -9999
