JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    138.19      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU1  031027 3600 000000-010000   20     136.88  484.2    139.80     1.20    -9999
JUNGFRAU1  031027 3600 010000-020000   20     137.80  484.2    140.72     1.80    -9999
JUNGFRAU1  031027 3600 020000-030000   20     138.22  484.1    141.00     2.00    -9999
JUNGFRAU1  031027 3600 030000-040000   20     139.04  484.1    141.93     2.70    -9999
JUNGFRAU1  031027 3600 040000-050000   20     139.11  484.2    142.10     2.80    -9999
JUNGFRAU1  031027 3600 050000-060000   20     139.14  484.4    142.37     3.00    -9999
JUNGFRAU1  031027 3600 060000-070000   20     138.58  484.7    142.19     2.90    -9999
JUNGFRAU1  031027 3600 070000-080000   20     137.72  485.1    141.82     2.60    -9999
JUNGFRAU1  031027 3600 080000-090000   20     137.90  485.5    142.57     3.20    -9999
JUNGFRAU1  031027 3600 090000-100000   20     137.93  485.8    142.99     3.50    -9999
JUNGFRAU1  031027 3600 100000-110000   20     137.96  486.0    143.34     3.70    -9999
JUNGFRAU1  031027 3600 110000-120000   20     137.57  486.1    143.12     3.60    -9999
JUNGFRAU1  031027 3600 120000-130000   20     137.59  486.3    143.37     3.70    -9999
JUNGFRAU1  031027 3600 130000-140000   20     136.62  486.5    142.62     3.20    -9999
JUNGFRAU1  031027 3600 140000-150000   20     137.51  486.5    143.68     4.00    -9999
JUNGFRAU1  031027 3600 150000-160000   20     136.48  486.6    142.67     3.20    -9999
JUNGFRAU1  031027 3600 160000-170000   20     136.41  486.9    142.92     3.40    -9999
JUNGFRAU1  031027 3600 170000-180000   20     135.73  487.0    142.40     3.00    -9999
JUNGFRAU1  031027 3600 180000-190000   20     135.39  487.0    142.07     2.80    -9999
