JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    931028    100000-110000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    317.94      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU   031027 3600 000000-010000   20     296.22  490.7    321.97     1.30    -9999
JUNGFRAU   031027 3600 010000-020000   20     297.33  490.7    323.21     1.70    -9999
JUNGFRAU   031027 3600 020000-030000   20     298.84  490.6    324.49     2.10    -9999
JUNGFRAU   031027 3600 030000-040000   20     299.51  490.7    325.46     2.40    -9999
JUNGFRAU   031027 3600 040000-050000   20     300.27  490.8    326.73     2.80    -9999
JUNGFRAU   031027 3600 050000-060000   20     300.76  490.9    327.59     3.00    -9999
JUNGFRAU   031027 3600 060000-070000   20     299.27  491.2    326.92     2.80    -9999
JUNGFRAU   031027 3600 070000-080000   20     297.63  491.6    326.41     2.70    -9999
JUNGFRAU   031027 3600 080000-090000   20     298.56  492.1    328.79     3.40    -9999
JUNGFRAU   031027 3600 090000-100000   20     297.58  492.3    328.58     3.30    -9999
JUNGFRAU   031027 3600 100000-110000   20     297.23  492.5    328.89     3.40    -9999
JUNGFRAU   031027 3600 110000-120000   20     297.66  492.7    329.82     3.70    -9999
JUNGFRAU   031027 3600 120000-130000   20     297.28  492.9    330.02     3.80    -9999
JUNGFRAU   031027 3600 130000-140000   20     296.31  493.1    329.54     3.60    -9999
JUNGFRAU   031027 3600 140000-150000   20     295.72  493.2    329.28     3.60    -9999
JUNGFRAU   031027 3600 150000-160000   20     294.99  493.3    328.85     3.40    -9999
JUNGFRAU   031027 3600 160000-170000   20     293.74  493.5    328.15     3.20    -9999
JUNGFRAU   031027 3600 170000-180000   20     293.68  493.8    328.86     3.40    -9999
JUNGFRAU   031027 3600 180000-190000   20     292.92  494.0    328.54     3.30    -9999
