KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    187.63      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  031027 300  000000-000500   10     170.13  762.6    192.93     2.80    -9999
KERGUELEN  031027 300  000500-001000   10     170.53  762.5    193.33     3.00    -9999
KERGUELEN  031027 300  001000-001500   10     168.80  762.6    191.47     2.00    -9999
KERGUELEN  031027 300  001500-002000   10     170.80  762.6    193.87     3.30    -9999
KERGUELEN  031027 300  002000-002500   10     169.87  762.6    192.67     2.70    -9999
KERGUELEN  031027 300  002500-003000   10     169.73  762.6    192.53     2.60    -9999
KERGUELEN  031027 300  003000-003500   10     167.47  762.7    190.27     1.40    -9999
KERGUELEN  031027 300  003500-004000   10     169.73  762.6    192.67     2.70    -9999
KERGUELEN  031027 300  004000-004500   10     169.60  762.6    192.40     2.50    -9999
KERGUELEN  031027 300  004500-005000   10     168.93  762.4    191.33     2.00    -9999
KERGUELEN  031027 300  005000-005500   10     168.27  762.4    190.40     1.50    -9999
KERGUELEN  031027 300  005500-010000   10     165.60  762.4    187.60     0.00    -9999
KERGUELEN  031027 300  010000-010500   10     168.40  762.4    190.53     1.50    -9999
KERGUELEN  031027 300  010500-011000   10     171.60  762.4    194.27     3.50    -9999
KERGUELEN  031027 300  011000-011500   10     170.53  762.5    193.20     3.00    -9999
KERGUELEN  031027 300  011500-012000   10     167.20  762.6    189.73     1.10    -9999
KERGUELEN  031027 300  012000-012500   10     169.20  762.5    191.87     2.30    -9999
KERGUELEN  031027 300  012500-013000   10     169.87  762.7    192.93     2.80    -9999
KERGUELEN  031027 300  013000-013500   10     170.53  762.4    193.07     2.90    -9999
KERGUELEN  031027 300  013500-014000   10     168.67  762.6    191.33     2.00    -9999
KERGUELEN  031027 300  014000-014500   10     170.67  762.4    193.20     3.00    -9999
KERGUELEN  031027 300  014500-015000   10     169.07  762.3    191.20     1.90    -9999
KERGUELEN  031027 300  015000-015500   10     172.53  762.2    195.07     4.00    -9999
KERGUELEN  031027 300  015500-020000   10     170.40  762.3    192.80     2.80    -9999
KERGUELEN  031027 300  020000-020500   10     170.40  762.3    192.67     2.70    -9999
KERGUELEN  031027 300  020500-021000   10     169.60  762.1    191.47     2.00    -9999
KERGUELEN  031027 300  021000-021500   10     169.73  762.1    191.60     2.10    -9999
KERGUELEN  031027 300  021500-022000   10     172.40  762.0    194.40     3.60    -9999
KERGUELEN  031027 300  022000-022500   10     172.13  761.8    193.73     3.30    -9999
KERGUELEN  031027 300  022500-023000   10     172.27  761.7    193.73     3.30    -9999
KERGUELEN  031027 300  023000-023500   10     170.27  761.8    191.60     2.10    -9999
KERGUELEN  031027 300  023500-024000   10     173.07  761.8    194.80     3.80    -9999
KERGUELEN  031027 300  024000-024500   10     172.40  761.9    194.27     3.50    -9999
KERGUELEN  031027 300  024500-025000   10     169.73  761.7    190.80     1.70    -9999
KERGUELEN  031027 300  025000-025500   10     172.40  761.7    193.87     3.30    -9999
KERGUELEN  031027 300  025500-030000   10     172.80  761.6    194.13     3.50    -9999
KERGUELEN  031027 300  030000-030500   10     172.67  761.5    193.73     3.30    -9999
KERGUELEN  031027 300  030500-031000   10     171.73  761.6    192.80     2.80    -9999
KERGUELEN  031027 300  031000-031500   10     172.93  761.7    194.53     3.70    -9999
KERGUELEN  031027 300  031500-032000   10     171.60  761.5    192.53     2.60    -9999
KERGUELEN  031027 300  032000-032500   10     170.93  761.5    191.73     2.20    -9999
KERGUELEN  031027 300  032500-033000   10     173.73  761.3    194.67     3.80    -9999
KERGUELEN  031027 300  033000-033500   10     171.87  761.4    192.53     2.60    -9999
KERGUELEN  031027 300  033500-034000   10     174.27  761.2    194.93     3.90    -9999
KERGUELEN  031027 300  034000-034500   10     173.20  761.3    193.87     3.30    -9999
KERGUELEN  031027 300  034500-035000   10     173.60  761.3    194.40     3.60    -9999
KERGUELEN  031027 300  035000-035500   10     172.67  761.2    193.20     3.00    -9999
KERGUELEN  031027 300  035500-040000   10     173.07  761.1    193.33     3.00    -9999
KERGUELEN  031027 300  040000-040500   10     173.87  761.0    194.13     3.50    -9999
KERGUELEN  031027 300  040500-041000   10     173.73  760.9    193.73     3.30    -9999
KERGUELEN  031027 300  041000-041500   10     172.27  760.9    192.13     2.40    -9999
KERGUELEN  031027 300  041500-042000   10     172.93  760.9    192.93     2.80    -9999
KERGUELEN  031027 300  042000-042500   10     172.40  760.9    192.27     2.50    -9999
KERGUELEN  031027 300  042500-043000   10     174.53  760.8    194.53     3.70    -9999
KERGUELEN  031027 300  043000-043500   10     172.67  760.8    192.40     2.50    -9999
