MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    988.9   mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    150.82      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     031027 3600 000000-010000   00     166.15  976.9    152.58     1.20    -9999
MOSCOW     031027 3600 010000-020000   00     165.96  977.3    152.84     1.30    -9999
MOSCOW     031027 3600 020000-030000   00     166.00  977.9    153.53     1.80    -9999
MOSCOW     031027 3600 030000-040000   00     165.71  978.5    153.92     2.10    -9999
MOSCOW     031027 3600 040000-050000   00     165.79  979.2    154.75     2.60    -9999
MOSCOW     031027 3600 050000-060000   00     165.02  980.0    154.91     2.70    -9999
MOSCOW     031027 3600 060000-070000   00     163.43  980.7    154.19     2.20    -9999
MOSCOW     031027 3600 070000-080000   00     163.03  981.5    154.68     2.60    -9999
MOSCOW     031027 3600 080000-090000   00     162.15  982.2    154.61     2.50    -9999
MOSCOW     031027 3600 090000-100000   00     162.23  982.8    155.35     3.00    -9999
MOSCOW     031027 3600 100000-110000   00     162.11  983.4    155.90     3.40    -9999
MOSCOW     031027 3600 110000-120000   00     160.69  983.9    155.08     2.80    -9999
MOSCOW     031027 3600 120000-130000   00     160.56  984.5    155.63     3.20    -9999
MOSCOW     031027 3600 130000-140000   00     159.20  985.2    155.07     2.80    -9999
MOSCOW     031027 3600 140000-150000   00     158.30  986.1    155.19     2.90    -9999
MOSCOW     031027 3600 150000-160000   00     156.93  986.8    154.61     2.50    -9999
MOSCOW     031027 3600 160000-170000   00     156.64  987.3    154.87     2.70    -9999
MOSCOW     031027 3600 170000-180000   00     155.43  988.1    154.55     2.50    -9999
MOSCOW     031027 3600 180000-190000   00     154.59  988.4    154.05     2.10    -9999
MOSCOW     031027 3600 190000-200000   00     154.62  988.8    154.51     2.40    -9999
MOSCOW     031027 3600 200000-210000   00     153.34  989.2    153.66     1.90    -9999
MOSCOW     031027 3600 210000-220000   00     138.27  989.4    138.76    -8.00    -9999
MOSCOW     031027 3600 220000-230000   00     152.84  989.8    153.82     2.00    -9999
MOSCOW     031027 3600 230000-240000   00     152.67  989.9    153.76     1.90    -9999
MOSCOW     031028 3600 000000-010000   00    -999.00  990.0   -999.00    -9999    -9999
MOSCOW     031028 3600 010000-020000   00    -999.00  990.0   -999.00    -9999    -9999
MOSCOW     031028 3600 020000-030000   00    -999.00  990.7   -999.00    -9999    -9999
MOSCOW     031028 3600 030000-040000   00    -999.00  990.4   -999.00    -9999    -9999
MOSCOW     031028 3600 040000-050000   00    -999.00  990.7   -999.00    -9999    -9999
MOSCOW     031028 3600 050000-060000   00    -999.00  991.0   -999.00    -9999    -9999
MOSCOW     031028 3600 060000-070000   00    -999.00  991.2   -999.00    -9999    -9999
MOSCOW     031028 3600 070000-080000   00    -999.00  991.1   -999.00    -9999    -9999
MOSCOW     031028 3600 080000-090000   00     145.28  990.4    146.84    -2.60    -9999
MOSCOW     031028 300  090000-090500   00     153.31  989.5    153.94     2.10    -9999
MOSCOW     031028 300  090500-091000   00     153.94  989.4    154.52     2.50    -9999
MOSCOW     031028 300  091000-091500   00     152.49  989.4    153.02     1.50    -9999
MOSCOW     031028 300  091500-092000   00     153.43  989.3    153.90     2.00    -9999
MOSCOW     031028 300  092000-092500   00     154.41  989.3    154.83     2.70    -9999
MOSCOW     031028 300  092500-093000   00     152.03  989.2    152.39     1.00    -9999
MOSCOW     031028 300  093000-093500   00     151.85  989.2    152.15     0.90    -9999
MOSCOW     031028 300  093500-094000   00     151.97  989.1    152.22     0.90    -9999
MOSCOW     031028 300  094000-094500   00     153.24  989.1    153.44     1.70    -9999
MOSCOW     031028 300  094500-095000   00     152.20  989.0    152.34     1.00    -9999
MOSCOW     031028 300  095000-095500   00     153.14  989.0    153.23     1.60    -9999
MOSCOW     031028 300  095500-100000   00     152.39  988.9    152.42     1.10    -9999
MOSCOW     031028 300  100000-100500   00     153.16  988.9    153.13     1.50    -9999
MOSCOW     031028 300  100500-101000   00     152.83  988.8    152.73     1.30    -9999
MOSCOW     031028 300  101000-101500   00     151.61  988.7    151.44     0.40    -9999
MOSCOW     031028 300  101500-102000   00     150.74  988.7    150.50    -0.20    -9999
MOSCOW     031028 300  102000-102500   00     151.23  988.6    150.92     0.10    -9999
MOSCOW     031028 300  102500-103000   00     150.62  988.5    150.23    -0.40    -9999
MOSCOW     031028 300  103000-103500   00     151.30  988.5    150.85     0.00    -9999
MOSCOW     031028 300  103500-104000   00     151.85  988.4    151.32     0.30    -9999
MOSCOW     031028 300  104000-104500   00     149.62  988.3    149.02    -1.20    -9999
MOSCOW     031028 300  104500-105000   00     151.28  988.3    150.62    -0.10    -9999
MOSCOW     031028 300  105000-105500   00     150.33  988.2    149.59    -0.80    -9999
MOSCOW     031028 300  105500-110000   00     150.32  988.1    149.51    -0.90    -9999
MOSCOW     031028 300  110000-110500   00     149.37  988.1    148.51    -1.50    -1.50
MOSCOW     031028 300  110500-111000   00     148.99  988.1    148.09    -1.80    -1.80
MOSCOW     031028 300  111000-111500   00     152.19  988.0    151.23     0.30     0.30
MOSCOW     031028 300  111500-112000   00     163.01  988.0    161.96     7.40     7.40
MOSCOW     031028 300  112000-112500   00     164.99  988.0    163.88     8.70     8.70
MOSCOW     031028 300  112500-113000   00     166.17  987.9    165.02     9.40     9.40
MOSCOW     031028 300  113000-113500   00     164.68  987.9    163.50     8.40     8.40
MOSCOW     031028 300  113500-114000   00     159.19  987.9    158.01     4.80     4.80
MOSCOW     031028 300  114000-114500   00     159.88  987.8    158.66     5.20     5.20
MOSCOW     031028 300  114500-115000   00     157.50  987.8    156.26     3.60     3.60
MOSCOW     031028 300  115000-115500   00     157.74  987.8    156.46     3.70     3.70
MOSCOW     031028 300  115500-120000   00     160.08  987.7    158.74     5.30     5.30
MOSCOW     031028 300  120000-120500   00     159.77  987.7    158.40     5.00     5.00
MOSCOW     031028 300  120500-121000   00     157.31  987.6    155.90     3.40     3.40
