MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     mb     COEFFICIENT   -0.7125   % / mb
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    199.38      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MEXICOCITY 031027 3600 000000-010000   00     211.41  772.9    202.96     1.80    -9999
MEXICOCITY 031027 3600 010000-020000   00     209.08  774.0    202.22     1.40    -9999
MEXICOCITY 031027 3600 020000-030000   00     209.20  774.6    203.24     1.90    -9999
MEXICOCITY 031027 3600 030000-040000   00     209.71  774.8    204.03     2.30    -9999
MEXICOCITY 031027 3600 040000-050000   00     209.87  774.7    204.01     2.30    -9999
MEXICOCITY 031027 3600 050000-060000   00     210.00  774.4    203.74     2.20    -9999
MEXICOCITY 031027 3600 060000-070000   00     209.59  774.0    202.75     1.70    -9999
MEXICOCITY 031027 3600 070000-080000   00     210.63  773.6    203.11     1.90    -9999
MEXICOCITY 031027 3600 080000-090000   00     210.31  773.1    202.16     1.40    -9999
MEXICOCITY 031027 3600 090000-100000   00     211.38  772.9    202.87     1.80    -9999
MEXICOCITY 031027 3600 100000-110000   00     212.09  772.9    203.57     2.10    -9999
MEXICOCITY 031027 3600 110000-120000   00     213.20  772.9    204.57     2.60    -9999
MEXICOCITY 031027 3600 120000-130000   00     212.59  773.1    204.34     2.50    -9999
MEXICOCITY 031027 3600 130000-140000   00     212.10  773.3    204.11     2.40    -9999
MEXICOCITY 031027 3600 140000-150000   00     211.17  773.5    203.49     2.10    -9999
MEXICOCITY 031027 3600 150000-160000   00     211.43  773.4    203.62     2.10    -9999
MEXICOCITY 031027 3600 160000-170000   00     213.83  772.8    205.13     2.90    -9999
MEXICOCITY 031027 3600 170000-180000   00     214.91  772.2    205.30     3.00    -9999
MEXICOCITY 031027 3600 180000-190000   00     216.75  771.5    205.99     3.30    -9999
MEXICOCITY 031027 3600 190000-200000   00     217.97  770.5    205.66     3.10    -9999
MEXICOCITY 031027 3600 200000-210000   00     218.96  769.7    205.42     3.00    -9999
MEXICOCITY 031027 3600 210000-220000   00     220.46  769.3    206.17     3.40    -9999
MEXICOCITY 031027 3600 220000-230000   00     219.62  769.2    205.29     3.00    -9999
MEXICOCITY 031027 3600 230000-240000   00     219.39  769.6    205.60     3.10    -9999
MEXICOCITY 031028 3600 000000-010000   00     218.19  769.9    204.91     2.80    -9999
MEXICOCITY 031028 3600 010000-020000   00     217.49  770.7    205.42     3.00    -9999
MEXICOCITY 031028 3600 020000-030000   00     215.92  771.4    204.97     2.80    -9999
MEXICOCITY 031028 3600 030000-040000   00     213.36  771.8    203.10     1.90    -9999
MEXICOCITY 031028 3600 040000-050000   00     210.39  771.8    200.33     0.50    -9999
MEXICOCITY 031028 3600 050000-060000   00     207.62  771.7    197.61    -0.90    -9999
MEXICOCITY 031028 3600 060000-070000   00     206.70  771.4    196.33    -1.50    -9999
MEXICOCITY 031028 3600 070000-080000   00     206.47  771.2    195.82    -1.80    -9999
MEXICOCITY 031028 3600 080000-090000   00     209.73  771.1    198.73    -0.30    -9999
MEXICOCITY 031028 300  090000-090500   00     212.90  771.0    201.57     1.10    -9999
MEXICOCITY 031028 300  090500-091000   00     209.43  771.1    198.43    -0.50    -9999
MEXICOCITY 031028 300  091000-091500   00     210.97  771.1    199.90     0.30    -9999
MEXICOCITY 031028 300  091500-092000   00     210.90  771.1    199.83     0.20    -9999
MEXICOCITY 031028 300  092000-092500   00     209.87  771.1    198.87    -0.30    -9999
MEXICOCITY 031028 300  092500-093000   00     210.47  771.1    199.43     0.00    -9999
MEXICOCITY 031028 300  093000-093500   00     212.80  771.1    201.63     1.10    -9999
MEXICOCITY 031028 300  093500-094000   00     211.30  771.2    200.37     0.50    -9999
MEXICOCITY 031028 300  094000-094500   00     210.43  771.1    199.40     0.00    -9999
MEXICOCITY 031028 300  094500-095000   00     209.23  771.2    198.40    -0.50    -9999
