NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1005.7  mb     COEFFICIENT   -0.75     % / mb
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    191.13      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NAIN       031027 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
NAIN       031027 3600 140000-150000   00     188.37 1015.1    202.13     5.80    -9999
NAIN       031027 3600 150000-160000   00     187.59 1015.2    201.45     5.40    -9999
NAIN       031027 3600 160000-170000   00     187.42 1014.9    200.81     5.10    -9999
NAIN       031027 3600 170000-180000   00     187.34 1015.2    201.17     5.30    -9999
NAIN       031027 3600 180000-190000   00     186.03 1015.2    199.77     4.50    -9999
NAIN       031027 3600 190000-200000   00     186.59 1015.6    200.97     5.10    -9999
NAIN       031027 3600 200000-210000   00     185.14 1016.0    200.01     4.60    -9999
NAIN       031027 3600 210000-220000   00     186.00 1015.9    200.78     5.00    -9999
NAIN       031027 3600 220000-230000   00     185.31 1016.1    200.35     4.80    -9999
NAIN       031027 3600 230000-240000   00     185.23 1016.0    200.11     4.70    -9999
NAIN       031028 3600 000000-010000   00     185.86 1015.7    200.34     4.80    -9999
NAIN       031028 3600 010000-020000   00     186.26 1015.3    200.16     4.70    -9999
NAIN       031028 3600 020000-030000   00     186.01 1015.0    199.45     4.40    -9999
NAIN       031028 3600 030000-040000   00     187.66 1014.0    199.71     4.50    -9999
NAIN       031028 3600 040000-050000   00     186.74 1013.5    197.99     3.60    -9999
NAIN       031028 3600 050000-060000   00     185.47 1013.0    195.91     2.50    -9999
NAIN       031028 3600 060000-070000   00     184.72 1011.7    193.22     1.10    -9999
NAIN       031028 3600 070000-080000   00     184.11 1010.8    191.29     0.10    -9999
NAIN       031028 3600 080000-090000   00     187.70 1008.9    192.26     0.60    -9999
NAIN       031028 300  090000-090500   00     189.34 1007.1    191.27     0.10    -9999
NAIN       031028 300  090500-091000   00     186.52 1006.9    188.26    -1.50    -9999
NAIN       031028 300  091000-091500   00     189.20 1006.8    190.80    -0.20    -9999
NAIN       031028 300  091500-092000   00     192.42 1006.7    193.87     1.40    -9999
NAIN       031028 300  092000-092500   00     191.32 1006.6    192.60     0.80    -9999
NAIN       031028 300  092500-093000   00     192.36 1006.5    193.47     1.20    -9999
NAIN       031028 300  093000-093500   00     192.48 1006.4    193.42     1.20    -9999
NAIN       031028 300  093500-094000   00     190.88 1006.2    191.65     0.30    -9999
NAIN       031028 300  094000-094500   00     190.92 1006.1    191.52     0.20    -9999
NAIN       031028 300  094500-095000   00     192.54 1006.0    192.98     1.00    -9999
NAIN       031028 300  095000-095500   00     190.64 1005.9    190.91    -0.10    -9999
NAIN       031028 300  095500-100000   00     191.34 1005.8    191.44     0.20    -9999
NAIN       031028 300  100000-100500   00     190.80 1005.6    190.69    -0.20    -9999
NAIN       031028 300  100500-101000   00     189.04 1005.4    188.66    -1.30    -9999
NAIN       031028 300  101000-101500   00     192.76 1005.2    192.10     0.50    -9999
NAIN       031028 300  101500-102000   00     194.08 1005.0    193.13     1.00    -9999
NAIN       031028 300  102000-102500   00     193.24 1004.9    192.02     0.50    -9999
NAIN       031028 300  102500-103000   00     191.52 1004.7    190.04    -0.60    -9999
NAIN       031028 300  103000-103500   00     194.56 1004.5    192.78     0.90    -9999
NAIN       031028 300  103500-104000   00     193.22 1004.3    191.18     0.00    -9999
NAIN       031028 300  104000-104500   00     193.38 1004.1    191.06     0.00    -9999
NAIN       031028 300  104500-105000   00     194.58 1003.9    191.97     0.40    -9999
NAIN       031028 300  105000-105500   00     192.40 1003.7    189.54    -0.80    -9999
NAIN       031028 300  105500-110000   00     193.56 1003.5    190.42    -0.40    -9999
NAIN       031028 300  110000-110500   00     192.44 1003.3    189.01    -1.10    -1.36
NAIN       031028 300  110500-111000   00     195.10 1003.1    191.26     0.10    -0.16
NAIN       031028 300  111000-111500   00     196.02 1002.8    191.80     0.40     0.14
NAIN       031028 300  111500-112000   00     195.72 1002.6    191.15     0.00    -0.27
NAIN       031028 300  112000-112500   00     197.98 1002.3    193.00     1.00     0.73
NAIN       031028 300  112500-113000   00     197.48 1002.1    192.15     0.50     0.23
NAIN       031028 300  113000-113500   00     201.46 1001.8    195.65     2.40     2.12
NAIN       031028 300  113500-114000   00     203.18 1001.6    196.95     3.00     2.72
NAIN       031028 300  114000-114500   00     206.24 1001.3    199.54     4.40     4.11
NAIN       031028 300  114500-115000   00     206.82 1001.1    199.73     4.50     4.21
NAIN       031028 300  115000-115500   00     207.02 1000.8    199.55     4.40     4.11
NAIN       031028 300  115500-120000   00     212.82 1000.6    204.75     7.10     6.80
NAIN       031028 300  120000-120500   00     215.50 1000.3    206.92     8.30     8.00
NAIN       031028 300  120500-121000   00     214.08 1000.0    205.09     7.30     7.00
NAIN       031028 300  121000-121500   00     213.88  999.7    204.44     7.00     6.69
NAIN       031028 300  121500-122000   00     214.94  999.4    204.99     7.30     6.99
NAIN       031028 300  122000-122500   00     213.56  999.1    203.22     6.30     5.99
NAIN       031028 300  122500-123000   00     214.92  998.8    204.05     6.80     6.48
NAIN       031028 300  123000-123500   00     216.76  998.5    205.33     7.40     7.08
NAIN       031028 300  123500-124000   00     216.44  998.2    204.57     7.00     6.68
NAIN       031028 300  124000-124500   00     216.26  997.9    203.94     6.70     6.37
NAIN       031028 300  124500-125000   00     218.20  997.6    205.31     7.40     7.07
NAIN       031028 300  125000-125500   00     218.46  997.3    205.09     7.30     6.96
NAIN       031028 300  125500-130000   00     218.54  997.0    204.70     7.10     6.76
NAIN       031028 300  130000-130500   00     217.10  996.7    202.89     6.20     5.86
NAIN       031028 300  130500-131000   00     217.62  996.4    202.89     6.20     5.85
NAIN       031028 300  131000-131500   00     220.08  996.0    204.70     7.10     6.75
NAIN       031028 300  131500-132000   00     219.70  995.7    203.86     6.70     6.35
NAIN       031028 300  132000-132500   00     221.00  995.4    204.58     7.00     6.64
NAIN       031028 300  132500-133000   00     220.66  995.1    203.78     6.60     6.24
NAIN       031028 300  133000-133500   00     219.18  994.8    201.93     5.70     5.34
NAIN       031028 300  133500-134000   00     222.30  994.5    204.32     6.90     6.53
NAIN       031028 300  134000-134500   00     220.76  994.1    202.43     5.90     5.53
NAIN       031028 300  134500-135000   00     221.76  993.8    202.86     6.10     5.73
NAIN       031028 300  135000-135500   00     221.84  993.5    202.45     5.90     5.52
NAIN       031028 300  135500-140000   00     224.82  993.2    204.68     7.10     6.72
NAIN       031028 300  140000-140500   00     225.58  992.9    204.95     7.20     6.82
