NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    998.5   mb     COEFFICIENT   -0.71     % / mb
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE    111.40      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NORILSK    031027 3600 000000-010000   00     113.17  995.3    110.62    -0.70    -9999
NORILSK    031027 3600 010000-020000   00     113.91  993.8    110.17    -1.10    -9999
NORILSK    031027 3600 020000-030000   00     115.26  992.3    110.30    -1.00    -9999
NORILSK    031027 3600 030000-040000   00     116.07  990.8    109.89    -1.40    -9999
NORILSK    031027 3600 040000-050000   00     117.87  989.5    110.57    -0.70    -9999
NORILSK    031027 3600 050000-060000   00     120.88  988.1    112.28     0.80    -9999
NORILSK    031027 3600 060000-070000   00     123.39  986.7    113.47     1.90    -9999
NORILSK    031027 3600 070000-080000   00     125.16  985.6    114.21     2.50    -9999
NORILSK    031027 3600 080000-090000   00     124.11  985.0    112.76     1.20    -9999
NORILSK    031027 3600 090000-100000   00     124.50  984.8    112.96     1.40    -9999
NORILSK    031027 3600 100000-110000   00     123.46  984.9    112.09     0.60    -9999
NORILSK    031027 3600 110000-120000   00     123.41  985.0    112.13     0.70    -9999
NORILSK    031027 3600 120000-130000   00     123.03  985.1    111.87     0.40    -9999
NORILSK    031027 3600 130000-140000   00     123.69  985.3    112.62     1.10    -9999
NORILSK    031027 3600 140000-150000   00     123.40  985.6    112.60     1.10    -9999
NORILSK    031027 3600 150000-160000   00     123.32  985.8    112.69     1.20    -9999
NORILSK    031027 3600 160000-170000   00     121.98  986.1    111.70     0.30    -9999
NORILSK    031027 3600 170000-180000   00     121.93  986.4    111.90     0.40    -9999
NORILSK    031027 3600 180000-190000   00     122.31  986.8    112.56     1.00    -9999
NORILSK    031027 3600 190000-200000   00     121.53  987.3    112.24     0.80    -9999
NORILSK    031027 3600 200000-210000   00     120.48  988.0    111.82     0.40    -9999
NORILSK    031027 3600 210000-220000   00     120.42  988.6    112.25     0.80    -9999
NORILSK    031027 3600 220000-230000   00     120.01  989.2    112.34     0.80    -9999
NORILSK    031027 3600 230000-240000   00     119.51  989.8    112.35     0.90    -9999
NORILSK    031028 3600 000000-010000   00     117.96  990.4    111.37     0.00    -9999
NORILSK    031028 3600 010000-020000   00     117.79  991.0    111.68     0.30    -9999
NORILSK    031028 3600 020000-030000   00     117.49  991.7    111.95     0.50    -9999
NORILSK    031028 3600 030000-040000   00     117.35  992.4    112.38     0.90    -9999
NORILSK    031028 3600 040000-050000   00     116.40  993.1    112.02     0.60    -9999
NORILSK    031028 3600 050000-060000   00     115.94  994.0    112.30     0.80    -9999
NORILSK    031028 3600 060000-070000   00     115.17  994.7    112.10     0.60    -9999
NORILSK    031028 3600 070000-080000   00     114.02  995.7    111.78     0.30    -9999
NORILSK    031028 3600 080000-090000   00     112.75  996.7    111.32    -0.10    -9999
NORILSK    031028 300  090000-090500   00     110.95  997.7    110.34    -1.00    -9999
NORILSK    031028 300  090500-091000   00     113.62  997.8    113.04     1.50    -9999
NORILSK    031028 300  091000-091500   00     114.22  997.9    113.71     2.10    -9999
NORILSK    031028 300  091500-092000   00     111.95  997.9    111.49     0.10    -9999
NORILSK    031028 300  092000-092500   00     112.37  998.0    111.97     0.50    -9999
NORILSK    031028 300  092500-093000   00     110.84  998.1    110.49    -0.80    -9999
NORILSK    031028 300  093000-093500   00     112.31  998.1    112.01     0.50    -9999
NORILSK    031028 300  093500-094000   00     112.75  998.2    112.50     1.00    -9999
NORILSK    031028 300  094000-094500   00     113.83  998.3    113.64     2.00    -9999
NORILSK    031028 300  094500-095000   00     111.03  998.3    110.90    -0.40    -9999
NORILSK    031028 300  095000-095500   00     111.85  998.4    111.77     0.30    -9999
NORILSK    031028 300  095500-100000   00     112.01  998.5    111.98     0.50    -9999
NORILSK    031028 300  100000-100500   00     110.67  998.5    110.68    -0.60    -9999
NORILSK    031028 300  100500-101000   00     111.60  998.6    111.67     0.20    -9999
NORILSK    031028 300  101000-101500   00     112.26  998.6    112.37     0.90    -9999
NORILSK    031028 300  101500-102000   00     109.73  998.7    109.88    -1.40    -9999
NORILSK    031028 300  102000-102500   00     112.25  998.8    112.46     1.00    -9999
NORILSK    031028 300  102500-103000   00     110.20  998.8    110.44    -0.90    -9999
NORILSK    031028 300  103000-103500   00     110.92  998.9    111.21    -0.20    -9999
NORILSK    031028 300  103500-104000   00     110.83  998.9    111.17    -0.20    -9999
NORILSK    031028 300  104000-104500   00     111.59  999.0    111.98     0.50    -9999
NORILSK    031028 300  104500-105000   00     110.82  999.0    111.25    -0.10    -9999
NORILSK    031028 300  105000-105500   00     111.83  999.1    112.31     0.80    -9999
NORILSK    031028 300  105500-110000   00     110.91  999.2    111.43     0.00    -9999
NORILSK    031028 300  110000-110500   00     107.31  999.2    107.85    -3.20    -3.20
NORILSK    031028 300  110500-111000   00     108.71  999.2    109.29    -1.90    -1.90
NORILSK    031028 300  111000-111500   00     114.51  999.3    115.15     3.40     3.40
NORILSK    031028 300  111500-112000   00     133.69  999.3    134.46    20.70    20.70
NORILSK    031028 300  112000-112500   00     124.85  999.3    125.61    12.80    12.80
NORILSK    031028 300  112500-113000   00     115.53  999.4    116.26     4.40     4.40
NORILSK    031028 300  113000-113500   00     115.66  999.4    116.41     4.50     4.50
NORILSK    031028 300  113500-114000   00     114.46  999.4    115.23     3.40     3.40
NORILSK    031028 300  114000-114500   00     114.13  999.5    114.92     3.20     3.20
NORILSK    031028 300  114500-115000   00     115.69  999.5    116.53     4.60     4.60
NORILSK    031028 300  115000-115500   00     114.56  999.5    115.42     3.60     3.60
NORILSK    031028 300  115500-120000   00     116.32  999.6    117.22     5.20     5.20
NORILSK    031028 300  120000-120500   00     114.71  999.6    115.62     3.80     3.80
