NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    163 M
NOVOSIBIRS INSTRUMENT   24-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    995     mb     COEFFICIENT   -0.718    % / mb
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE    350.54      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    3600     
NOVOSIBIRS SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NOVOSIBIRS 031027 3600 000000-010000   00     388.87  980.3    349.90    -0.20    -9999
NOVOSIBIRS 031027 3600 010000-020000   00     387.52  982.0    353.00     0.70    -9999
NOVOSIBIRS 031027 3600 020000-030000   00     385.71  983.5    355.13     1.30    -9999
NOVOSIBIRS 031027 3600 030000-040000   00     380.69  985.1    354.60     1.20    -9999
NOVOSIBIRS 031027 3600 040000-050000   00     376.25  986.4    353.71     0.90    -9999
NOVOSIBIRS 031027 3600 050000-060000   00     371.27  987.4    351.57     0.30    -9999
NOVOSIBIRS 031027 3600 060000-070000   00     370.13  988.0    351.96     0.40    -9999
NOVOSIBIRS 031027 3600 070000-080000   00     369.78  988.6    353.17     0.80    -9999
NOVOSIBIRS 031027 3600 080000-090000   00     369.42  989.2    354.35     1.10    -9999
NOVOSIBIRS 031027 3600 090000-100000   00     369.24  989.7    355.45     1.40    -9999
NOVOSIBIRS 031027 3600 100000-110000   00     367.11  990.6    355.70     1.50    -9999
NOVOSIBIRS 031027 3600 110000-120000   00     365.33  990.8    354.52     1.10    -9999
NOVOSIBIRS 031027 3600 120000-130000   00     366.36  991.4    357.05     1.90    -9999
NOVOSIBIRS 031027 3600 130000-140000   00     363.84  992.1    356.34     1.70    -9999
NOVOSIBIRS 031027 3600 140000-150000   00     363.06  992.4    356.34     1.70    -9999
NOVOSIBIRS 031027 3600 150000-160000   00     360.04  993.0    354.92     1.20    -9999
NOVOSIBIRS 031027 3600 160000-170000   00     357.33  993.8    354.28     1.10    -9999
NOVOSIBIRS 031027 3600 170000-180000   00     356.16  994.5    354.92     1.20    -9999
NOVOSIBIRS 031027 3600 180000-190000   00     355.52  994.6    354.52     1.10    -9999
NOVOSIBIRS 031027 3600 190000-200000   00     353.07  995.5    354.35     1.10    -9999
NOVOSIBIRS 031027 3600 200000-210000   00     350.26  996.7    354.60     1.20    -9999
NOVOSIBIRS 031027 3600 210000-220000   00     346.81  998.0    354.35     1.10    -9999
NOVOSIBIRS 031027 3600 220000-230000   00     340.37  998.6    349.30    -0.40    -9999
NOVOSIBIRS 031027 3600 230000-240000   00     334.86  998.5    343.36    -2.00    -9999
NOVOSIBIRS 031028 3600 000000-010000   00     331.73  998.8    340.91    -2.70    -9999
NOVOSIBIRS 031028 3600 010000-020000   00     330.52  999.3    340.91    -2.70    -9999
NOVOSIBIRS 031028 3600 020000-030000   00     332.80 1000.4    345.96    -1.30    -9999
NOVOSIBIRS 031028 3600 030000-040000   00     339.34 1000.8    353.78     0.90    -9999
NOVOSIBIRS 031028 3600 040000-050000   00     341.80 1000.6    355.84     1.50    -9999
NOVOSIBIRS 031028 3600 050000-060000   00     342.97 1000.2    356.02     1.60    -9999
NOVOSIBIRS 031028 3600 060000-070000   00     346.10  999.1    356.41     1.70    -9999
NOVOSIBIRS 031028 3600 070000-080000   00     345.32  998.9    355.13     1.30    -9999
NOVOSIBIRS 031028 3600 080000-090000   00     346.88  998.0    354.42     1.10    -9999
NOVOSIBIRS 031028 3600 090000-100000   00     350.44  996.4    353.96     1.00    -9999
NOVOSIBIRS 031028 3600 100000-110000   00     348.30  995.9    350.54     0.00    -9999
NOVOSIBIRS 031028 3600 110000-120000   00     360.28  995.4    361.32     3.10     3.10
NOVOSIBIRS 031028 3600 120000-130000   00     372.16  994.5    370.81     5.80     5.80
NOVOSIBIRS 031028 3600 130000-140000   00     365.37  993.1    360.43     2.80     2.80
NOVOSIBIRS 031028 3600 140000-150000   00     363.20  993.2    358.54     2.30     2.30
NOVOSIBIRS 031028 3600 150000-160000   00     365.23  992.8    359.50     2.60     2.60
NOVOSIBIRS 031028 3600 160000-170000   00     364.27  991.8    356.02     1.60     1.60
NOVOSIBIRS 031028 3600 170000-180000   00     363.41  992.2    356.16     1.60     1.60
NOVOSIBIRS 031028 3600 180000-190000   00     361.10  992.8    355.45     1.40     1.40
NOVOSIBIRS 031028 3600 190000-200000   00     357.80  993.5    353.96     1.00     1.00
NOVOSIBIRS 031028 3600 200000-210000   00     355.41  994.3    353.64     0.90     0.90
NOVOSIBIRS 031028 3600 210000-220000   00     355.27  995.3    356.02     1.60     1.60
NOVOSIBIRS 031028 3600 220000-230000   00     352.46  995.9    354.74     1.20     1.20
NOVOSIBIRS 031028 3600 230000-240000   00     352.96  996.9    357.83     2.10     2.10
NOVOSIBIRS 031029 3600 000000-010000   00     349.55  997.8    356.66     1.70     1.70
NOVOSIBIRS 031029 3600 010000-020000   00     350.08  998.7    359.50     2.60     2.60
NOVOSIBIRS 031029 3600 020000-030000   00     347.09  999.2    357.76     2.10     2.10
NOVOSIBIRS 031029 3600 030000-040000   00     345.67 1000.0    358.29     2.20     2.20
NOVOSIBIRS 031029 3600 040000-050000   00     346.88 1000.4    360.60     2.90     2.90
NOVOSIBIRS 031029 3600 050000-060000   00     346.13 1000.1    359.00     2.40     2.40
NOVOSIBIRS 031029 3600 060000-070000   00     342.04 1000.3    355.31     1.40     1.40
NOVOSIBIRS 031029 3600 070000-080000   00     335.47 1000.3    348.48    -0.60    -9999
NOVOSIBIRS 031029 3600 080000-090000   00     338.42 1000.1    351.04     0.10    -9999
NOVOSIBIRS 031029 3600 090000-100000   00     331.77  999.4    342.40    -2.30    -9999
NOVOSIBIRS 031029 3600 100000-110000   00     326.33  998.6    334.90    -4.50    -9999
NOVOSIBIRS 031029 3600 110000-120000   00     318.40  997.9    325.08    -7.30    -9999
NOVOSIBIRS 031029 3600 120000-130000   00     305.24  997.6    311.00   -11.30    -9999
NOVOSIBIRS 031029 3600 130000-140000   00     285.97  997.0    290.10   -17.20    -9999
NOVOSIBIRS 031029 3600 140000-150000   00     281.53  996.3    284.16   -18.90    -9999
NOVOSIBIRS 031029 3600 150000-160000   00     290.67  995.3    291.31   -16.90    -9999
NOVOSIBIRS 031029 3600 160000-170000   00     295.15  994.9    294.93   -15.90    -9999
NOVOSIBIRS 031029 3600 170000-180000   00     283.02  994.4    281.81   -19.60    -9999
NOVOSIBIRS 031029 3600 180000-190000   00     291.98  993.8    289.49   -17.40    -9999
NOVOSIBIRS 031029 3600 190000-200000   00     298.10  993.7    295.32   -15.80    -9999
NOVOSIBIRS 031029 3600 200000-210000   00     293.08  993.7    290.35   -17.20    -9999
NOVOSIBIRS 031029 3600 210000-220000   00     292.30  993.8    289.78   -17.30    -9999
NOVOSIBIRS 031029 3600 220000-230000   00     300.98  993.7    298.17   -14.90    -9999
NOVOSIBIRS 031029 3600 230000-240000   00     303.11  993.7    300.30   -14.30    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-03 12:51:18 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE65/C065NVBK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
