NEWARK     LATITUDE    39.7      LONGITUDE     -75.7     ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR     	
NEWARK     STANDARD PRESSURE    1008.3  mb     COEFFICIENT   -0.735    % / mb
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     84.96      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NEWARK     031027 3600 000000-010000   00      84.89 1011.6     86.97     2.40    -9999
NEWARK     031027 3600 010000-020000   00      85.04 1012.0     87.38     2.80    -9999
NEWARK     031027 3600 020000-030000   00      84.67 1011.7     86.81     2.20    -9999
NEWARK     031027 3600 030000-040000   00      85.33 1010.9     86.98     2.40    -9999
NEWARK     031027 3600 040000-050000   00      85.34 1010.7     86.86     2.20    -9999
NEWARK     031027 3600 050000-060000   00      85.98 1010.0     87.07     2.50    -9999
NEWARK     031027 3600 060000-070000   00      86.49 1009.4     87.19     2.60    -9999
NEWARK     031027 3600 070000-080000   00      86.27 1009.0     86.71     2.10    -9999
NEWARK     031027 3600 080000-090000   00      87.54 1008.0     87.34     2.80    -9999
NEWARK     031027 3600 090000-100000   00      87.93 1007.2     87.22     2.70    -9999
NEWARK     031027 3600 100000-110000   00      88.93 1006.3     87.64     3.20    -9999
NEWARK     031027 3600 110000-120000   00      89.67 1005.6     87.91     3.50    -9999
NEWARK     031027 3600 120000-130000   00      90.43 1005.0     88.26     3.90    -9999
NEWARK     031027 3600 130000-140000   00      91.08 1003.8     88.12     3.70    -9999
NEWARK     031027 3600 140000-150000   00      91.86 1002.8     88.22     3.80    -9999
NEWARK     031027 3600 150000-160000   00      92.13 1002.1     88.02     3.60    -9999
NEWARK     031027 3600 160000-170000   00      83.92 1001.3     79.71    -6.20    -9999
NEWARK     031027 3600 170000-180000   00      82.92  999.9     77.96    -8.20    -9999
NEWARK     031027 3600 180000-190000   00      88.52  998.5     82.37    -3.00    -9999
NEWARK     031027 3600 190000-200000   00      94.48  998.6     87.98     3.60    -9999
NEWARK     031027 3600 200000-210000   00      94.89  999.5     88.95     4.70    -9999
NEWARK     031027 3600 210000-220000   00      94.08  999.9     88.45     4.10    -9999
NEWARK     031027 3600 220000-230000   00      94.07 1000.1     88.56     4.20    -9999
NEWARK     031027 3600 230000-240000   00      92.77 1001.5     88.25     3.90    -9999
NEWARK     031028 3600 000000-010000   00      91.98 1003.0     88.47     4.10    -9999
NEWARK     031028 3600 010000-020000   00      91.36 1003.8     88.39     4.00    -9999
NEWARK     031028 3600 020000-030000   00      90.92 1004.6     88.48     4.10    -9999
NEWARK     031028 3600 030000-040000   00      89.80 1005.3     87.84     3.40    -9999
NEWARK     031028 3600 040000-050000   00      88.50 1005.7     86.83     2.20    -9999
NEWARK     031028 3600 050000-060000   00      86.98 1006.1     85.58     0.70    -9999
NEWARK     031028 3600 060000-070000   00      84.92 1006.3     83.68    -1.50    -9999
