POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.92     ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   12IGY    NEUTRON MONITOR     
POTCHEFSTR STANDARD PRESSURE    869.7   mb     COEFFICIENT   -0.743    % / mb
POTCHEFSTR PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
POTCHEFSTR PRE-INCREASE AVERAGE COUNTING RATE     52.98      COUNTS PER SECOND
POTCHEFSTR TIME INTERVALS    300         3600     
POTCHEFSTR SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
POTCHEFSTR 031027 3600 000000-010000   00      55.64  866.9     54.49     2.90    -9999
POTCHEFSTR 031027 3600 010000-020000   00      55.34  867.1     54.28     2.50    -9999
POTCHEFSTR 031027 3600 020000-030000   00      55.75  867.4     54.80     3.40    -9999
POTCHEFSTR 031027 3600 030000-040000   00      54.75  868.1     54.10     2.10    -9999
POTCHEFSTR 031027 3600 040000-050000   00      54.45  868.7     54.05     2.00    -9999
POTCHEFSTR 031027 3600 050000-060000   00      54.14  868.9     53.82     1.60    -9999
POTCHEFSTR 031027 3600 060000-070000   00      54.38  869.1     54.13     2.20    -9999
POTCHEFSTR 031027 3600 070000-080000   00      54.12  868.8     53.76     1.50    -9999
POTCHEFSTR 031027 3600 080000-090000   00      55.16  868.4     54.63     3.10    -9999
POTCHEFSTR 031027 3600 090000-100000   00      55.98  867.9     55.23     4.20    -9999
POTCHEFSTR 031027 3600 100000-110000   00      55.95  867.3     54.96     3.70    -9999
POTCHEFSTR 031027 3600 110000-120000   00      56.65  866.6     55.36     4.50    -9999
POTCHEFSTR 031027 3600 120000-130000   00      56.89  866.2     55.43     4.60    -9999
POTCHEFSTR 031027 3600 130000-140000   00      56.72  866.0     55.18     4.20    -9999
POTCHEFSTR 031027 3600 140000-150000   00      57.27  865.9     55.67     5.10    -9999
POTCHEFSTR 031027 3600 150000-160000   00      56.99  866.1     55.48     4.70    -9999
POTCHEFSTR 031027 3600 160000-170000   00      55.82  867.3     54.84     3.50    -9999
POTCHEFSTR 031027 3600 170000-180000   00      49.41  868.6     55.29     4.40    -9999
