ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009.25 mb     COEFFICIENT   -0.698    % / mb
ROME       PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    119.20      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ROME       031027 3600 000000-010000   00     123.75 1004.6    119.76     0.50    -9999
ROME       031027 3600 010000-020000   00     124.37 1004.0    119.92     0.60    -9999
ROME       031027 3600 020000-030000   00     125.11 1003.7    120.36     1.00    -9999
ROME       031027 3600 030000-040000   00     125.07 1003.9    120.49     1.10    -9999
ROME       031027 3600 040000-050000   00     125.24 1004.3    120.95     1.50    -9999
ROME       031027 3600 050000-060000   00     124.67 1004.8    120.90     1.40    -9999
ROME       031027 3600 060000-070000   00     123.50 1006.3    120.96     1.50    -9999
ROME       031027 3600 070000-080000   00     122.19 1008.1    121.17     1.70    -9999
ROME       031027 3600 080000-090000   00     121.38 1009.5    121.56     2.00    -9999
ROME       031027 3600 090000-100000   00     120.93 1010.4    121.89     2.30    -9999
ROME       031027 3600 100000-110000   00     120.22 1010.9    121.61     2.00    -9999
ROME       031027 3600 110000-120000   00     120.13 1011.1    121.68     2.10    -9999
ROME       031027 3600 120000-130000   00     119.89 1011.3    121.57     2.00    -9999
ROME       031027 3600 130000-140000   00     120.26 1011.7    122.32     2.60    -9999
ROME       031027 3600 140000-150000   00     119.34 1012.1    121.78     2.20    -9999
ROME       031027 3600 150000-160000   00     119.28 1012.6    122.13     2.50    -9999
ROME       031027 3600 160000-170000   00     118.46 1013.4    121.96     2.30    -9999
ROME       031027 3600 170000-180000   00     117.90 1014.0    121.90     2.30    -9999
ROME       031027 3600 180000-190000   00     117.10 1015.3    122.12     2.50    -9999
ROME       031027 3600 190000-200000   00     116.19 1015.8    121.61     2.00    -9999
ROME       031027 3600 200000-210000   00     115.63 1015.8    120.99     1.50    -9999
ROME       031027 3600 210000-220000   00     115.69 1016.3    121.55     2.00    -9999
ROME       031027 3600 220000-230000   00     115.01 1016.6    121.07     1.60    -9999
ROME       031027 3600 230000-240000   00     113.89 1016.8    120.03     0.70    -9999
ROME       031028 3600 000000-010000   00     112.91 1016.8    119.03    -0.10    -9999
ROME       031028 3600 010000-020000   00     111.73 1017.0    117.94    -1.10    -9999
ROME       031028 3600 020000-030000   00     110.91 1017.1    117.14    -1.70    -9999
ROME       031028 3600 030000-040000   00     110.86 1017.3    117.24    -1.60    -9999
ROME       031028 3600 040000-050000   00     111.17 1017.4    117.70    -1.30    -9999
ROME       031028 3600 050000-060000   00     111.79 1017.6    118.48    -0.60    -9999
ROME       031028 3600 060000-070000   00     111.72 1018.1    118.87    -0.30    -9999
ROME       031028 3600 070000-080000   00     112.93 1018.3    120.30     0.90    -9999
ROME       031028 3600 080000-090000   00     113.94 1018.2    121.31     1.80    -9999
ROME       031028 3600 090000-100000   00     113.12 1018.4    120.57     1.10    -9999
ROME       031028 300  100000-100500   00     111.67 1018.3    118.94    -0.20    -9999
ROME       031028 300  100500-101000   00     111.90 1018.3    119.22     0.00    -9999
ROME       031028 300  101000-101500   00     113.73 1018.4    121.25     1.70    -9999
ROME       031028 300  101500-102000   00     110.20 1018.4    117.49    -1.40    -9999
ROME       031028 300  102000-102500   00     112.60 1018.3    119.96     0.60    -9999
ROME       031028 300  102500-103000   00     111.37 1018.3    118.59    -0.50    -9999
ROME       031028 300  103000-103500   00     111.60 1018.2    118.77    -0.40    -9999
ROME       031028 300  103500-104000   00     112.83 1018.1    120.00     0.70    -9999
ROME       031028 300  104000-104500   00     111.97 1018.0    119.00    -0.20    -9999
ROME       031028 300  104500-105000   00     111.13 1018.0    118.09    -0.90    -9999
ROME       031028 300  105000-105500   00     111.30 1018.0    118.28    -0.80    -9999
ROME       031028 300  105500-110000   00     113.90 1018.0    121.02     1.50    -9999
ROME       031028 300  110000-110500   00     114.10 1017.9    121.17     1.70    -9999
ROME       031028 300  110500-111000   00     113.90 1017.8    120.85     1.40    -9999
ROME       031028 300  111000-111500   00     113.53 1017.6    120.35     1.00    -9999
ROME       031028 300  111500-112000   00     112.43 1017.5    119.09    -0.10    -9999
ROME       031028 300  112000-112500   00     112.20 1017.5    118.83    -0.30    -9999
ROME       031028 300  112500-113000   00     111.77 1017.6    118.48    -0.60    -9999
ROME       031028 300  113000-113500   00     111.60 1017.8    118.43    -0.60    -9999
ROME       031028 300  113500-114000   00     111.23 1017.8    118.07    -0.90    -9999
ROME       031028 300  114000-114500   00     112.63 1017.8    119.54     0.30    -9999
ROME       031028 300  114500-115000   00     114.50 1017.8    121.50     1.90    -9999
ROME       031028 300  115000-115500   00     112.20 1017.7    119.02    -0.20    -9999
ROME       031028 300  115500-120000   00     114.00 1017.7    120.88     1.40    -9999
ROME       031028 300  120000-120500   00     112.77 1017.5    119.46     0.20    -9999
