SANAE8     LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE8     INSTRUMENT   4NM80    NEUTRON MONITOR	
SANAE8     STANDARD PRESSURE    892     mb     COEFFICIENT   -0.757    % / mb
SANAE8     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SANAE8     PRE-INCREASE AVERAGE COUNTING RATE      5.98      COUNTS PER SECOND
SANAE8     TIME INTERVALS    300         3600     
SANAE8     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SANAE8     031027 3600 000000-010000   00       6.16  890.8      6.11     2.00    -9999
SANAE8     031027 3600 010000-020000   00       6.18  891.1      6.14     2.60    -9999
SANAE8     031027 3600 020000-030000   00       6.13  891.4      6.10     2.00    -9999
SANAE8     031027 3600 030000-040000   00       6.23  891.3      6.20     3.60    -9999
SANAE8     031027 3600 040000-050000   00       6.26  891.2      6.22     4.00    -9999
SANAE8     031027 3600 050000-060000   00       6.21  891.7      6.19     3.50    -9999
SANAE8     031027 3600 060000-070000   00       6.24  892.0      6.24     4.20    -9999
SANAE8     031027 3600 070000-080000   00       6.14  892.3      6.16     2.90    -9999
SANAE8     031027 3600 080000-090000   00       6.11  892.2      6.12     2.30    -9999
SANAE8     031027 3600 090000-100000   00       6.20  892.2      6.21     3.80    -9999
SANAE8     031027 3600 100000-110000   00       6.19  892.3      6.20     3.60    -9999
SANAE8     031027 3600 110000-120000   00       6.25  892.4      6.27     4.70    -9999
SANAE8     031027 3600 120000-130000   00       6.19  892.9      6.23     4.20    -9999
SANAE8     031027 3600 130000-140000   00       6.16  893.0      6.21     3.80    -9999
SANAE8     031027 3600 140000-150000   00       6.16  893.0      6.21     3.80    -9999
SANAE8     031027 3600 150000-160000   00       6.21  892.8      6.25     4.40    -9999
SANAE8     031027 3600 160000-170000   00       6.18  892.9      6.22     4.00    -9999
SANAE8     031027 3600 170000-180000   00       6.16  892.9      6.20     3.60    -9999
SANAE8     031027 3600 180000-190000   00       6.12  893.0      6.16     3.00    -9999
SANAE8     031027 3600 190000-200000   00       6.23  892.9      6.27     4.80    -9999
SANAE8     031027 3600 200000-210000   00       6.21  892.6      6.23     4.20    -9999
SANAE8     031027 3600 210000-220000   00       6.21  892.4      6.23     4.10    -9999
SANAE8     031027 3600 220000-230000   00       6.17  892.4      6.19     3.40    -9999
SANAE8     031027 3600 230000-240000   00       6.18  892.5      6.20     3.60    -9999
SANAE8     031028 3600 000000-010000   00       6.22  892.2      6.23     4.10    -9999
SANAE8     031028 3600 010000-020000   00       6.30  892.1      6.30     5.30    -9999
SANAE8     031028 3600 020000-030000   00       6.16  891.8      6.15     2.80    -9999
SANAE8     031028 3600 030000-040000   00       6.12  891.7      6.11     2.00    -9999
SANAE8     031028 3600 040000-050000   00       5.87  891.7      5.86    -2.00    -9999
SANAE8     031028 3600 050000-060000   00       5.89  891.6      5.87    -1.90    -9999
SANAE8     031028 3600 060000-070000   00       5.85  891.8      5.84    -2.40    -9999
SANAE8     031028 3600 070000-080000   00       5.80  892.1      5.81    -3.00    -9999
SANAE8     031028 3600 080000-090000   00       5.90  892.1      5.90    -1.40    -9999
SANAE8     031028 3600 090000-100000   00       6.00  892.1      6.01     0.40    -9999
SANAE8     031028 300  100000-100500   00       6.02  892.0      6.02     0.70    -9999
SANAE8     031028 300  100500-101000   00       5.99  892.0      5.99     0.20    -9999
SANAE8     031028 300  101000-101500   00       6.09  892.0      6.09     1.80    -9999
SANAE8     031028 300  101500-102000   00       5.88  892.0      5.88    -1.70    -9999
SANAE8     031028 300  102000-102500   00       5.99  892.0      5.99     0.10    -9999
SANAE8     031028 300  102500-103000   00       5.87  892.0      5.87    -1.90    -9999
SANAE8     031028 300  103000-103500   00       6.07  892.1      6.07     1.40    -9999
SANAE8     031028 300  103500-104000   00       5.91  892.1      5.91    -1.20    -9999
SANAE8     031028 300  104000-104500   00       6.11  892.1      6.11     2.20    -9999
SANAE8     031028 300  104500-105000   00       5.70  892.1      5.71    -4.60    -9999
SANAE8     031028 300  105000-105500   00       6.10  892.1      6.10     1.90    -9999
