SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    892     mb     COEFFICIENT   -0.73     % / mb
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE    116.44      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SANAE      031027 3600 000000-010000   00     119.36  890.8    118.32     1.60    -9999
SANAE      031027 3600 010000-020000   00     118.82  891.1    118.04     1.40    -9999
SANAE      031027 3600 020000-030000   00     119.03  891.4    118.51     1.80    -9999
SANAE      031027 3600 030000-040000   00     120.07  891.3    119.46     2.60    -9999
SANAE      031027 3600 040000-050000   00     120.76  891.2    120.06     3.10    -9999
SANAE      031027 3600 050000-060000   00     119.50  891.7    119.24     2.40    -9999
SANAE      031027 3600 060000-070000   00     119.43  892.0    119.43     2.60    -9999
SANAE      031027 3600 070000-080000   00     118.50  892.3    118.76     2.00    -9999
SANAE      031027 3600 080000-090000   00     118.85  892.2    119.02     2.20    -9999
SANAE      031027 3600 090000-100000   00     119.74  892.2    119.91     3.00    -9999
SANAE      031027 3600 100000-110000   00     120.23  892.3    120.49     3.50    -9999
SANAE      031027 3600 110000-120000   00     120.42  892.4    120.77     3.70    -9999
SANAE      031027 3600 120000-130000   00     119.54  892.9    120.33     3.30    -9999
SANAE      031027 3600 130000-140000   00     118.87  893.0    119.74     2.80    -9999
SANAE      031027 3600 140000-150000   00     119.50  893.0    120.38     3.40    -9999
SANAE      031027 3600 150000-160000   00     119.29  892.8    119.98     3.00    -9999
SANAE      031027 3600 160000-170000   00     119.69  892.9    120.48     3.50    -9999
SANAE      031027 3600 170000-180000   00     119.38  892.9    120.16     3.20    -9999
SANAE      031027 3600 180000-190000   00     119.61  893.0    120.49     3.50    -9999
SANAE      031027 3600 190000-200000   00     119.66  892.9    120.45     3.40    -9999
SANAE      031027 3600 200000-210000   00     119.88  892.6    120.40     3.40    -9999
SANAE      031027 3600 210000-220000   00     120.51  892.4    120.86     3.80    -9999
SANAE      031027 3600 220000-230000   00     120.40  892.4    120.75     3.70    -9999
SANAE      031027 3600 230000-240000   00     120.49  892.5    120.93     3.90    -9999
SANAE      031028 3600 000000-010000   00     120.95  892.2    121.12     4.00    -9999
SANAE      031028 3600 010000-020000   00     120.68  892.1    120.77     3.70    -9999
SANAE      031028 3600 020000-030000   00     120.30  891.8    120.12     3.20    -9999
SANAE      031028 3600 030000-040000   00     118.02  891.7    117.76     1.10    -9999
SANAE      031028 3600 040000-050000   00     114.61  891.7    114.36    -1.80    -9999
SANAE      031028 3600 050000-060000   00     113.03  891.6    112.70    -3.20    -9999
SANAE      031028 3600 060000-070000   00     112.84  891.8    112.68    -3.20    -9999
SANAE      031028 3600 070000-080000   00     113.56  892.1    113.64    -2.40    -9999
SANAE      031028 3600 080000-090000   00     113.79  892.1    113.87    -2.20    -9999
SANAE      031028 3600 090000-100000   00     116.08  892.1    116.16    -0.20    -9999
SANAE      031028 300  100000-100500   00     114.89  892.0    114.89    -1.30    -9999
SANAE      031028 300  100500-101000   00     117.24  892.0    117.26     0.70    -9999
SANAE      031028 300  101000-101500   00     115.57  892.0    115.59    -0.70    -9999
SANAE      031028 300  101500-102000   00     116.14  892.0    116.16    -0.30    -9999
SANAE      031028 300  102000-102500   00     116.88  892.0    116.91     0.40    -9999
SANAE      031028 300  102500-103000   00     117.77  892.0    117.80     1.20    -9999
SANAE      031028 300  103000-103500   00     116.42  892.1    116.46     0.00    -9999
SANAE      031028 300  103500-104000   00     118.62  892.1    118.68     1.90    -9999
SANAE      031028 300  104000-104500   00     115.39  892.1    115.45    -0.90    -9999
SANAE      031028 300  104500-105000   00     116.10  892.1    116.16    -0.20    -9999
SANAE      031028 300  105000-105500   00     117.06  892.1    117.13     0.60    -9999
SANAE      031028 300  105500-110000   00     115.21  892.1    115.30    -1.00    -9999
SANAE      031028 300  110000-110500   00     116.38  892.1    116.46     0.00     0.01
SANAE      031028 300  110500-111000   00     114.95  892.1    115.04    -1.20    -1.19
SANAE      031028 300  111000-111500   00     115.88  892.1    115.96    -0.40    -0.40
SANAE      031028 300  111500-112000   00     115.81  892.1    115.89    -0.50    -0.51
SANAE      031028 300  112000-112500   00     116.84  892.1    116.92     0.40     0.39
SANAE      031028 300  112500-113000   00     118.43  892.1    118.51     1.80     1.78
SANAE      031028 300  113000-113500   00     118.75  892.1    118.84     2.10     2.08
SANAE      031028 300  113500-114000   00     118.65  892.1    118.73     2.00     1.97
SANAE      031028 300  114000-114500   00     123.42  892.1    123.51     6.10     6.07
SANAE      031028 300  114500-115000   00     127.44  892.1    127.53     9.50     9.46
SANAE      031028 300  115000-115500   00     126.12  892.1    126.21     8.40     8.35
SANAE      031028 300  115500-120000   00     127.82  892.1    127.91     9.80     9.75
SANAE      031028 300  120000-120500   00     128.31  892.1    128.40    10.30    10.24
SANAE      031028 300  120500-121000   00     129.12  892.1    129.21    11.00    10.94
SANAE      031028 300  121000-121500   00     129.28  892.1    129.35    11.10    11.03
SANAE      031028 300  121500-122000   00     126.38  892.1    126.44     8.60     8.53
SANAE      031028 300  122000-122500   00     126.30  892.1    126.36     8.50     8.42
SANAE      031028 300  122500-123000   00     125.07  892.1    125.12     7.40     7.31
SANAE      031028 300  123000-123500   00     126.21  892.0    126.25     8.40     8.31
SANAE      031028 300  123500-124000   00     125.53  892.0    125.57     7.80     7.70
SANAE      031028 300  124000-124500   00     124.61  892.0    124.64     7.10     7.00
SANAE      031028 300  124500-125000   00     125.65  892.0    125.67     7.90     7.79
SANAE      031028 300  125000-125500   00     125.35  892.0    125.36     7.60     7.49
SANAE      031028 300  125500-130000   00     126.86  892.0    126.86     9.00     8.88
SANAE      031028 300  130000-130500   00     126.36  892.0    126.35     8.50     8.37
SANAE      031028 300  130500-131000   00     126.13  892.0    126.10     8.30     8.17
SANAE      031028 300  131000-131500   00     127.73  891.9    127.67     9.60     9.46
SANAE      031028 300  131500-132000   00     128.94  891.9    128.86    10.70    10.56
SANAE      031028 300  132000-132500   00     127.34  891.9    127.24     9.30     9.15
SANAE      031028 300  132500-133000   00     127.17  891.9    127.04     9.10     8.95
SANAE      031028 300  133000-133500   00     128.20  891.8    128.05    10.00     9.84
SANAE      031028 300  133500-134000   00     126.59  891.8    126.41     8.50     8.33
SANAE      031028 300  134000-134500   00     127.78  891.8    127.58     9.60     9.43
SANAE      031028 300  134500-135000   00     128.30  891.8    128.08    10.00     9.82
SANAE      031028 300  135000-135500   00     128.09  891.7    127.85     9.80     9.62
SANAE      031028 300  135500-140000   00     128.02  891.7    127.75     9.70     9.51
SANAE      031028 300  140000-140500   00     128.59  891.7    128.30    10.20    10.01
SANAE      031028 300  140500-141000   00     129.44  891.7    129.13    10.90    10.70
SANAE      031028 300  141000-141500   00     129.17  891.6    128.83    10.60    10.40
SANAE      031028 300  141500-142000   00     130.32  891.6    129.95    11.60    11.39
SANAE      031028 300  142000-142500   00     130.48  891.6    130.09    11.70    11.48
SANAE      031028 300  142500-143000   00     130.01  891.6    129.59    11.30    11.08
SANAE      031028 300  143000-143500   00     128.07  891.5    127.64     9.60     9.37
SANAE      031028 300  143500-144000   00     128.62  891.5    128.17    10.10     9.87
SANAE      031028 300  144000-144500   00     129.56  891.5    129.08    10.90    10.66
SANAE      031028 300  144500-145000   00     126.60  891.5    126.10     8.30     8.06
SANAE      031028 300  145000-145500   00     127.57  891.4    127.05     9.10     8.85
SANAE      031028 300  145500-150000   00     127.94  891.4    127.40     9.40     9.14
SANAE      031028 300  150000-150500   00     127.93  891.4    127.36     9.40     9.14
SANAE      031028 300  150500-151000   00     129.07  891.4    128.50    10.40    10.13
SANAE      031028 300  151000-151500   00     127.24  891.4    126.67     8.80     8.53
SANAE      031028 300  151500-152000   00     128.43  891.4    127.84     9.80     9.52
SANAE      031028 300  152000-152500   00     128.69  891.4    128.09    10.00     9.72
SANAE      031028 300  152500-153000   00     127.91  891.4    127.31     9.30     9.01
SANAE      031028 300  153000-153500   00     128.00  891.3    127.39     9.40     9.10
SANAE      031028 300  153500-154000   00     127.23  891.3    126.62     8.70     8.40
SANAE      031028 300  154000-154500   00     128.12  891.3    127.50     9.50     9.19
SANAE      031028 300  154500-155000   00     127.93  891.3    127.30     9.30     8.99
SANAE      031028 300  155000-155500   00     129.50  891.3    128.86    10.60    10.28
SANAE      031028 300  155500-160000   00     128.96  891.3    128.31    10.20     9.88
SANAE      031028 300  160000-160500   00     128.45  891.3    127.79     9.70     9.37
SANAE      031028 300  160500-161000   00     127.89  891.3    127.23     9.20     8.86
SANAE      031028 300  161000-161500   00     129.05  891.3    128.38    10.30     9.96
SANAE      031028 300  161500-162000   00     128.18  891.3    127.50     9.50     9.15
SANAE      031028 300  162000-162500   00     129.57  891.3    128.88    10.70    10.35
SANAE      031028 300  162500-163000   00     129.92  891.3    129.22    11.00    10.64
SANAE      031028 300  163000-163500   00     129.07  891.2    128.36    10.20     9.84
SANAE      031028 300  163500-164000   00     128.42  891.2    127.71     9.70     9.33
SANAE      031028 300  164000-164500   00     128.63  891.2    127.91     9.80     9.42
SANAE      031028 300  164500-165000   00     129.54  891.2    128.80    10.60    10.22
SANAE      031028 300  165000-165500   00     127.63  891.2    126.90     9.00     8.61
SANAE      031028 300  165500-170000   00     128.60  891.2    127.85     9.80     9.41
SANAE      031028 300  170000-170500   00     129.37  891.2    128.61    10.50    10.10
SANAE      031028 300  170500-171000   00     127.13  891.2    126.38     8.50     8.10
SANAE      031028 300  171000-171500   00     127.98  891.2    127.22     9.20     8.79
SANAE      031028 300  171500-172000   00     129.44  891.2    128.66    10.50    10.08
SANAE      031028 300  172000-172500   00     128.52  891.2    127.74     9.70     9.28
SANAE      031028 300  172500-173000   00     126.57  891.2    125.79     8.00     7.57
SANAE      031028 300  173000-173500   00     127.16  891.1    126.37     8.50     8.07
SANAE      031028 300  173500-174000   00     129.74  891.1    128.93    10.70    10.26
SANAE      031028 300  174000-174500   00     129.26  891.1    128.44    10.30     9.86
SANAE      031028 300  174500-175000   00     128.75  891.1    127.93     9.90     9.45
SANAE      031028 300  175000-175500   00     129.68  891.1    128.85    10.70    10.24
SANAE      031028 300  175500-180000   00     128.87  891.1    128.03    10.00     9.54
SANAE      031028 300  180000-180500   00     128.72  891.1    127.88     9.80     9.33
SANAE      031028 300  180500-181000   00     128.17  891.1    127.32     9.30     8.83
SANAE      031028 300  181000-181500   00     128.68  891.1    127.82     9.80     9.32
SANAE      031028 300  181500-182000   00     127.71  891.1    126.85     8.90     8.42
SANAE      031028 300  182000-182500   00     127.71  891.1    126.84     8.90     8.41
SANAE      031028 300  182500-183000   00     127.50  891.1    126.63     8.80     8.30
SANAE      031028 300  183000-183500   00     127.66  891.0    126.78     8.90     8.40
SANAE      031028 300  183500-184000   00     125.95  891.0    125.07     7.40     6.89
SANAE      031028 300  184000-184500   00     126.68  891.0    125.78     8.10     7.59
SANAE      031028 300  184500-185000   00     126.63  891.0    125.72     8.00     7.48
SANAE      031028 300  185000-185500   00     128.20  891.0    127.28     9.30     8.78
SANAE      031028 300  185500-190000   00     126.72  891.0    125.80     8.00     7.47
SANAE      031028 300  190000-190500   00     127.59  891.0    126.66     8.80     8.26
SANAE      031028 300  190500-191000   00     127.33  891.0    126.39     8.60     8.06
SANAE      031028 300  191000-191500   00     127.97  891.0    127.02     9.10     8.55
SANAE      031028 300  191500-192000   00     127.72  891.0    126.77     8.90     8.35
SANAE      031028 300  192000-192500   00     127.19  891.0    126.23     8.40     7.84
SANAE      031028 300  192500-193000   00     126.14  891.0    125.18     7.50     6.94
SANAE      031028 300  193000-193500   00     127.76  890.9    126.78     8.90     8.33
SANAE      031028 300  193500-194000   00     127.61  890.9    126.62     8.70     8.12
SANAE      031028 300  194000-194500   00     128.61  890.9    127.61     9.60     9.02
SANAE      031028 300  194500-195000   00     126.51  890.9    125.52     7.80     7.21
SANAE      031028 300  195000-195500   00     125.57  890.9    124.57     7.00     6.41
SANAE      031028 300  195500-200000   00     125.51  890.9    124.51     6.90     6.30
SANAE      031028 300  200000-200500   00     126.10  890.9    125.09     7.40     6.80
SANAE      031028 300  200500-201000   00     126.14  890.9    125.12     7.50     6.89
