SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    686.5   mb     COEFFICIENT   -0.75     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    227.71      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 031027 3600 000000-010000   00     252.22  677.1    235.05     3.20    -9999
SOUTH POLE 031027 3600 010000-020000   00     253.14  677.4    236.44     3.80    -9999
SOUTH POLE 031027 3600 020000-030000   00     253.94  677.8    237.90     4.50    -9999
SOUTH POLE 031027 3600 030000-040000   00     253.00  678.1    237.55     4.30    -9999
SOUTH POLE 031027 3600 040000-050000   00     251.34  678.5    236.71     4.00    -9999
SOUTH POLE 031027 3600 050000-060000   00     249.98  679.1    236.48     3.90    -9999
SOUTH POLE 031027 3600 060000-070000   00     249.53  679.7    237.12     4.10    -9999
SOUTH POLE 031027 3600 070000-080000   00     249.17  680.2    237.67     4.40    -9999
SOUTH POLE 031027 3600 080000-090000   00     249.21  680.4    238.07     4.60    -9999
SOUTH POLE 031027 3600 090000-100000   00     249.84  680.9    239.56     5.20    -9999
SOUTH POLE 031027 3600 100000-110000   00     248.40  681.4    239.08     5.00    -9999
SOUTH POLE 031027 3600 110000-120000   00     247.61  681.9    239.22     5.10    -9999
SOUTH POLE 031027 3600 120000-130000   00     246.86  682.2    239.03     5.00    -9999
SOUTH POLE 031027 3600 130000-140000   00     245.44  682.8    238.73     4.80    -9999
SOUTH POLE 031027 3600 140000-150000   00     245.72  683.1    239.53     5.20    -9999
SOUTH POLE 031027 3600 150000-160000   00     246.33  683.2    240.31     5.50    -9999
SOUTH POLE 031027 3600 160000-170000   00     245.01  683.5    239.56     5.20    -9999
SOUTH POLE 031027 3600 170000-180000   00     244.99  683.8    240.07     5.40    -9999
SOUTH POLE 031027 3600 180000-190000   00     245.03  684.2    240.84     5.80    -9999
SOUTH POLE 031027 3600 190000-200000   00     243.71  684.6    240.26     5.50    -9999
SOUTH POLE 031027 3600 200000-210000   00     243.68  684.9    240.78     5.70    -9999
SOUTH POLE 031027 3600 210000-220000   00     243.31  685.0    240.59     5.70    -9999
SOUTH POLE 031027 3600 220000-230000   00     242.76  684.8    239.68     5.30    -9999
SOUTH POLE 031027 3600 230000-240000   00     243.48  684.9    240.57     5.70    -9999
SOUTH POLE 031028 3600 000000-010000   00     242.06  685.1    239.53     5.20    -9999
SOUTH POLE 031028 3600 010000-020000   00     242.77  685.1    240.24     5.50    -9999
SOUTH POLE 031028 3600 020000-030000   00     241.77  685.2    239.43     5.10    -9999
SOUTH POLE 031028 3600 030000-040000   00     240.48  685.2    238.15     4.60    -9999
SOUTH POLE 031028 3600 040000-050000   00     236.15  685.5    234.38     2.90    -9999
SOUTH POLE 031028 3600 050000-060000   00     232.25  685.7    230.86     1.40    -9999
SOUTH POLE 031028 3600 060000-070000   00     225.15  685.9    224.14    -1.60    -9999
SOUTH POLE 031028 3600 070000-080000   00     225.62  686.1    224.95    -1.20    -9999
SOUTH POLE 031028 3600 080000-090000   00     225.91  686.1    225.23    -1.10    -9999
SOUTH POLE 031028 300  090000-090500   00     224.24  686.3    223.91    -1.70    -9999
SOUTH POLE 031028 300  090500-091000   00     225.96  686.3    225.66    -0.90    -9999
SOUTH POLE 031028 300  091000-091500   00     227.06  686.3    226.79    -0.40    -9999
SOUTH POLE 031028 300  091500-092000   00     226.20  686.4    225.96    -0.80    -9999
SOUTH POLE 031028 300  092000-092500   00     228.36  686.4    228.14     0.20    -9999
SOUTH POLE 031028 300  092500-093000   00     226.26  686.4    226.07    -0.70    -9999
SOUTH POLE 031028 300  093000-093500   00     227.24  686.4    227.08    -0.30    -9999
SOUTH POLE 031028 300  093500-094000   00     228.22  686.4    228.09     0.20    -9999
SOUTH POLE 031028 300  094000-094500   00     228.30  686.4    228.20     0.20    -9999
SOUTH POLE 031028 300  094500-095000   00     225.62  686.5    225.55    -0.90    -9999
SOUTH POLE 031028 300  095000-095500   00     226.38  686.5    226.33    -0.60    -9999
SOUTH POLE 031028 300  095500-100000   00     226.08  686.5    226.06    -0.70    -9999
SOUTH POLE 031028 300  100000-100500   00     226.22  686.5    226.23    -0.60    -9999
SOUTH POLE 031028 300  100500-101000   00     229.62  686.5    229.66     0.90    -9999
SOUTH POLE 031028 300  101000-101500   00     227.00  686.5    227.07    -0.30    -9999
SOUTH POLE 031028 300  101500-102000   00     226.54  686.6    226.64    -0.50    -9999
SOUTH POLE 031028 300  102000-102500   00     226.36  686.6    226.48    -0.60    -9999
SOUTH POLE 031028 300  102500-103000   00     226.56  686.6    226.71    -0.40    -9999
SOUTH POLE 031028 300  103000-103500   00     227.22  686.6    227.40    -0.10    -9999
SOUTH POLE 031028 300  103500-104000   00     230.48  686.6    230.69     1.30    -9999
SOUTH POLE 031028 300  104000-104500   00     228.04  686.6    228.28     0.20    -9999
SOUTH POLE 031028 300  104500-105000   00     228.38  686.7    228.65     0.40    -9999
SOUTH POLE 031028 300  105000-105500   00     227.68  686.7    227.98     0.10    -9999
SOUTH POLE 031028 300  105500-110000   00     228.36  686.7    228.69     0.40    -9999
SOUTH POLE 031028 300  110000-110500   00     226.62  686.7    226.97    -0.30    -0.30
SOUTH POLE 031028 300  110500-111000   00     227.70  686.7    228.08     0.20     0.20
SOUTH POLE 031028 300  111000-111500   00     229.04  686.7    229.45     0.80     0.80
SOUTH POLE 031028 300  111500-112000   00     233.40  686.8    233.85     2.70     2.70
SOUTH POLE 031028 300  112000-112500   00     238.52  686.8    239.01     5.00     5.00
SOUTH POLE 031028 300  112500-113000   00     239.44  686.8    239.96     5.40     5.40
SOUTH POLE 031028 300  113000-113500   00     243.34  686.8    243.90     7.10     7.10
SOUTH POLE 031028 300  113500-114000   00     244.32  686.8    244.91     7.60     7.60
SOUTH POLE 031028 300  114000-114500   00     247.34  686.8    247.97     8.90     8.90
SOUTH POLE 031028 300  114500-115000   00     252.60  686.9    253.28    11.30    11.30
SOUTH POLE 031028 300  115000-115500   00     258.58  686.9    259.31    13.90    13.90
SOUTH POLE 031028 300  115500-120000   00     261.80  686.9    262.57    15.30    15.30
SOUTH POLE 031028 300  120000-120500   00     265.82  686.9    266.63    17.10    17.10
SOUTH POLE 031028 300  120500-121000   00     261.60  686.9    262.43    15.30    15.30
SOUTH POLE 031028 300  121000-121500   00     264.62  686.9    265.49    16.60    16.60
SOUTH POLE 031028 300  121500-122000   00     263.20  687.0    264.10    16.00    16.00
SOUTH POLE 031028 300  122000-122500   00     257.44  687.0    258.36    13.50    13.50
SOUTH POLE 031028 300  122500-123000   00     256.72  687.0    257.66    13.20    13.20
SOUTH POLE 031028 300  123000-123500   00     255.72  687.0    256.70    12.70    12.70
SOUTH POLE 031028 300  123500-124000   00     259.34  687.0    260.36    14.40    14.40
SOUTH POLE 031028 300  124000-124500   00     256.08  687.0    257.12    12.90    12.90
SOUTH POLE 031028 300  124500-125000   00     258.74  687.1    259.82    14.10    14.10
SOUTH POLE 031028 300  125000-125500   00     260.30  687.1    261.42    14.80    14.80
SOUTH POLE 031028 300  125500-130000   00     260.36  687.1    261.52    14.90    14.90
SOUTH POLE 031028 300  130000-130500   00     262.66  687.1    263.85    15.90    15.90
SOUTH POLE 031028 300  130500-131000   00     263.32  687.1    264.53    16.20    16.20
SOUTH POLE 031028 300  131000-131500   00     258.78  687.1    259.99    14.20    14.20
SOUTH POLE 031028 300  131500-132000   00     262.88  687.1    264.12    16.00    16.00
SOUTH POLE 031028 300  132000-132500   00     262.14  687.1    263.39    15.70    15.70
SOUTH POLE 031028 300  132500-133000   00     258.14  687.1    259.39    13.90    13.90
SOUTH POLE 031028 300  133000-133500   00     259.70  687.2    260.98    14.60    14.60
SOUTH POLE 031028 300  133500-134000   00     262.68  687.2    263.99    15.90    15.90
SOUTH POLE 031028 300  134000-134500   00     260.86  687.2    262.17    15.10    15.10
SOUTH POLE 031028 300  134500-135000   00     257.30  687.2    258.61    13.60    13.60
SOUTH POLE 031028 300  135000-135500   00     259.90  687.2    261.24    14.70    14.70
SOUTH POLE 031028 300  135500-140000   00     260.28  687.2    261.64    14.90    14.90
SOUTH POLE 031028 300  140000-140500   00     261.52  687.2    262.90    15.40    15.40
SOUTH POLE 031028 300  140500-141000   00     261.68  687.2    263.08    15.50    15.50
SOUTH POLE 031028 300  141000-141500   00     260.96  687.2    262.37    15.20    15.20
SOUTH POLE 031028 300  141500-142000   00     262.54  687.2    263.98    15.90    15.90
SOUTH POLE 031028 300  142000-142500   00     262.92  687.2    264.38    16.10    16.10
SOUTH POLE 031028 300  142500-143000   00     264.02  687.2    265.50    16.60    16.60
SOUTH POLE 031028 300  143000-143500   00     261.32  687.3    262.80    15.40    15.40
SOUTH POLE 031028 300  143500-144000   00     263.24  687.3    264.75    16.30    16.30
SOUTH POLE 031028 300  144000-144500   00     263.28  687.3    264.80    16.30    16.30
SOUTH POLE 031028 300  144500-145000   00     260.96  687.3    262.49    15.30    15.30
SOUTH POLE 031028 300  145000-145500   00     260.06  687.3    261.60    14.90    14.90
SOUTH POLE 031028 300  145500-150000   00     260.84  687.3    262.40    15.20    15.20
SOUTH POLE 031028 300  150000-150500   00     261.90  687.3    263.49    15.70    15.70
SOUTH POLE 031028 300  150500-151000   00     260.78  687.3    262.39    15.20    15.20
SOUTH POLE 031028 300  151000-151500   00     260.92  687.3    262.57    15.30    15.30
SOUTH POLE 031028 300  151500-152000   00     264.08  687.4    265.78    16.70    16.70
SOUTH POLE 031028 300  152000-152500   00     262.52  687.4    264.25    16.00    16.00
SOUTH POLE 031028 300  152500-153000   00     262.68  687.4    264.44    16.10    16.10
SOUTH POLE 031028 300  153000-153500   00     257.80  687.4    259.56    14.00    14.00
SOUTH POLE 031028 300  153500-154000   00     261.92  687.4    263.74    15.80    15.80
SOUTH POLE 031028 300  154000-154500   00     256.64  687.4    258.46    13.50    13.50
SOUTH POLE 031028 300  154500-155000   00     259.88  687.5    261.75    15.00    15.00
SOUTH POLE 031028 300  155000-155500   00     261.12  687.5    263.03    15.50    15.50
SOUTH POLE 031028 300  155500-160000   00     261.78  687.5    263.73    15.80    15.80
SOUTH POLE 031028 300  160000-160500   00     261.80  687.5    263.78    15.80    15.80
SOUTH POLE 031028 300  160500-161000   00     262.58  687.5    264.58    16.20    16.20
SOUTH POLE 031028 300  161000-161500   00     263.02  687.5    265.04    16.40    16.40
SOUTH POLE 031028 300  161500-162000   00     260.88  687.5    262.90    15.50    15.50
SOUTH POLE 031028 300  162000-162500   00     263.26  687.5    265.32    16.50    16.50
SOUTH POLE 031028 300  162500-163000   00     263.40  687.5    265.47    16.60    16.60
SOUTH POLE 031028 300  163000-163500   00     263.66  687.6    265.75    16.70    16.70
SOUTH POLE 031028 300  163500-164000   00     260.36  687.6    262.44    15.20    15.20
SOUTH POLE 031028 300  164000-164500   00     258.96  687.6    261.05    14.60    14.60
SOUTH POLE 031028 300  164500-165000   00     259.84  687.6    261.95    15.10    15.10
SOUTH POLE 031028 300  165000-165500   00     259.12  687.6    261.24    14.70    14.70
SOUTH POLE 031028 300  165500-170000   00     258.50  687.6    260.63    14.40    14.40
SOUTH POLE 031028 300  170000-170500   00     261.68  687.6    263.86    15.90    15.90
SOUTH POLE 031028 300  170500-171000   00     261.14  687.6    263.33    15.70    15.70
SOUTH POLE 031028 300  171000-171500   00     263.42  687.6    265.64    16.70    16.70
SOUTH POLE 031028 300  171500-172000   00     262.38  687.6    264.61    16.20    16.20
SOUTH POLE 031028 300  172000-172500   00     261.10  687.6    263.34    15.60    15.60
SOUTH POLE 031028 300  172500-173000   00     260.12  687.6    262.37    15.20    15.20
SOUTH POLE 031028 300  173000-173500   00     261.64  687.7    263.91    15.90    15.90
SOUTH POLE 031028 300  173500-174000   00     260.10  687.7    262.38    15.20    15.20
SOUTH POLE 031028 300  174000-174500   00     257.44  687.7    259.71    14.00    14.00
SOUTH POLE 031028 300  174500-175000   00     258.00  687.7    260.29    14.30    14.30
SOUTH POLE 031028 300  175000-175500   00     257.14  687.7    259.44    13.90    13.90
SOUTH POLE 031028 300  175500-180000   00     256.66  687.7    258.97    13.70    13.70
SOUTH POLE 031028 300  180000-180500   00     260.22  687.7    262.59    15.30    15.30
SOUTH POLE 031028 300  180500-181000   00     256.60  687.7    258.99    13.80    13.80
SOUTH POLE 031028 300  181000-181500   00     257.74  687.8    260.19    14.30    14.30
SOUTH POLE 031028 300  181500-182000   00     256.30  687.8    258.78    13.70    13.70
SOUTH POLE 031028 300  182000-182500   00     256.12  687.8    258.65    13.60    13.60
SOUTH POLE 031028 300  182500-183000   00     258.34  687.8    260.94    14.60    14.60
SOUTH POLE 031028 300  183000-183500   00     256.60  687.9    259.23    13.80    13.80
SOUTH POLE 031028 300  183500-184000   00     258.14  687.9    260.84    14.60    14.60
SOUTH POLE 031028 300  184000-184500   00     255.98  687.9    258.70    13.60    13.60
SOUTH POLE 031028 300  184500-185000   00     255.86  687.9    258.63    13.60    13.60
SOUTH POLE 031028 300  185000-185500   00     256.24  688.0    259.06    13.80    13.80
SOUTH POLE 031028 300  185500-190000   00     256.02  688.0    258.89    13.70    13.70
SOUTH POLE 031028 300  190000-190500   00     256.72  688.0    259.64    14.00    14.00
SOUTH POLE 031028 300  190500-191000   00     257.62  688.0    260.58    14.40    14.40
SOUTH POLE 031028 300  191000-191500   00     255.92  688.0    258.89    13.70    13.70
SOUTH POLE 031028 300  191500-192000   00     254.54  688.1    257.53    13.10    13.10
SOUTH POLE 031028 300  192000-192500   00     252.28  688.1    255.28    12.10    12.10
SOUTH POLE 031028 300  192500-193000   00     256.20  688.1    259.27    13.90    13.90
SOUTH POLE 031028 300  193000-193500   00     254.82  688.1    257.91    13.30    13.30
SOUTH POLE 031028 300  193500-194000   00     254.66  688.1    257.78    13.20    13.20
SOUTH POLE 031028 300  194000-194500   00     254.90  688.1    258.06    13.30    13.30
SOUTH POLE 031028 300  194500-195000   00     254.34  688.2    257.52    13.10    13.10
SOUTH POLE 031028 300  195000-195500   00     253.46  688.2    256.66    12.70    12.70
SOUTH POLE 031028 300  195500-200000   00     254.72  688.2    257.97    13.30    13.30
SOUTH POLE 031028 300  200000-200500   00     252.54  688.2    255.79    12.30    12.30
SOUTH POLE 031028 300  200500-201000   00     252.06  688.2    255.34    12.10    12.10
SOUTH POLE 031028 300  201000-201500   00     252.92  688.2    256.24    12.50    12.50
SOUTH POLE 031028 300  201500-202000   00     249.20  688.3    252.50    10.90    10.90
SOUTH POLE 031028 300  202000-202500   00     252.76  688.3    256.14    12.50    12.50
SOUTH POLE 031028 300  202500-203000   00     251.88  688.3    255.29    12.10    12.10
SOUTH POLE 031028 300  203000-203500   00     250.72  688.3    254.14    11.60    11.60
SOUTH POLE 031028 300  203500-204000   00     251.54  688.3    255.01    12.00    12.00
SOUTH POLE 031028 300  204000-204500   00     252.60  688.3    256.11    12.50    12.50
SOUTH POLE 031028 300  204500-205000   00     249.98  688.4    253.48    11.30    11.30
SOUTH POLE 031028 300  205000-205500   00     251.24  688.4    254.80    11.90    11.90
SOUTH POLE 031028 300  205500-210000   00     249.40  688.4    252.96    11.10    11.10
SOUTH POLE 031028 300  210000-210500   00     252.24  688.4    255.87    12.40    12.40
SOUTH POLE 031028 300  210500-211000   00     250.36  688.4    253.98    11.50    11.50
SOUTH POLE 031028 300  211000-211500   00     251.78  688.4    255.43    12.20    12.20
SOUTH POLE 031028 300  211500-212000   00     250.32  688.4    253.97    11.50    11.50
SOUTH POLE 031028 300  212000-212500   00     250.44  688.4    254.11    11.60    11.60
SOUTH POLE 031028 300  212500-213000   00     251.54  688.4    255.23    12.10    12.10
SOUTH POLE 031028 300  213000-213500   00     249.54  688.5    253.22    11.20    11.20
SOUTH POLE 031028 300  213500-214000   00     246.42  688.5    250.07     9.80     9.80
SOUTH POLE 031028 300  214000-214500   00     247.98  688.5    251.67    10.50    10.50
SOUTH POLE 031028 300  214500-215000   00     247.04  688.5    250.73    10.10    10.10
SOUTH POLE 031028 300  215000-215500   00     247.30  688.5    251.01    10.20    10.20
SOUTH POLE 031028 300  215500-220000   00     249.80  688.5    253.57    11.40    11.40
SOUTH POLE 031028 300  220000-220500   00     247.14  688.5    250.89    10.20    10.20
SOUTH POLE 031028 300  220500-221000   00     249.36  688.5    253.18    11.20    11.20
SOUTH POLE 031028 300  221000-221500   00     246.82  688.5    250.62    10.00    10.00
SOUTH POLE 031028 300  221500-222000   00     248.86  688.6    252.73    11.00    11.00
SOUTH POLE 031028 300  222000-222500   00     245.08  688.6    248.92     9.30     9.30
SOUTH POLE 031028 300  222500-223000   00     248.74  688.6    252.67    11.00    11.00
SOUTH POLE 031028 300  223000-223500   00     245.34  688.6    249.24     9.40     9.40
SOUTH POLE 031028 300  223500-224000   00     247.98  688.6    251.96    10.60    10.60
SOUTH POLE 031028 300  224000-224500   00     247.60  688.6    251.61    10.50    10.50
SOUTH POLE 031028 300  224500-225000   00     248.18  688.7    252.23    10.80    10.80
SOUTH POLE 031028 300  225000-225500   00     245.52  688.7    249.55     9.60     9.60
SOUTH POLE 031028 300  225500-230000   00     245.76  688.7    249.83     9.70     9.70
SOUTH POLE 031028 300  230000-230500   00     248.28  688.7    252.42    10.90    10.90
SOUTH POLE 031028 300  230500-231000   00     246.12  688.7    250.24     9.90     9.90
SOUTH POLE 031028 300  231000-231500   00     246.84  688.7    250.98    10.20    10.20
SOUTH POLE 031028 300  231500-232000   00     247.66  688.7    251.83    10.60    10.60
SOUTH POLE 031028 300  232000-232500   00     245.74  688.7    249.90     9.70     9.70
SOUTH POLE 031028 300  232500-233000   00     245.46  688.7    249.63     9.60     9.60
SOUTH POLE 031028 300  233000-233500   00     245.26  688.8    249.44     9.50     9.50
SOUTH POLE 031028 300  233500-234000   00     246.94  688.8    251.16    10.30    10.30
SOUTH POLE 031028 300  234000-234500   00     246.34  688.8    250.57    10.10    10.10
SOUTH POLE 031028 300  234500-235000   00     247.84  688.8    252.11    10.70    10.70
SOUTH POLE 031028 300  235000-235500   00     245.76  688.8    250.01     9.80     9.80
SOUTH POLE 031028 300  235500-240000   00     245.54  688.8    249.80     9.70     9.70
SOUTH POLE 031029 300  000000-000500   00     243.86  688.8    248.10     9.00     9.00
