TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    740     MMHG   COEFFICIENT   -0.99     % / MMHG
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE     98.11      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300      
TERREADELI SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
TERREADELI 031027 300  000000-000500   10      95.27  747.7    102.73     4.70    -9999
TERREADELI 031027 300  000500-001000   10      94.13  747.7    101.53     3.50    -9999
TERREADELI 031027 300  001000-001500   10      94.33  747.7    101.67     3.60    -9999
TERREADELI 031027 300  001500-002000   10      93.00  747.8    100.40     2.30    -9999
TERREADELI 031027 300  002000-002500   10      92.20  747.8     99.53     1.40    -9999
TERREADELI 031027 300  002500-003000   10      93.80  747.8    101.20     3.10    -9999
TERREADELI 031027 300  003000-003500   10      93.93  747.7    101.20     3.10    -9999
TERREADELI 031027 300  003500-004000   10      93.13  747.7    100.40     2.30    -9999
TERREADELI 031027 300  004000-004500   10      92.87  747.7    100.13     2.10    -9999
TERREADELI 031027 300  004500-005000   10      93.27  747.6    100.40     2.30    -9999
TERREADELI 031027 300  005000-005500   10      93.40  747.5    100.47     2.40    -9999
TERREADELI 031027 300  005500-010000   10      97.00  747.5    104.40     6.40    -9999
TERREADELI 031027 300  010000-010500   10      94.93  747.5    102.13     4.10    -9999
TERREADELI 031027 300  010500-011000   10      93.73  747.5    100.87     2.80    -9999
TERREADELI 031027 300  011000-011500   10      94.47  747.5    101.67     3.60    -9999
TERREADELI 031027 300  011500-012000   10      94.13  747.5    101.27     3.20    -9999
TERREADELI 031027 300  012000-012500   10      93.13  747.5    100.13     2.10    -9999
TERREADELI 031027 300  012500-013000   10      95.00  747.4    102.13     4.10    -9999
TERREADELI 031027 300  013000-013500   10      94.40  747.4    101.47     3.40    -9999
TERREADELI 031027 300  013500-014000   10      94.47  747.4    101.53     3.50    -9999
TERREADELI 031027 300  014000-014500   10      91.53  747.3     98.27     0.20    -9999
