THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1002.2  mb     COEFFICIENT   -0.743    % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    188.56      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      031027 3600 000000-010000   00     222.84  980.8    190.08     0.80    -9999
THULE      031027 3600 010000-020000   00     221.77  980.9    189.31     0.40    -9999
THULE      031027 3600 020000-030000   00     221.85  980.9    189.38     0.40    -9999
THULE      031027 3600 030000-040000   00     222.57  981.2    190.41     1.00    -9999
THULE      031027 3600 040000-050000   00     223.09  981.5    191.28     1.40    -9999
THULE      031027 3600 050000-060000   00     222.86  981.7    191.38     1.50    -9999
THULE      031027 3600 060000-070000   00     221.73  982.1    190.97     1.30    -9999
THULE      031027 3600 070000-080000   00     220.28  982.4    190.14     0.80    -9999
THULE      031027 3600 080000-090000   00     218.97  982.8    189.57     0.50    -9999
THULE      031027 3600 090000-100000   00     217.83  983.3    189.29     0.40    -9999
THULE      031027 3600 100000-110000   00     217.67  983.7    189.72     0.60    -9999
THULE      031027 3600 110000-120000   00     217.57  984.2    190.34     0.90    -9999
THULE      031027 3600 120000-130000   00     217.44  984.9    191.21     1.40    -9999
THULE      031027 3600 130000-140000   00     216.33  985.6    191.23     1.40    -9999
THULE      031027 3600 140000-150000   00     214.17  986.4    190.44     1.00    -9999
THULE      031027 3600 150000-160000   00     214.13  986.9    191.12     1.40    -9999
THULE      031027 3600 160000-170000   00     213.88  987.6    191.89     1.80    -9999
THULE      031027 3600 170000-180000   00     211.72  988.6    191.37     1.50    -9999
THULE      031027 3600 180000-190000   00     210.73  989.3    191.47     1.50    -9999
THULE      031027 3600 190000-200000   00     209.16  990.4    191.60     1.60    -9999
THULE      031027 3600 200000-210000   00     207.77  991.7    192.18     1.90    -9999
THULE      031027 3600 210000-220000   00     205.61  992.6    191.46     1.50    -9999
THULE      031027 3600 220000-230000   00     204.94  993.5    192.11     1.90    -9999
THULE      031027 3600 230000-240000   00     202.90  994.4    191.48     1.50    -9999
THULE      031028 3600 000000-010000   00     201.74  995.0    191.23     1.40    -9999
THULE      031028 3600 010000-020000   00     200.63  995.8    191.32     1.50    -9999
THULE      031028 3600 020000-030000   00     199.31  996.7    191.33     1.50    -9999
THULE      031028 3600 030000-040000   00     199.29  997.6    192.60     2.10    -9999
THULE      031028 3600 040000-050000   00     197.93  998.4    192.42     2.00    -9999
THULE      031028 3600 050000-060000   00     195.17  999.3    191.01     1.30    -9999
THULE      031028 3600 060000-070000   00     192.93 1000.1    189.94     0.70    -9999
THULE      031028 3600 070000-080000   00     191.93 1000.8    189.94     0.70    -9999
THULE      031028 3600 080000-090000   00     190.13 1001.3    188.86     0.20    -9999
