TSUMEB     LATITUDE    -19.2     LONGITUDE     17.6      ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18NM64    NEUTRON MONITOR     
TSUMEB     STANDARD PRESSURE    878.5   mb     COEFFICIENT   -0.701    % / mb
TSUMEB     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
TSUMEB     PRE-INCREASE AVERAGE COUNTING RATE    290.22      COUNTS PER SECOND
TSUMEB     TIME INTERVALS    300         3600     
TSUMEB     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TSUMEB     031027 3600 000000-010000   00     301.53  876.4    297.13     2.40    -9999
TSUMEB     031027 3600 010000-020000   00     305.18  876.1    300.09     3.40    -9999
TSUMEB     031027 3600 020000-030000   00     305.24  876.1    300.15     3.40    -9999
TSUMEB     031027 3600 030000-040000   00     304.00  876.4    299.55     3.20    -9999
TSUMEB     031027 3600 040000-050000   00     302.09  876.6    298.09     2.70    -9999
TSUMEB     031027 3600 050000-060000   00     302.49  876.7    298.70     2.90    -9999
TSUMEB     031027 3600 060000-070000   00     300.37  877.5    298.28     2.80    -9999
TSUMEB     031027 3600 070000-080000   00     299.28  877.7    297.61     2.50    -9999
TSUMEB     031027 3600 080000-090000   00     299.04  877.8    297.58     2.50    -9999
TSUMEB     031027 3600 090000-100000   00     303.22  877.4    300.89     3.70    -9999
TSUMEB     031027 3600 100000-110000   00     305.40  876.8    301.78     4.00    -9999
TSUMEB     031027 3600 110000-120000   00     309.08  875.9    303.50     4.60    -9999
TSUMEB     031027 3600 120000-130000   00     313.06  874.8    305.05     5.10    -9999
TSUMEB     031027 3600 130000-140000   00     316.06  874.5    307.32     5.90    -9999
TSUMEB     031027 3600 140000-150000   00     314.00  874.6    305.53     5.30    -9999
TSUMEB     031027 3600 150000-160000   00     312.58  875.0    305.00     5.10    -9999
TSUMEB     031027 3600 160000-170000   00     310.19  875.4    303.52     4.60    -9999
TSUMEB     031027 3600 170000-180000   00     308.50  875.8    302.72     4.30    -9999
TSUMEB     031027 3600 180000-190000   00     305.57  876.4    301.10     3.70    -9999
TSUMEB     031027 3600 190000-200000   00     303.42  876.8    299.83     3.30    -9999
TSUMEB     031027 3600 200000-210000   00     300.80  877.5    298.70     2.90    -9999
TSUMEB     031027 3600 210000-220000   00     298.45  878.0    297.41     2.50    -9999
TSUMEB     031027 3600 220000-230000   00     296.02  878.2    295.40     1.80    -9999
TSUMEB     031027 3600 230000-240000   00     294.61  878.1    293.79     1.20    -9999
TSUMEB     031028 3600 000000-010000   00     291.88  878.5    291.88     0.60    -9999
TSUMEB     031028 3600 010000-020000   00     288.79  878.7    289.20    -0.40    -9999
TSUMEB     031028 3600 020000-030000   00     286.16  878.9    286.96    -1.10    -9999
TSUMEB     031028 3600 030000-040000   00     283.77  879.2    285.16    -1.70    -9999
TSUMEB     031028 3600 040000-050000   00     280.83  879.4    282.61    -2.60    -9999
TSUMEB     031028 3600 050000-060000   00     280.88  880.0    283.84    -2.20    -9999
TSUMEB     031028 3600 060000-070000   00     280.83  880.3    284.40    -2.00    -9999
TSUMEB     031028 3600 070000-080000   00     284.56  880.1    287.77    -0.80    -9999
TSUMEB     031028 3600 080000-090000   00     289.15  879.7    291.59     0.50    -9999
TSUMEB     031028 3600 090000-100000   00     290.31  879.1    291.54     0.50    -9999
TSUMEB     031028 300  100000-100500   00     291.82  878.5    291.76     0.50    -9999
TSUMEB     031028 300  100500-101000   00     288.71  878.4    288.52    -0.60    -9999
TSUMEB     031028 300  101000-101500   00     290.13  878.3    289.81    -0.10    -9999
TSUMEB     031028 300  101500-102000   00     290.13  878.3    289.67    -0.20    -9999
TSUMEB     031028 300  102000-102500   00     288.31  878.2    287.72    -0.90    -9999
TSUMEB     031028 300  102500-103000   00     290.30  878.1    289.57    -0.20    -9999
TSUMEB     031028 300  103000-103500   00     293.51  878.1    292.64     0.80    -9999
TSUMEB     031028 300  103500-104000   00     290.29  878.0    289.28    -0.30    -9999
TSUMEB     031028 300  104000-104500   00     292.77  877.9    291.62     0.50    -9999
TSUMEB     031028 300  104500-105000   00     290.89  877.9    289.62    -0.20    -9999
TSUMEB     031028 300  105000-105500   00     292.24  877.8    290.82     0.20    -9999
TSUMEB     031028 300  105500-110000   00     293.12  877.7    291.56     0.50    -9999
TSUMEB     031028 300  110000-110500   00     288.35  877.7    286.68    -1.20    -1.54
TSUMEB     031028 300  110500-111000   00     302.76  877.6    300.84     3.70     3.30
TSUMEB     031028 300  111000-111500   00     302.05  877.5    299.98     3.40     2.95
TSUMEB     031028 300  111500-112000   00     296.85  877.4    294.66     1.50     0.99
TSUMEB     031028 300  112000-112500   00     301.41  877.4    299.03     3.00     2.43
TSUMEB     031028 300  112500-113000   00     296.49  877.3    293.99     1.30     0.68
TSUMEB     031028 300  113000-113500   00     295.22  877.2    292.58     0.80     0.12
TSUMEB     031028 300  113500-114000   00     296.62  877.1    293.81     1.20     0.46
TSUMEB     031028 300  114000-114500   00     295.42  877.1    292.47     0.80     0.01
TSUMEB     031028 300  114500-115000   00     298.55  877.0    295.41     1.80     0.95
TSUMEB     031028 300  115000-115500   00     295.97  876.9    292.71     0.90    -0.01
TSUMEB     031028 300  115500-120000   00     295.59  876.8    292.18     0.70    -0.26
TSUMEB     031028 300  120000-120500   00     296.30  876.8    292.75     0.90    -0.12
TSUMEB     031028 300  120500-121000   00     296.54  876.7    292.86     0.90    -9999
TSUMEB     031028 300  121000-121500   00     299.30  876.7    295.46     1.80    -9999
TSUMEB     031028 300  121500-122000   00     294.65  876.6    290.75     0.20    -9999
TSUMEB     031028 300  122000-122500   00     298.31  876.5    294.24     1.40    -9999
TSUMEB     031028 300  122500-123000   00     298.32  876.5    294.13     1.30    -9999
TSUMEB     031028 300  123000-123500   00     301.51  876.4    297.16     2.40    -9999
TSUMEB     031028 300  123500-124000   00     297.68  876.4    293.27     1.10    -9999
TSUMEB     031028 300  124000-124500   00     299.60  876.3    295.03     1.70    -9999
TSUMEB     031028 300  124500-125000   00     300.77  876.3    296.07     2.00    -9999
TSUMEB     031028 300  125000-125500   00     298.24  876.2    293.45     1.10    -9999
TSUMEB     031028 300  125500-130000   00     299.60  876.1    294.68     1.50    -9999
TSUMEB     031028 300  130000-130500   00     298.15  876.1    293.15     1.00    -9999
TSUMEB     031028 300  130500-131000   00     301.15  876.0    296.01     2.00    -9999
TSUMEB     031028 300  131000-131500   00     299.37  876.0    294.17     1.40    -9999
TSUMEB     031028 300  131500-132000   00     302.15  876.0    296.82     2.30    -9999
TSUMEB     031028 300  132000-132500   00     299.20  875.9    293.83     1.20    -9999
TSUMEB     031028 300  132500-133000   00     302.92  875.9    297.40     2.50    -9999
TSUMEB     031028 300  133000-133500   00     302.38  875.8    296.78     2.30    -9999
TSUMEB     031028 300  133500-134000   00     299.13  875.8    293.50     1.10    -9999
TSUMEB     031028 300  134000-134500   00     300.86  875.8    295.11     1.70    -9999
TSUMEB     031028 300  134500-135000   00     301.23  875.7    295.39     1.80    -9999
TSUMEB     031028 300  135000-135500   00     301.66  875.7    295.73     1.90    -9999
TSUMEB     031028 300  135500-140000   00     303.45  875.6    297.40     2.50    -9999
TSUMEB     031028 300  140000-140500   00     300.84  875.6    294.80     1.60    -9999
TSUMEB     031028 300  140500-141000   00     303.83  875.6    297.74     2.60    -9999
TSUMEB     031028 300  141000-141500   00     302.01  875.6    295.98     2.00    -9999
TSUMEB     031028 300  141500-142000   00     301.53  875.6    295.52     1.80    -9999
TSUMEB     031028 300  142000-142500   00     303.09  875.6    297.07     2.40    -9999
TSUMEB     031028 300  142500-143000   00     300.10  875.6    294.15     1.40    -9999
TSUMEB     031028 300  143000-143500   00     299.80  875.7    293.88     1.30    -9999
TSUMEB     031028 300  143500-144000   00     302.94  875.7    296.97     2.30    -9999
TSUMEB     031028 300  144000-144500   00     302.80  875.7    296.86     2.30    -9999
TSUMEB     031028 300  144500-145000   00     295.39  875.7    289.61    -0.20    -9999
TSUMEB     031028 300  145000-145500   00     302.65  875.7    296.74     2.20    -9999
TSUMEB     031028 300  145500-150000   00     301.37  875.7    295.51     1.80    -9999
TSUMEB     031028 300  150000-150500   00     300.20  875.7    294.39     1.40    -9999
TSUMEB     031028 300  150500-151000   00     303.09  875.7    297.29     2.40    -9999
TSUMEB     031028 300  151000-151500   00     303.62  875.8    297.89     2.60    -9999
TSUMEB     031028 300  151500-152000   00     302.12  875.8    296.48     2.20    -9999
TSUMEB     031028 300  152000-152500   00     302.82  875.8    297.23     2.40    -9999
TSUMEB     031028 300  152500-153000   00     301.46  875.9    295.98     2.00    -9999
TSUMEB     031028 300  153000-153500   00     301.51  875.9    296.09     2.00    -9999
TSUMEB     031028 300  153500-154000   00     302.76  875.9    297.39     2.50    -9999
TSUMEB     031028 300  154000-154500   00     299.55  876.0    294.31     1.40    -9999
TSUMEB     031028 300  154500-155000   00     301.04  876.0    295.83     1.90    -9999
TSUMEB     031028 300  155000-155500   00     300.00  876.0    294.88     1.60    -9999
TSUMEB     031028 300  155500-160000   00     297.27  876.1    292.27     0.70    -9999
TSUMEB     031028 300  160000-160500   00     300.29  876.1    295.34     1.80    -9999
TSUMEB     031028 300  160500-161000   00     302.79  876.2    297.96     2.70    -9999
TSUMEB     031028 300  161000-161500   00     300.58  876.3    295.94     2.00    -9999
TSUMEB     031028 300  161500-162000   00     300.17  876.4    295.69     1.90    -9999
TSUMEB     031028 300  162000-162500   00     300.67  876.4    296.34     2.10    -9999
TSUMEB     031028 300  162500-163000   00     297.13  876.5    293.00     1.00    -9999
TSUMEB     031028 300  163000-163500   00     300.29  876.6    296.27     2.10    -9999
TSUMEB     031028 300  163500-164000   00     298.64  876.7    294.80     1.60    -9999
TSUMEB     031028 300  164000-164500   00     299.65  876.7    295.95     2.00    -9999
TSUMEB     031028 300  164500-165000   00     298.08  876.8    294.56     1.50    -9999
TSUMEB     031028 300  165000-165500   00     298.72  876.9    295.35     1.80    -9999
TSUMEB     031028 300  165500-170000   00     301.45  877.0    298.20     2.70    -9999
TSUMEB     031028 300  170000-170500   00     301.15  877.0    298.05     2.70    -9999
TSUMEB     031028 300  170500-171000   00     294.89  877.1    292.00     0.60    -9999
TSUMEB     031028 300  171000-171500   00     299.21  877.2    296.41     2.10    -9999
TSUMEB     031028 300  171500-172000   00     297.05  877.2    294.41     1.40    -9999
TSUMEB     031028 300  172000-172500   00     297.14  877.3    294.63     1.50    -9999
TSUMEB     031028 300  172500-173000   00     296.73  877.4    294.36     1.40    -9999
TSUMEB     031028 300  173000-173500   00     296.99  877.4    294.76     1.60    -9999
TSUMEB     031028 300  173500-174000   00     296.80  877.5    294.71     1.50    -9999
TSUMEB     031028 300  174000-174500   00     296.89  877.6    294.94     1.60    -9999
TSUMEB     031028 300  174500-175000   00     299.56  877.6    297.74     2.60    -9999
TSUMEB     031028 300  175000-175500   00     297.18  877.7    295.50     1.80    -9999
TSUMEB     031028 300  175500-180000   00     294.48  877.8    292.95     0.90    -9999
TSUMEB     031028 300  180000-180500   00     294.51  877.8    293.13     1.00    -9999
TSUMEB     031028 300  180500-181000   00     294.03  877.9    292.80     0.90    -9999
TSUMEB     031028 300  181000-181500   00     293.24  878.0    292.17     0.70    -9999
TSUMEB     031028 300  181500-182000   00     294.19  878.1    293.27     1.10    -9999
TSUMEB     031028 300  182000-182500   00     295.31  878.1    294.54     1.50    -9999
TSUMEB     031028 300  182500-183000   00     292.94  878.2    292.34     0.70    -9999
TSUMEB     031028 300  183000-183500   00     291.10  878.3    290.65     0.10    -9999
TSUMEB     031028 300  183500-184000   00     293.38  878.4    293.08     1.00    -9999
TSUMEB     031028 300  184000-184500   00     294.02  878.4    293.88     1.30    -9999
TSUMEB     031028 300  184500-185000   00     291.49  878.5    291.50     0.40    -9999
TSUMEB     031028 300  185000-185500   00     291.11  878.6    291.28     0.40    -9999
TSUMEB     031028 300  185500-190000   00     293.86  878.7    294.18     1.40    -9999
TSUMEB     031028 300  190000-190500   00     296.41  878.7    296.88     2.30    -9999
TSUMEB     031028 300  190500-191000   00     293.21  878.8    293.81     1.20    -9999
TSUMEB     031028 300  191000-191500   00     292.02  878.9    292.76     0.90    -9999
TSUMEB     031028 300  191500-192000   00     292.03  878.9    292.90     0.90    -9999
TSUMEB     031028 300  192000-192500   00     293.33  879.0    294.34     1.40    -9999
TSUMEB     031028 300  192500-193000   00     291.77  879.1    292.92     0.90    -9999
TSUMEB     031028 300  193000-193500   00     290.60  879.1    291.88     0.60    -9999
TSUMEB     031028 300  193500-194000   00     292.58  879.2    294.01     1.30    -9999
TSUMEB     031028 300  194000-194500   00     290.24  879.3    291.79     0.50    -9999
TSUMEB     031028 300  194500-195000   00     286.12  879.3    287.78    -0.80    -9999
TSUMEB     031028 300  195000-195500   00     290.36  879.4    292.19     0.70    -9999
TSUMEB     031028 300  195500-200000   00     288.65  879.5    290.59     0.10    -9999
TSUMEB     031028 300  200000-200500   00     285.36  879.5    287.35    -1.00    -9999
TSUMEB     031028 300  200500-201000   00     286.59  879.5    288.56    -0.60    -9999
TSUMEB     031028 300  201000-201500   00     288.21  879.5    290.15     0.00    -9999
TSUMEB     031028 300  201500-202000   00     286.54  879.4    288.44    -0.60    -9999
TSUMEB     031028 300  202000-202500   00     287.67  879.4    289.54    -0.20    -9999
TSUMEB     031028 300  202500-203000   00     288.42  879.4    290.27     0.00    -9999
TSUMEB     031028 300  203000-203500   00     286.94  879.4    288.75    -0.50    -9999
TSUMEB     031028 300  203500-204000   00     286.08  879.4    287.85    -0.80    -9999
TSUMEB     031028 300  204000-204500   00     286.12  879.4    287.85    -0.80    -9999
TSUMEB     031028 300  204500-205000   00     288.28  879.3    289.98    -0.10    -9999
TSUMEB     031028 300  205000-205500   00     285.34  879.3    287.00    -1.10    -9999
TSUMEB     031028 300  205500-210000   00     287.72  879.3    289.36    -0.30    -9999
TSUMEB     031028 300  210000-210500   00     283.52  879.3    285.10    -1.80    -9999
TSUMEB     031028 300  210500-211000   00     286.52  879.3    288.06    -0.70    -9999
TSUMEB     031028 300  211000-211500   00     287.39  879.2    288.88    -0.50    -9999
TSUMEB     031028 300  211500-212000   00     287.38  879.2    288.83    -0.50    -9999
TSUMEB     031028 300  212000-212500   00     287.84  879.2    289.24    -0.30    -9999
TSUMEB     031028 300  212500-213000   00     289.09  879.2    290.44     0.10    -9999
TSUMEB     031028 300  213000-213500   00     290.52  879.1    291.82     0.60    -9999
TSUMEB     031028 300  213500-214000   00     291.77  879.1    293.03     1.00    -9999
