YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    991.6   mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     10.97      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    031027 3600 000000-010000   00      10.47  999.9     11.11     1.30    -9999
YAKUTSK    031027 3600 010000-020000   00      10.47 1000.2     11.14     1.50    -9999
YAKUTSK    031027 3600 020000-030000   00      10.41 1000.4     11.09     1.10    -9999
YAKUTSK    031027 3600 030000-040000   00      10.43 1000.5     11.13     1.40    -9999
YAKUTSK    031027 3600 040000-050000   00      10.57 1000.6     11.28     2.80    -9999
YAKUTSK    031027 3600 050000-060000   00      10.63 1001.1     11.39     3.80    -9999
YAKUTSK    031027 3600 060000-070000   00      10.56 1001.4     11.34     3.40    -9999
YAKUTSK    031027 3600 070000-080000   00      10.43 1001.9     11.23     2.40    -9999
YAKUTSK    031027 3600 080000-090000   00      10.43 1002.3     11.26     2.70    -9999
YAKUTSK    031027 3600 090000-100000   00      10.40 1002.6     11.26     2.70    -9999
YAKUTSK    031027 3600 100000-110000   00      10.33 1003.0     11.21     2.30    -9999
YAKUTSK    031027 3600 110000-120000   00      10.37 1003.1     11.26     2.70    -9999
YAKUTSK    031027 3600 120000-130000   00      10.31 1003.1     11.20     2.20    -9999
YAKUTSK    031027 3600 130000-140000   00      10.33 1002.8     11.19     2.10    -9999
YAKUTSK    031027 3600 140000-150000   00      10.37 1002.5     11.22     2.30    -9999
YAKUTSK    031027 3600 150000-160000   00      10.27 1002.2     11.09     1.10    -9999
YAKUTSK    031027 3600 160000-170000   00      10.32 1002.1     11.13     1.50    -9999
YAKUTSK    031027 3600 170000-180000   00      10.42 1001.9     11.22     2.30    -9999
YAKUTSK    031027 3600 180000-190000   00      10.45 1001.6     11.23     2.40    -9999
YAKUTSK    031027 3600 190000-200000   00      10.48 1001.3     11.24     2.50    -9999
YAKUTSK    031027 3600 200000-210000   00      10.46 1000.7     11.17     1.80    -9999
YAKUTSK    031027 3600 210000-220000   00      10.31 1000.1     10.96     0.00    -9999
YAKUTSK    031027 3600 220000-230000   00      10.37  999.6     10.98     0.10    -9999
YAKUTSK    031027 3600 230000-240000   00      10.40  998.5     10.93    -0.30    -9999
YAKUTSK    031028 3600 000000-010000   00      10.59  997.9     11.08     1.00    -9999
YAKUTSK    031028 3600 010000-020000   00      10.83  997.0     11.26     2.70    -9999
YAKUTSK    031028 3600 020000-030000   00      10.93  995.9     11.28     2.80    -9999
YAKUTSK    031028 3600 030000-040000   00      11.03  994.5     11.26     2.70    -9999
YAKUTSK    031028 3600 040000-050000   00      11.15  993.3     11.29     2.90    -9999
YAKUTSK    031028 3600 050000-060000   00      11.21  992.2     11.26     2.60    -9999
YAKUTSK    031028 3600 060000-070000   00      11.22  991.4     11.20     2.10    -9999
YAKUTSK    031028 3600 070000-080000   00      11.21  991.0     11.17     1.80    -9999
YAKUTSK    031028 3600 080000-090000   00      11.23  991.0     11.18     2.00    -9999
YAKUTSK    031028 300  090000-090500   00      11.22  991.3     11.19     2.10    -9999
YAKUTSK    031028 300  090500-091000   00      11.02  991.3     11.00     0.30    -9999
YAKUTSK    031028 300  091000-091500   00      11.25  991.4     11.23     2.40    -9999
YAKUTSK    031028 300  091500-092000   00      11.12  991.4     11.10     1.20    -9999
YAKUTSK    031028 300  092000-092500   00      11.38  991.4     11.37     3.70    -9999
YAKUTSK    031028 300  092500-093000   00      11.05  991.4     11.04     0.60    -9999
YAKUTSK    031028 300  093000-093500   00      11.03  991.5     11.02     0.50    -9999
YAKUTSK    031028 300  093500-094000   00      11.05  991.5     11.04     0.70    -9999
YAKUTSK    031028 300  094000-094500   00      11.05  991.5     11.04     0.70    -9999
YAKUTSK    031028 300  094500-095000   00      11.22  991.5     11.21     2.20    -9999
YAKUTSK    031028 300  095000-095500   00      11.02  991.6     11.01     0.40    -9999
YAKUTSK    031028 300  095500-100000   00      10.98  991.6     10.98     0.10    -9999
YAKUTSK    031028 300  100000-100500   00      10.87  991.6     10.87    -0.90    -9999
YAKUTSK    031028 300  100500-101000   00      11.17  991.6     11.17     1.90    -9999
YAKUTSK    031028 300  101000-101500   00      11.12  991.7     11.12     1.40    -9999
YAKUTSK    031028 300  101500-102000   00      10.85  991.7     10.86    -1.00    -9999
YAKUTSK    031028 300  102000-102500   00      11.13  991.7     11.15     1.60    -9999
YAKUTSK    031028 300  102500-103000   00      10.95  991.8     10.96     0.00    -9999
YAKUTSK    031028 300  103000-103500   00      10.87  991.8     10.88    -0.80    -9999
YAKUTSK    031028 300  103500-104000   00      10.97  991.8     10.99     0.20    -9999
YAKUTSK    031028 300  104000-104500   00      11.08  991.9     11.11     1.30    -9999
YAKUTSK    031028 300  104500-105000   00      10.90  991.9     10.92    -0.40    -9999
YAKUTSK    031028 300  105000-105500   00      10.82  991.9     10.84    -1.10    -9999
YAKUTSK    031028 300  105500-110000   00      10.88  992.0     10.91    -0.50    -9999
YAKUTSK    031028 300  110000-110500   00      10.70  992.0     10.73    -2.10    -2.10
YAKUTSK    031028 300  110500-111000   00      10.97  992.0     11.00     0.30     0.30
YAKUTSK    031028 300  111000-111500   00      11.17  992.1     11.20     2.20     2.20
YAKUTSK    031028 300  111500-112000   00      11.08  992.1     11.12     1.40     1.40
YAKUTSK    031028 300  112000-112500   00      11.22  992.1     11.26     2.70     2.70
YAKUTSK    031028 300  112500-113000   00      11.12  992.1     11.16     1.80     1.80
YAKUTSK    031028 300  113000-113500   00      11.23  992.2     11.28     2.80     2.80
YAKUTSK    031028 300  113500-114000   00      11.58  992.2     11.63     6.10     6.10
YAKUTSK    031028 300  114000-114500   00      11.63  992.2     11.68     6.50     6.50
YAKUTSK    031028 300  114500-115000   00      11.47  992.2     11.52     5.00     5.00
YAKUTSK    031028 300  115000-115500   00      11.72  992.3     11.77     7.30     7.30
YAKUTSK    031028 300  115500-120000   00      11.63  992.3     11.69     6.60     6.60
YAKUTSK    031028 300  120000-120500   00      11.97  992.3     12.03     9.70     9.70
YAKUTSK    031028 300  120500-121000   00      11.62  992.3     11.68     6.50     6.50
YAKUTSK    031028 300  121000-121500   00      11.57  992.4     11.63     6.00     6.00
YAKUTSK    031028 300  121500-122000   00      11.62  992.4     11.68     6.50     6.50
YAKUTSK    031028 300  122000-122500   00      11.48  992.4     11.55     5.30     5.30
YAKUTSK    031028 300  122500-123000   00      11.88  992.4     11.95     9.00     9.00
YAKUTSK    031028 300  123000-123500   00      11.58  992.5     11.66     6.30     6.30
YAKUTSK    031028 300  123500-124000   00      11.75  992.5     11.83     7.80     7.80
YAKUTSK    031028 300  124000-124500   00      11.68  992.5     11.76     7.20     7.20
YAKUTSK    031028 300  124500-125000   00      11.75  992.5     11.83     7.90     7.90
YAKUTSK    031028 300  125000-125500   00      11.52  992.6     11.60     5.70     5.70
YAKUTSK    031028 300  125500-130000   00      11.58  992.6     11.67     6.40     6.40
YAKUTSK    031028 300  130000-130500   00      11.45  992.6     11.53     5.20     5.20
YAKUTSK    031028 300  130500-131000   00      11.20  992.7     11.29     2.90     2.90
YAKUTSK    031028 300  131000-131500   00      11.50  992.7     11.59     5.70     5.70
YAKUTSK    031028 300  131500-132000   00      11.50  992.8     11.60     5.80     5.80
YAKUTSK    031028 300  132000-132500   00      11.27  992.9     11.37     3.70     3.70
YAKUTSK    031028 300  132500-133000   00      11.23  992.9     11.34     3.40     3.40
YAKUTSK    031028 300  133000-133500   00      11.45  993.0     11.56     5.40     5.40
YAKUTSK    031028 300  133500-134000   00      11.38  993.0     11.50     4.90     4.90
