ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675.7   MB     COEFFICIENT   -0.74     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE    126.07      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 061212 3600 000000-010000   00     122.31  679.0    125.33    -0.59    -9999
ALMA-ATA-B 061212 3600 010000-020000   00     122.01  678.8    124.84    -0.98    -9999
ALMA-ATA-B 061212 3600 020000-030000   00     122.49  678.6    125.15    -0.73    -9999
ALMA-ATA-B 061212 3600 030000-040000   00     122.79  678.5    125.36    -0.56    -9999
ALMA-ATA-B 061212 3600 040000-050000   00     123.64  678.3    126.04    -0.03    -9999
ALMA-ATA-B 061212 3600 050000-060000   00     124.31  678.2    126.63     0.44    -9999
ALMA-ATA-B 061212 3600 060000-070000   00     124.94  677.9    127.00     0.73    -9999
ALMA-ATA-B 061212 3600 070000-080000   00     125.19  677.5    126.86     0.63    -9999
ALMA-ATA-B 061212 3600 080000-090000   00     125.26  677.3    126.75     0.54    -9999
ALMA-ATA-B 061212 3600 090000-100000   00     125.19  677.3    126.68     0.49    -9999
ALMA-ATA-B 061212 3600 100000-110000   00     125.39  677.3    126.89     0.65    -9999
ALMA-ATA-B 061212 3600 110000-120000   00     125.46  677.1    126.77     0.55    -9999
ALMA-ATA-B 061212 3600 120000-130000   00     125.02  677.1    126.32     0.20    -9999
ALMA-ATA-B 061212 3600 130000-140000   00     125.02  677.1    126.32     0.20    -9999
ALMA-ATA-B 061212 3600 140000-150000   00     125.02  677.0    126.22     0.12    -9999
ALMA-ATA-B 061212 3600 150000-160000   00     124.81  676.9    125.93    -0.12    -9999
ALMA-ATA-B 061212 3600 160000-170000   00     125.19  676.6    126.03    -0.03    -9999
ALMA-ATA-B 061212 3600 170000-180000   00     124.92  676.4    125.56    -0.40    -9999
ALMA-ATA-B 061212 3600 180000-190000   00     125.51  676.2    125.98    -0.07    -9999
ALMA-ATA-B 061212 3600 190000-200000   00     125.54  676.2    126.01    -0.05    -9999
ALMA-ATA-B 061212 3600 200000-210000   00     125.88  675.9    126.07     0.00    -9999
ALMA-ATA-B 061212 3600 210000-220000   00     125.80  675.9    125.98    -0.07    -9999
ALMA-ATA-B 061212 3600 220000-230000   00     125.83  675.8    125.92    -0.12    -9999
ALMA-ATA-B 061212 3600 230000-240000   00     125.77  675.7    125.77    -0.24    -9999
ALMA-ATA-B 061213 3600 000000-010000   00     126.12  675.7    126.12     0.04    -9999
ALMA-ATA-B 061213 300  010000-010500   00     125.81  675.7    125.81    -0.21    -9999
ALMA-ATA-B 061213 300  010500-011000   00     125.66  675.7    125.66    -0.32    -9999
ALMA-ATA-B 061213 300  011000-011500   00     126.20  675.7    126.20     0.10    -9999
ALMA-ATA-B 061213 300  011500-012000   00     126.07  675.7    126.07     0.00    -9999
ALMA-ATA-B 061213 300  012000-012500   00     125.28  675.7    125.28    -0.62    -9999
ALMA-ATA-B 061213 300  012500-013000   00     125.96  675.7    125.96    -0.09    -9999
ALMA-ATA-B 061213 300  013000-013500   00     125.32  675.7    125.32    -0.59    -9999
ALMA-ATA-B 061213 300  013500-014000   00     126.55  675.7    126.55     0.38    -9999
ALMA-ATA-B 061213 300  014000-014500   00     126.43  675.7    126.43     0.28    -9999
ALMA-ATA-B 061213 300  014500-015000   00     126.16  675.7    126.16     0.07    -9999
ALMA-ATA-B 061213 300  015000-015500   00     126.21  675.7    126.21     0.11    -9999
ALMA-ATA-B 061213 300  015500-020000   00     127.21  675.7    127.21     0.90    -9999
ALMA-ATA-B 061213 300  020000-020500   00     126.46  675.7    126.47     0.32    -9999
ALMA-ATA-B 061213 300  020500-021000   00     126.38  675.7    126.42     0.28    -9999
ALMA-ATA-B 061213 300  021000-021500   00     127.27  675.8    127.33     1.00    -9999
ALMA-ATA-B 061213 300  021500-022000   00     126.74  675.8    126.82     0.60    -9999
ALMA-ATA-B 061213 300  022000-022500   00     125.96  675.8    126.06    -0.01    -9999
ALMA-ATA-B 061213 300  022500-023000   00     126.90  675.8    127.02     0.76    -9999
ALMA-ATA-B 061213 300  023000-023500   00     126.39  675.9    126.54     0.37    -9999
ALMA-ATA-B 061213 300  023500-024000   00     126.69  675.9    126.86     0.63    -9999
ALMA-ATA-B 061213 300  024000-024500   00     126.37  675.9    126.57     0.39    -9999
ALMA-ATA-B 061213 300  024500-025000   00     126.60  675.9    126.83     0.60    -9999
ALMA-ATA-B 061213 300  025000-025500   00     126.46  676.0    126.71     0.50    -9999
ALMA-ATA-B 061213 300  025500-030000   00     126.04  676.0    126.31     0.19    -9999
ALMA-ATA-B 061213 300  030000-030500   00     126.68  676.0    126.97     0.71    -9999
ALMA-ATA-B 061213 300  030500-031000   00     127.59  676.0    127.89     1.45    -9999
ALMA-ATA-B 061213 300  031000-031500   00     126.78  676.0    127.10     0.82    -9999
ALMA-ATA-B 061213 300  031500-032000   00     127.11  676.1    127.44     1.09    -9999
ALMA-ATA-B 061213 300  032000-032500   00     127.79  676.1    128.14     1.64    -9999
ALMA-ATA-B 061213 300  032500-033000   00     126.46  676.1    126.83     0.60    -9999
