APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    mB     COEFFICIENT   -0.74     % / mB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    162.19      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mB)      C/S
APATITY  L 061212 3600 000000-010000   00    -999.00 -999.0    160.31    -1.20    -9999
APATITY  L 061212 3600 010000-020000   00    -999.00 -999.0    159.92    -1.40    -9999
APATITY  L 061212 3600 020000-030000   00    -999.00 -999.0    159.81    -1.50    -9999
APATITY  L 061212 3600 030000-040000   00    -999.00 -999.0    159.81    -1.50    -9999
APATITY  L 061212 3600 040000-050000   00    -999.00 -999.0    159.42    -1.70    -9999
APATITY  L 061212 3600 050000-060000   00    -999.00 -999.0    160.44    -1.10    -9999
APATITY  L 061212 3600 060000-070000   00    -999.00 -999.0    160.69    -0.90    -9999
APATITY  L 061212 3600 070000-080000   00    -999.00 -999.0    160.95    -0.80    -9999
APATITY  L 061212 3600 080000-090000   00    -999.00 -999.0    160.83    -0.80    -9999
APATITY  L 061212 3600 090000-100000   00    -999.00 -999.0    161.22    -0.60    -9999
APATITY  L 061212 3600 100000-110000   00    -999.00 -999.0    161.72    -0.30    -9999
APATITY  L 061212 3600 110000-120000   00    -999.00 -999.0    161.61    -0.40    -9999
APATITY  L 061212 3600 120000-130000   00    -999.00 -999.0    161.61    -0.40    -9999
APATITY  L 061212 3600 130000-140000   00    -999.00 -999.0    161.08    -0.70    -9999
APATITY  L 061212 3600 140000-150000   00    -999.00 -999.0    161.47    -0.40    -9999
APATITY  L 061212 3600 150000-160000   00    -999.00 -999.0    161.86    -0.20    -9999
APATITY  L 061212 3600 160000-170000   00    -999.00 -999.0    162.11     0.00    -9999
APATITY  L 061212 3600 170000-180000   00    -999.00 -999.0    161.97    -0.10    -9999
APATITY  L 061212 3600 180000-190000   00    -999.00 -999.0    161.72    -0.30    -9999
APATITY  L 061212 3600 190000-200000   00    -999.00 -999.0    161.86    -0.20    -9999
APATITY  L 061212 3600 200000-210000   00    -999.00 -999.0    161.33    -0.50    -9999
APATITY  L 061212 3600 210000-220000   00    -999.00 -999.0    161.22    -0.60    -9999
APATITY  L 061212 3600 220000-230000   00    -999.00 -999.0    161.22    -0.60    -9999
APATITY  L 061212 3600 230000-240000   00    -999.00 -999.0    161.22    -0.60    -9999
APATITY  L 061213 300  000000-000500   00     207.66  975.3    162.19     0.00    -9999
APATITY  L 061213 300  000500-001000   00     206.32  975.3    161.13    -0.70    -9999
APATITY  L 061213 300  001000-001500   00     206.94  975.2    161.57    -0.40    -9999
APATITY  L 061213 300  001500-002000   00     207.60  975.2    162.04    -0.10    -9999
APATITY  L 061213 300  002000-002500   00     208.32  975.2    162.54     0.20    -9999
APATITY  L 061213 300  002500-003000   00     208.06  975.2    162.36     0.10    -9999
APATITY  L 061213 300  003000-003500   00     205.82  975.1    160.49    -1.00    -9999
APATITY  L 061213 300  003500-004000   00     207.08  975.1    161.39    -0.50    -9999
APATITY  L 061213 300  004000-004500   00     207.58  975.0    161.73    -0.30    -9999
APATITY  L 061213 300  004500-005000   00     205.84  975.0    160.36    -1.10    -9999
APATITY  L 061213 300  005000-005500   00     208.14  975.0    162.16     0.00    -9999
APATITY  L 061213 300  005500-010000   00     207.72  975.1    161.93    -0.20    -9999
APATITY  L 061213 300  010000-010500   00     206.32  975.1    160.85    -0.80    -9999
APATITY  L 061213 300  010500-011000   00     207.12  975.1    161.46    -0.40    -9999
APATITY  L 061213 300  011000-011500   00     208.42  975.1    162.42     0.10    -9999
APATITY  L 061213 300  011500-012000   00     208.32  975.1    162.37     0.10    -9999
APATITY  L 061213 300  012000-012500   00     206.20  975.0    160.65    -0.90    -9999
APATITY  L 061213 300  012500-013000   00     206.44  975.0    160.73    -0.90    -9999
APATITY  L 061213 300  013000-013500   00     209.52  974.9    163.02     0.50    -9999
APATITY  L 061213 300  013500-014000   00     211.22  974.9    164.29     1.30    -9999
APATITY  L 061213 300  014000-014500   00     210.22  974.8    163.34     0.70    -9999
APATITY  L 061213 300  014500-015000   00     207.92  974.7    161.50    -0.40    -9999
APATITY  L 061213 300  015000-015500   00     210.18  974.7    163.23     0.60    -9999
APATITY  L 061213 300  015500-020000   00     208.98  974.8    162.35     0.10    -9999
