ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    990.5   mb     COEFFICIENT   -0.7      % / mb
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     51.18      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ATHENS     061212 3600 000000-010000   00      52.70  986.5     51.25     0.10    -9999
ATHENS     061212 3600 010000-020000   00      53.50  985.7     51.73     1.10    -9999
ATHENS     061212 3600 020000-030000   00      53.07  984.9     51.03    -0.30    -9999
ATHENS     061212 3600 030000-040000   00      53.17  984.2     50.88    -0.60    -9999
ATHENS     061212 3600 040000-050000   00      53.91  984.0     51.51     0.60    -9999
ATHENS     061212 3600 050000-060000   00      54.21  984.0     51.80     1.20    -9999
ATHENS     061212 3600 060000-070000   00      54.27  984.1     51.89     1.40    -9999
ATHENS     061212 3600 070000-080000   00      53.76  984.3     51.48     0.60    -9999
ATHENS     061212 3600 080000-090000   00      53.81  984.4     51.56     0.70    -9999
ATHENS     061212 3600 090000-100000   00      54.15  984.0     51.75     1.10    -9999
ATHENS     061212 3600 100000-110000   00      54.58  983.4     51.93     1.50    -9999
ATHENS     061212 3600 110000-120000   00      54.61  983.5     52.00     1.60    -9999
ATHENS     061212 3600 120000-130000   00      54.15  984.1     51.78     1.20    -9999
ATHENS     061212 3600 130000-140000   00      54.03  984.6     51.84     1.30    -9999
ATHENS     061212 3600 140000-150000   00      53.34  985.2     51.40     0.40    -9999
ATHENS     061212 3600 150000-160000   00      51.57  986.0     49.97    -2.40    -9999
ATHENS     061212 3600 160000-170000   00      52.74  987.1     51.50     0.60    -9999
ATHENS     061212 3600 170000-180000   00      52.55  987.7     51.53     0.70    -9999
ATHENS     061212 3600 180000-190000   00      51.74  988.2     50.91    -0.50    -9999
ATHENS     061212 3600 190000-200000   00      52.26  988.8     51.64     0.90    -9999
ATHENS     061212 3600 200000-210000   00      51.84  989.3     51.41     0.40    -9999
ATHENS     061212 3600 210000-220000   00      51.81  989.7     51.52     0.70    -9999
ATHENS     061212 3600 220000-230000   00      51.54  989.6     51.22     0.10    -9999
ATHENS     061212 3600 230000-240000   00      51.76  990.1     51.61     0.80    -9999
ATHENS     061213 3600 000000-010000   00      51.18  990.5     51.18     0.00    -9999
ATHENS     061213 300  010000-010500   00      50.61  990.5     50.61    -1.10    -9999
ATHENS     061213 300  010500-011000   00      49.94  990.5     49.96    -2.40    -9999
ATHENS     061213 300  011000-011500   00      51.66  990.6     51.69     1.00    -9999
ATHENS     061213 300  011500-012000   00      51.54  990.6     51.59     0.80    -9999
ATHENS     061213 300  012000-012500   00      50.68  990.6     50.73    -0.90    -9999
ATHENS     061213 300  012500-013000   00      50.32  990.7     50.39    -1.50    -9999
ATHENS     061213 300  013000-013500   00      51.15  990.7     51.23     0.10    -9999
ATHENS     061213 300  013500-014000   00      52.86  990.7     52.95     3.50    -9999
ATHENS     061213 300  014000-014500   00      51.18  990.8     51.28     0.20    -9999
ATHENS     061213 300  014500-015000   00      52.00  990.8     52.11     1.80    -9999
ATHENS     061213 300  015000-015500   00      50.86  990.8     50.98    -0.40    -9999
ATHENS     061213 300  015500-020000   00      50.53  990.9     50.66    -1.00    -9999
ATHENS     061213 300  020000-020500   00      51.11  990.9     51.26     0.20    -9999
ATHENS     061213 300  020500-021000   00      50.98  991.0     51.15    -0.10    -9999
ATHENS     061213 300  021000-021500   00      51.43  991.0     51.61     0.80    -9999
ATHENS     061213 300  021500-022000   00      52.14  991.0     52.34     2.30    -9999
ATHENS     061213 300  022000-022500   00      51.20  991.1     51.41     0.40    -9999
ATHENS     061213 300  022500-023000   00      51.93  991.1     52.16     1.90    -9999
ATHENS     061213 300  023000-023500   00      49.89  991.2     50.13    -2.10    -9999
ATHENS     061213 300  023500-024000   00      52.66  991.2     52.92     3.40    -9999
ATHENS     061213 300  024000-024500   00      50.74  991.3     51.01    -0.30    -9999
ATHENS     061213 300  024500-025000   00      51.45  991.3     51.73     1.10    -9999
ATHENS     061213 300  025000-025500   00      52.06  991.3     52.36     2.30    -9999
ATHENS     061213 300  025500-030000   00      51.22  991.4     51.54     0.70    -9999
ATHENS     061213 300  030000-030500   00      52.23  991.4     52.57     2.70    -9999
ATHENS     061213 300  030500-031000   00      51.97  991.5     52.32     2.20    -9999
ATHENS     061213 300  031000-031500   00      51.69  991.5     52.06     1.70    -9999
ATHENS     061213 300  031500-032000   00      51.59  991.6     51.98     1.60    -9999
ATHENS     061213 300  032000-032500   00      51.09  991.6     51.49     0.60    -9999
ATHENS     061213 300  032500-033000   00      50.85  991.7     51.27     0.20    -9999
ATHENS     061213 300  033000-033500   00      51.95  991.7     52.40     2.40    -9999
ATHENS     061213 300  033500-034000   00      49.97  991.8     50.42    -1.50    -9999
ATHENS     061213 300  034000-034500   00      51.52  991.8     52.00     1.60    -9999
ATHENS     061213 300  034500-035000   00      50.65  991.9     51.13    -0.10    -9999
ATHENS     061213 300  035000-035500   00      51.43  991.9     51.95     1.50    -9999
ATHENS     061213 300  035500-040000   00      51.16  992.0     51.69     1.00    -9999
ATHENS     061213 300  040000-040500   00      50.61  992.0     51.16     0.00    -9999
ATHENS     061213 300  040500-041000   00      51.85  992.1     52.44     2.50    -9999
ATHENS     061213 300  041000-041500   00      49.49  992.2     50.07    -2.20    -9999
ATHENS     061213 300  041500-042000   00      50.75  992.3     51.38     0.40    -9999
ATHENS     061213 300  042000-042500   00      51.03  992.3     51.68     1.00    -9999
ATHENS     061213 300  042500-043000   00      50.33  992.4     51.01    -0.30    -9999
ATHENS     061213 300  043000-043500   00      50.79  992.5     51.50     0.60    -9999
ATHENS     061213 300  043500-044000   00      51.47  992.6     52.22     2.00    -9999
ATHENS     061213 300  044000-044500   00      51.21  992.6     51.98     1.60    -9999
ATHENS     061213 300  044500-045000   00      50.49  992.7     51.28     0.20    -9999
ATHENS     061213 300  045000-045500   00      50.76  992.8     51.58     0.80    -9999
ATHENS     061213 300  045500-050000   00      50.07  992.9     50.90    -0.60    -9999
ATHENS     061213 300  050000-050500   00      49.37  992.9     50.22    -1.90    -9999
ATHENS     061213 300  050500-051000   00      50.87  993.0     51.75     1.10    -9999
ATHENS     061213 300  051000-051500   00      48.98  993.0     49.85    -2.60    -9999
ATHENS     061213 300  051500-052000   00      50.90  993.1     51.82     1.20    -9999
ATHENS     061213 300  052000-052500   00      51.93  993.1     52.89     3.30    -9999
ATHENS     061213 300  052500-053000   00      51.64  993.2     52.62     2.80    -9999
ATHENS     061213 300  053000-053500   00      49.86  993.2     50.82    -0.70    -9999
ATHENS     061213 300  053500-054000   00      50.64  993.3     51.63     0.90    -9999
ATHENS     061213 300  054000-054500   00      51.91  993.3     52.95     3.50    -9999
ATHENS     061213 300  054500-055000   00      50.04  993.4     51.06    -0.20    -9999
ATHENS     061213 300  055000-055500   00      50.94  993.4     51.99     1.60    -9999
ATHENS     061213 300  055500-060000   00      52.01  993.5     53.10     3.70    -9999
ATHENS     061213 300  060000-060500   00      50.11  993.5     51.18     0.00    -9999
ATHENS     061213 300  060500-061000   00      49.71  993.5     50.78    -0.80    -9999
ATHENS     061213 300  061000-061500   00      51.20  993.5     52.30     2.20    -9999
ATHENS     061213 300  061500-062000   00      51.14  993.6     52.24     2.10    -9999
ATHENS     061213 300  062000-062500   00      51.37  993.6     52.48     2.50    -9999
ATHENS     061213 300  062500-063000   00      51.07  993.6     52.19     2.00    -9999
ATHENS     061213 300  063000-063500   00      49.60  993.6     50.69    -1.00    -9999
ATHENS     061213 300  063500-064000   00      51.35  993.6     52.49     2.60    -9999
ATHENS     061213 300  064000-064500   00      50.43  993.6     51.56     0.70    -9999
ATHENS     061213 300  064500-065000   00      50.86  993.7     51.99     1.60    -9999
ATHENS     061213 300  065000-065500   00      50.35  993.7     51.48     0.60    -9999
ATHENS     061213 300  065500-070000   00      50.36  993.7     51.50     0.60    -9999
ATHENS     061213 300  070000-070500   00      51.34  993.7     52.51     2.60    -9999
ATHENS     061213 300  070500-071000   00      50.38  993.7     51.52     0.70    -9999
ATHENS     061213 300  071000-071500   00      50.59  993.7     51.73     1.10    -9999
ATHENS     061213 300  071500-072000   00      51.02  993.7     52.18     2.00    -9999
ATHENS     061213 300  072000-072500   00      51.92  993.7     53.09     3.70    -9999
ATHENS     061213 300  072500-073000   00      51.51  993.7     52.67     2.90    -9999
ATHENS     061213 300  073000-073500   00      51.24  993.7     52.40     2.40    -9999
ATHENS     061213 300  073500-074000   00      51.00  993.7     52.15     1.90    -9999
ATHENS     061213 300  074000-074500   00      49.88  993.7     51.01    -0.30    -9999
ATHENS     061213 300  074500-075000   00      51.30  993.7     52.46     2.50    -9999
ATHENS     061213 300  075000-075500   00      49.55  993.7     50.68    -1.00    -9999
ATHENS     061213 300  075500-080000   00      50.41  993.7     51.56     0.70    -9999
ATHENS     061213 3600 080000-090000   00      50.50  994.3     51.86     1.30    -9999
ATHENS     061213 3600 090000-100000   00      50.68  993.9     51.90     1.40    -9999
ATHENS     061213 3600 100000-110000   00      50.55  993.7     51.70     1.00    -9999
ATHENS     061213 3600 110000-120000   00      50.27  993.7     51.40     0.40    -9999
ATHENS     061213 3600 120000-130000   00      50.88  993.6     52.00     1.60    -9999
ATHENS     061213 3600 130000-140000   00      50.20  994.0     51.44     0.50    -9999
ATHENS     061213 3600 140000-150000   00      49.84  994.2     51.14    -0.10    -9999
ATHENS     061213 3600 150000-160000   00      50.01  994.6     51.47     0.60    -9999
ATHENS     061213 3600 160000-170000   00      49.74  995.2     51.40     0.40    -9999
ATHENS     061213 3600 170000-180000   00      49.70  995.6     51.51     0.60    -9999
ATHENS     061213 3600 180000-190000   00      49.26  995.6     51.05    -0.30    -9999
ATHENS     061213 3600 190000-200000   00      49.47  995.8     51.34     0.30    -9999
ATHENS     061213 3600 200000-210000   00      48.97  996.2     50.96    -0.40    -9999
ATHENS     061213 3600 210000-220000   00      49.73  996.3     51.79     1.20    -9999
ATHENS     061213 3600 220000-230000   00      49.11  996.1     51.08    -0.20    -9999
ATHENS     061213 3600 230000-240000   00      49.29  996.4     51.37     0.40    -9999
*
Comment: The Clock of Regisrator is fast on+sec (slow on-sec) is supporting by GPS or InternetClockServer;
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070ATHN.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
