BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    836.5   mb     COEFFICIENT   -0.72     % / mb
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    110.56      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
BAKSAN     061212 3600 000000-010000   00     107.40  839.3    109.59    -0.87    -9999
BAKSAN     061212 3600 010000-020000   00     108.20  839.1    110.24    -0.28    -9999
BAKSAN     061212 3600 020000-030000   00     107.85  839.1    109.89    -0.60    -9999
BAKSAN     061212 3600 030000-040000   00     107.80  839.0    109.76    -0.72    -9999
BAKSAN     061212 3600 040000-050000   00     108.33  838.7    110.06    -0.45    -9999
BAKSAN     061212 3600 050000-060000   00     108.71  838.6    110.36    -0.17    -9999
BAKSAN     061212 3600 060000-070000   00     109.11  838.3    110.53    -0.02    -9999
BAKSAN     061212 3600 070000-080000   00     109.68  837.6    110.55     0.00    -9999
BAKSAN     061212 3600 080000-090000   00     110.70  836.7    110.86     0.27    -9999
BAKSAN     061212 3600 090000-100000   00     111.18  835.7    110.54    -0.02    -9999
BAKSAN     061212 3600 100000-110000   00     112.05  835.4    111.16     0.55    -9999
BAKSAN     061212 3600 110000-120000   00     111.99  835.4    111.11     0.50    -9999
BAKSAN     061212 3600 120000-130000   00     111.57  835.6    110.85     0.27    -9999
BAKSAN     061212 3600 130000-140000   00     111.30  836.0    110.90     0.31    -9999
BAKSAN     061212 3600 140000-150000   00     111.16  836.1    110.84     0.25    -9999
BAKSAN     061212 3600 150000-160000   00     110.52  836.2    110.28    -0.25    -9999
BAKSAN     061212 3600 160000-170000   00     110.58  836.2    110.34    -0.19    -9999
BAKSAN     061212 3600 170000-180000   00     110.10  836.1    109.78    -0.70    -9999
BAKSAN     061212 3600 180000-190000   00     110.86  836.2    110.62     0.06    -9999
BAKSAN     061212 3600 190000-200000   00     110.27  836.2    110.03    -0.47    -9999
BAKSAN     061212 3600 200000-210000   00     110.41  836.2    110.17    -0.35    -9999
BAKSAN     061212 3600 210000-220000   00     111.44  836.0    111.04     0.44    -9999
BAKSAN     061212 3600 220000-230000   00     111.63  836.0    111.23     0.61    -9999
BAKSAN     061212 3600 230000-240000   00     110.89  836.1    110.57     0.01    -9999
BAKSAN     061213 3600 000000-010000   00     110.78  836.2    110.54    -0.01    -9999
BAKSAN     061213 300  010000-010500   00     111.42  836.5    111.42     0.78    -9999
BAKSAN     061213 300  010500-011000   00     111.11  836.5    111.13     0.52    -9999
BAKSAN     061213 300  011000-011500   00     108.41  836.5    108.44    -1.91    -9999
BAKSAN     061213 300  011500-012000   00     111.47  836.6    111.51     0.87    -9999
BAKSAN     061213 300  012000-012500   00     110.78  836.6    110.84     0.25    -9999
BAKSAN     061213 300  012500-013000   00     110.28  836.6    110.36    -0.18    -9999
BAKSAN     061213 300  013000-013500   00     110.03  836.6    110.12    -0.40    -9999
BAKSAN     061213 300  013500-014000   00     110.62  836.6    110.71     0.14    -9999
BAKSAN     061213 300  014000-014500   00     110.75  836.6    110.86     0.28    -9999
BAKSAN     061213 300  014500-015000   00     109.61  836.7    109.74    -0.74    -9999
BAKSAN     061213 300  015000-015500   00     111.26  836.7    111.40     0.76    -9999
BAKSAN     061213 300  015500-020000   00     110.94  836.7    111.10     0.49    -9999
BAKSAN     061213 300  020000-020500   00     109.43  836.7    109.60    -0.87    -9999
BAKSAN     061213 300  020500-021000   00     110.29  836.7    110.48    -0.07    -9999
BAKSAN     061213 300  021000-021500   00     108.99  836.8    109.20    -1.23    -9999
BAKSAN     061213 300  021500-022000   00     112.06  836.8    112.29     1.57    -9999
BAKSAN     061213 300  022000-022500   00     110.70  836.8    110.95     0.36    -9999
BAKSAN     061213 300  022500-023000   00     110.38  836.8    110.65     0.08    -9999
BAKSAN     061213 300  023000-023500   00     110.92  836.9    111.20     0.59    -9999
BAKSAN     061213 300  023500-024000   00     111.10  836.9    111.41     0.77    -9999
BAKSAN     061213 300  024000-024500   00     109.97  836.9    110.30    -0.23    -9999
BAKSAN     061213 300  024500-025000   00     109.73  836.9    110.07    -0.43    -9999
BAKSAN     061213 300  025000-025500   00     111.71  837.0    112.08     1.37    -9999
BAKSAN     061213 300  025500-030000   00     112.50  837.0    112.90     2.12    -9999
BAKSAN     061213 300  030000-030500   00     109.32  837.0    109.72    -0.76    -9999
BAKSAN     061213 300  030500-031000   00     110.53  837.0    110.96     0.37    -9999
BAKSAN     061213 300  031000-031500   00     109.41  837.1    109.87    -0.62    -9999
BAKSAN     061213 300  031500-032000   00     111.40  837.1    111.90     1.21    -9999
BAKSAN     061213 300  032000-032500   00     109.97  837.1    110.48    -0.07    -9999
BAKSAN     061213 300  032500-033000   00     110.42  837.2    110.97     0.37    -9999
BAKSAN     061213 300  033000-033500   00     110.36  837.2    110.93     0.33    -9999
BAKSAN     061213 300  033500-034000   00     110.01  837.2    110.60     0.04    -9999
BAKSAN     061213 300  034000-034500   00     110.80  837.3    111.43     0.79    -9999
BAKSAN     061213 300  034500-035000   00     108.58  837.3    109.21    -1.21    -9999
BAKSAN     061213 300  035000-035500   00     108.95  837.3    109.61    -0.85    -9999
BAKSAN     061213 300  035500-040000   00     110.91  837.4    111.61     0.96    -9999
BAKSAN     061213 300  040000-040500   00     110.91  837.4    111.64     0.98    -9999
BAKSAN     061213 300  040500-041000   00     108.93  837.4    109.68    -0.79    -9999
BAKSAN     061213 300  041000-041500   00     108.59  837.5    109.36    -1.08    -9999
BAKSAN     061213 300  041500-042000   00     110.89  837.5    111.71     1.04    -9999
BAKSAN     061213 300  042000-042500   00     110.31  837.5    111.14     0.53    -9999
BAKSAN     061213 300  042500-043000   00     111.38  837.6    112.25     1.53    -9999
BAKSAN     061213 300  043000-043500   00     111.26  837.6    112.15     1.45    -9999
BAKSAN     061213 300  043500-044000   00     109.42  837.6    110.32    -0.21    -9999
BAKSAN     061213 300  044000-044500   00     110.48  837.7    111.42     0.78    -9999
BAKSAN     061213 300  044500-045000   00     110.38  837.7    111.35     0.72    -9999
BAKSAN     061213 300  045000-045500   00     111.09  837.7    112.09     1.39    -9999
BAKSAN     061213 300  045500-050000   00     109.45  837.8    110.46    -0.08    -9999
BAKSAN     061213 300  050000-050500   00     111.46  837.8    112.51     1.77    -9999
BAKSAN     061213 300  050500-051000   00     110.34  837.8    111.40     0.76    -9999
BAKSAN     061213 300  051000-051500   00     111.65  837.8    112.73     1.97    -9999
BAKSAN     061213 300  051500-052000   00     109.67  837.9    110.75     0.17    -9999
BAKSAN     061213 300  052000-052500   00     111.28  837.9    112.38     1.65    -9999
BAKSAN     061213 300  052500-053000   00     112.31  837.9    113.44     2.61    -9999
BAKSAN     061213 300  053000-053500   00     109.34  837.9    110.45    -0.10    -9999
BAKSAN     061213 300  053500-054000   00     109.53  837.9    110.65     0.09    -9999
BAKSAN     061213 300  054000-054500   00     110.02  837.9    111.17     0.55    -9999
BAKSAN     061213 300  054500-055000   00     108.65  838.0    109.79    -0.69    -9999
BAKSAN     061213 300  055000-055500   00     110.62  838.0    111.80     1.13    -9999
BAKSAN     061213 300  055500-060000   00     111.07  838.0    112.27     1.55    -9999
BAKSAN     061213 300  060000-060500   00     110.90  838.0    112.10     1.40    -9999
