CAPE SHMID LATITUDE    68.92     LONGITUDE     -179.47   ALTITUDE    0 M
CAPE SHMID INSTRUMENT   12NM64    NEUTRON MONITOR
CAPE SHMID STANDARD PRESSURE    1006    MB     COEFFICIENT   -0.72     % / MB
CAPE SHMID PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
CAPE SHMID PRE-INCREASE AVERAGE COUNTING RATE    100.79      COUNTS PER SECOND
CAPE SHMID TIME INTERVALS    300         3600     
CAPE SHMID SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CAPE SHMID 061212 3600 000000-010000   00      99.72 1006.3     99.94    -0.85    -9999
CAPE SHMID 061212 3600 010000-020000   00      99.85 1006.2    100.00    -0.79    -9999
CAPE SHMID 061212 3600 020000-030000   00      99.96 1006.2    100.11    -0.68    -9999
CAPE SHMID 061212 3600 030000-040000   00      99.99 1006.3    100.20    -0.59    -9999
CAPE SHMID 061212 3600 040000-050000   00     100.02 1006.3    100.24    -0.55    -9999
CAPE SHMID 061212 3600 050000-060000   00     100.49 1006.4    100.78    -0.01    -9999
CAPE SHMID 061212 3600 060000-070000   00     100.32 1006.3    100.54    -0.25    -9999
CAPE SHMID 061212 3600 070000-080000   00      99.77 1006.4    100.06    -0.73    -9999
CAPE SHMID 061212 3600 080000-090000   00      99.66 1006.7    100.16    -0.62    -9999
CAPE SHMID 061212 3600 090000-100000   00      98.85 1006.7     99.35    -1.43    -9999
CAPE SHMID 061212 3600 100000-110000   00      99.10 1006.5     99.46    -1.32    -9999
CAPE SHMID 061212 3600 110000-120000   00      99.11 1006.7     99.61    -1.18    -9999
CAPE SHMID 061212 3600 120000-130000   00      99.03 1006.8     99.60    -1.18    -9999
CAPE SHMID 061212 3600 130000-140000   00      99.33 1006.7     99.84    -0.95    -9999
CAPE SHMID 061212 3600 140000-150000   00      99.57 1006.6    100.01    -0.78    -9999
CAPE SHMID 061212 3600 150000-160000   00      99.16 1006.5     99.52    -1.26    -9999
CAPE SHMID 061212 3600 160000-170000   00     100.17 1006.2    100.32    -0.47    -9999
CAPE SHMID 061212 3600 170000-180000   00     100.15 1006.1    100.22    -0.57    -9999
CAPE SHMID 061212 3600 180000-190000   00     100.74 1005.9    100.67    -0.12    -9999
CAPE SHMID 061212 3600 190000-200000   00     101.00 1005.8    100.85     0.06    -9999
CAPE SHMID 061212 3600 200000-210000   00     100.62 1005.9    100.55    -0.25    -9999
CAPE SHMID 061212 3600 210000-220000   00      97.45 1005.9     97.38    -3.38    -9999
CAPE SHMID 061212 3600 220000-230000   00     100.88 1005.8    100.73    -0.06    -9999
CAPE SHMID 061212 3600 230000-240000   00     101.65 1005.9    101.57     0.77    -9999
CAPE SHMID 061213 3600 000000-010000   00     100.97 1005.9    100.90     0.10    -9999
CAPE SHMID 061213 300  010000-010500   00     100.73 1006.0    100.73    -0.06    -9999
CAPE SHMID 061213 300  010500-011000   00     102.85 1006.0    102.85     2.05    -9999
CAPE SHMID 061213 300  011000-011500   00      99.91 1006.0     99.91    -0.87    -9999
CAPE SHMID 061213 300  011500-012000   00      99.60 1006.0     99.60    -1.18    -9999
CAPE SHMID 061213 300  012000-012500   00      99.93 1006.0     99.93    -0.85    -9999
CAPE SHMID 061213 300  012500-013000   00     103.19 1006.0    103.19     2.37    -9999
CAPE SHMID 061213 300  013000-013500   00     100.27 1006.0    100.27    -0.52    -9999
CAPE SHMID 061213 300  013500-014000   00     100.08 1006.0    100.08    -0.70    -9999
CAPE SHMID 061213 300  014000-014500   00     100.84 1006.0    100.84     0.05    -9999
CAPE SHMID 061213 300  014500-015000   00     101.22 1006.0    101.22     0.43    -9999
CAPE SHMID 061213 300  015000-015500   00      99.33 1006.0     99.33    -1.45    -9999
CAPE SHMID 061213 300  015500-020000   00     101.56 1006.0    101.56     0.75    -9999
CAPE SHMID 061213 300  020000-020500   00     101.03 1006.0    101.03     0.23     0.23
CAPE SHMID 061213 300  020500-021000   00     101.82 1006.0    101.82     1.03     1.03
CAPE SHMID 061213 300  021000-021500   00     102.08 1006.0    102.08     1.28     1.28
