Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    970.7   mb     COEFFICIENT   -0.75     % / mb
Fort SMITH PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
Fort SMITH PRE-INCREASE AVERAGE COUNTING RATE    289.83      COUNTS PER SECOND
Fort SMITH TIME INTERVALS    300         3600     
Fort SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
Fort SMITH 061212 3600 000000-010000   00    -999.00 -999.0    287.52    -0.80    -9999
Fort SMITH 061212 3600 010000-020000   00    -999.00 -999.0    287.63    -0.80    -9999
Fort SMITH 061212 3600 020000-030000   00    -999.00 -999.0    288.32    -0.50    -9999
Fort SMITH 061212 3600 030000-040000   00    -999.00 -999.0    288.74    -0.40    -9999
Fort SMITH 061212 3600 040000-050000   00    -999.00 -999.0    287.94    -0.70    -9999
Fort SMITH 061212 3600 050000-060000   00    -999.00 -999.0    287.48    -0.80    -9999
Fort SMITH 061212 3600 060000-070000   00    -999.00 -999.0    288.82    -0.30    -9999
Fort SMITH 061212 3600 070000-080000   00    -999.00 -999.0    287.33    -0.90    -9999
Fort SMITH 061212 3600 080000-090000   00    -999.00 -999.0    286.98    -1.00    -9999
Fort SMITH 061212 3600 090000-100000   00    -999.00 -999.0    286.18    -1.30    -9999
Fort SMITH 061212 3600 100000-110000   00    -999.00 -999.0    286.75    -1.10    -9999
Fort SMITH 061212 3600 110000-120000   00    -999.00 -999.0    287.14    -0.90    -9999
Fort SMITH 061212 3600 120000-130000   00    -999.00 -999.0    287.02    -1.00    -9999
Fort SMITH 061212 3600 130000-140000   00    -999.00 -999.0    288.71    -0.40    -9999
Fort SMITH 061212 3600 140000-150000   00    -999.00 -999.0    288.55    -0.40    -9999
Fort SMITH 061212 3600 150000-160000   00    -999.00 -999.0    288.74    -0.40    -9999
Fort SMITH 061212 3600 160000-170000   00    -999.00 -999.0    289.28    -0.20    -9999
Fort SMITH 061212 3600 170000-180000   00    -999.00 -999.0    289.78     0.00    -9999
Fort SMITH 061212 3600 180000-190000   00    -999.00 -999.0    290.89     0.40    -9999
Fort SMITH 061212 3600 190000-200000   00    -999.00 -999.0    290.16     0.10    -9999
Fort SMITH 061212 3600 200000-210000   00    -999.00 -999.0    290.43     0.20    -9999
Fort SMITH 061212 3600 210000-220000   00    -999.00 -999.0    291.65     0.60    -9999
Fort SMITH 061212 3600 220000-230000   00    -999.00 -999.0    290.58     0.30    -9999
Fort SMITH 061212 3600 230000-240000   00    -999.00 -999.0    289.85     0.00    -9999
Fort SMITH 061213 3600 000000-010000   00     290.18  969.9    288.45    -0.50    -9999
Fort SMITH 061213 300  010000-010500   00     288.32  970.7    288.38    -0.50    -9999
Fort SMITH 061213 300  010500-011000   00     289.60  970.8    289.80     0.00    -9999
Fort SMITH 061213 300  011000-011500   00     289.84  970.9    290.19     0.10    -9999
Fort SMITH 061213 300  011500-012000   00     288.74  970.9    289.23    -0.20    -9999
Fort SMITH 061213 300  012000-012500   00     290.84  971.0    291.48     0.60    -9999
Fort SMITH 061213 300  012500-013000   00     290.44  971.1    291.22     0.50    -9999
Fort SMITH 061213 300  013000-013500   00     288.68  971.1    289.61    -0.10    -9999
Fort SMITH 061213 300  013500-014000   00     288.54  971.2    289.61    -0.10    -9999
Fort SMITH 061213 300  014000-014500   00     290.50  971.3    291.72     0.70    -9999
Fort SMITH 061213 300  014500-015000   00     287.16  971.3    288.51    -0.50    -9999
Fort SMITH 061213 300  015000-015500   00     288.04  971.4    289.54    -0.10    -9999
Fort SMITH 061213 300  015500-020000   00     287.08  971.5    288.72    -0.40    -9999
Fort SMITH 061213 300  020000-020500   00     285.60  971.5    287.37    -0.90    -0.90
Fort SMITH 061213 300  020500-021000   00     288.44  971.6    290.35     0.20     0.20
Fort SMITH 061213 300  021000-021500   00     287.14  971.6    289.17    -0.20    -0.20
Fort SMITH 061213 300  021500-022000   00     288.90  971.7    291.07     0.40     0.40
Fort SMITH 061213 300  022000-022500   00     286.34  971.8    288.62    -0.40    -0.40
Fort SMITH 061213 300  022500-023000   00     286.14  971.8    288.54    -0.40    -0.40
Fort SMITH 061213 300  023000-023500   00     284.88  971.9    287.40    -0.80    -0.80
Fort SMITH 061213 300  023500-024000   00     285.78  971.9    288.43    -0.50    -0.50
Fort SMITH 061213 300  024000-024500   00     285.84  972.0    288.62    -0.40    -0.40
Fort SMITH 061213 300  024500-025000   00     279.90  972.0    282.74    -2.40    -2.40
Fort SMITH 061213 300  025000-025500   00     285.92  972.1    288.95    -0.30    -0.30
Fort SMITH 061213 300  025500-030000   00     283.54  972.2    286.67    -1.10    -1.10
Fort SMITH 061213 300  030000-030500   00     289.08  972.2    292.37     0.90     0.90
Fort SMITH 061213 300  030500-031000   00     298.50  972.2    301.96     4.20     4.20
Fort SMITH 061213 300  031000-031500   00     313.32  972.3    317.01     9.40     9.40
Fort SMITH 061213 300  031500-032000   00     326.92  972.3    330.83    14.10    14.10
Fort SMITH 061213 300  032000-032500   00     336.74  972.3    340.83    17.60    17.60
Fort SMITH 061213 300  032500-033000   00     344.68  972.3    348.93    20.40    20.40
Fort SMITH 061213 300  033000-033500   00     350.26  972.4    354.65    22.40    22.40
Fort SMITH 061213 300  033500-034000   00     346.06  972.4    350.46    20.90    20.90
Fort SMITH 061213 300  034000-034500   00     343.12  972.4    347.55    19.90    19.90
Fort SMITH 061213 300  034500-035000   00     341.68  972.4    346.16    19.40    19.40
Fort SMITH 061213 300  035000-035500   00     341.50  972.5    346.04    19.40    19.40
Fort SMITH 061213 300  035500-040000   00     340.06  972.5    344.64    18.90    18.90
Fort SMITH 061213 300  040000-040500   00     338.26  972.5    342.90    18.30    18.30
Fort SMITH 061213 300  040500-041000   00     337.92  972.6    342.66    18.20    18.20
Fort SMITH 061213 300  041000-041500   00     333.06  972.6    337.84    16.60    16.60
Fort SMITH 061213 300  041500-042000   00     331.46  972.6    336.32    16.00    16.00
Fort SMITH 061213 300  042000-042500   00     328.60  972.7    333.53    15.10    15.10
Fort SMITH 061213 300  042500-043000   00     327.04  972.7    332.05    14.60    14.60
Fort SMITH 061213 300  043000-043500   00     324.70  972.8    329.77    13.80    13.80
Fort SMITH 061213 300  043500-044000   00     320.54  972.8    325.65    12.40    12.40
Fort SMITH 061213 300  044000-044500   00     319.42  972.8    324.61    12.00    12.00
Fort SMITH 061213 300  044500-045000   00     316.47  972.9    321.71    11.00    11.00
Fort SMITH 061213 300  045000-045500   00     319.28  972.9    324.67    12.00    12.00
Fort SMITH 061213 300  045500-050000   00     315.82  973.0    321.26    10.80    10.80
Fort SMITH 061213 300  050000-050500   00     312.20  973.0    317.66     9.60     9.60
Fort SMITH 061213 300  050500-051000   00     312.28  973.0    317.80     9.60     9.60
Fort SMITH 061213 300  051000-051500   00     309.94  973.1    315.48     8.80     8.80
Fort SMITH 061213 300  051500-052000   00     307.22  973.1    312.76     7.90     7.90
Fort SMITH 061213 300  052000-052500   00     305.78  973.1    311.36     7.40     7.40
Fort SMITH 061213 300  052500-053000   00     304.66  973.1    310.28     7.10     7.10
Fort SMITH 061213 300  053000-053500   00     308.16  973.2    313.90     8.30     8.30
Fort SMITH 061213 300  053500-054000   00     303.96  973.2    309.68     6.80     6.80
Fort SMITH 061213 300  054000-054500   00     303.66  973.2    309.43     6.80     6.80
Fort SMITH 061213 300  054500-055000   00     301.58  973.2    307.37     6.10     6.10
Fort SMITH 061213 300  055000-055500   00     300.70  973.3    306.53     5.80     5.80
Fort SMITH 061213 300  055500-060000   00     301.40  973.3    307.30     6.00     6.00
Fort SMITH 061213 300  060000-060500   00     299.16  973.3    305.07     5.30     5.30
Fort SMITH 061213 300  060500-061000   00     299.36  973.3    305.31     5.30     5.30
Fort SMITH 061213 300  061000-061500   00     297.10  973.3    303.04     4.60     4.60
Fort SMITH 061213 300  061500-062000   00     300.02  973.4    306.06     5.60     5.60
Fort SMITH 061213 300  062000-062500   00     297.16  973.4    303.18     4.60     4.60
Fort SMITH 061213 300  062500-063000   00     296.50  973.4    302.54     4.40     4.40
Fort SMITH 061213 300  063000-063500   00     295.98  973.4    302.05     4.20     4.20
Fort SMITH 061213 300  063500-064000   00     298.00  973.4    304.15     4.90     4.90
Fort SMITH 061213 300  064000-064500   00     297.46  973.4    303.63     4.80     4.80
Fort SMITH 061213 300  064500-065000   00     295.12  973.5    301.29     4.00     4.00
Fort SMITH 061213 300  065000-065500   00     291.20  973.5    297.32     2.60     2.60
Fort SMITH 061213 300  065500-070000   00     294.04  973.5    300.26     3.60     3.60
Fort SMITH 061213 300  070000-070500   00     293.04  973.5    299.26     3.30     3.30
Fort SMITH 061213 300  070500-071000   00     292.52  973.5    298.73     3.10     3.10
Fort SMITH 061213 300  071000-071500   00     291.40  973.5    297.58     2.70     2.70
Fort SMITH 061213 300  071500-072000   00     292.54  973.5    298.75     3.10     3.10
Fort SMITH 061213 300  072000-072500   00     292.52  973.5    298.73     3.10     3.10
Fort SMITH 061213 300  072500-073000   00     291.46  973.5    297.64     2.70     2.70
Fort SMITH 061213 300  073000-073500   00     290.10  973.5    296.26     2.20     2.20
Fort SMITH 061213 300  073500-074000   00     288.72  973.5    294.85     1.70     1.70
Fort SMITH 061213 300  074000-074500   00     291.34  973.5    297.52     2.70     2.70
Fort SMITH 061213 300  074500-075000   00     289.38  973.5    295.52     2.00     2.00
Fort SMITH 061213 300  075000-075500   00     289.68  973.5    295.83     2.10     2.10
Fort SMITH 061213 300  075500-080000   00     289.52  973.5    295.67     2.00     2.00
Fort SMITH 061213 3600 080000-090000   00     287.39  973.7    293.93     1.40     1.40
Fort SMITH 061213 3600 090000-100000   00     286.26  973.8    292.99     1.10     1.10
Fort SMITH 061213 3600 100000-110000   00     286.00  973.6    292.28     0.80     0.80
Fort SMITH 061213 3600 110000-120000   00     286.52  973.0    291.50     0.60     0.60
Fort SMITH 061213 3600 120000-130000   00     286.63  972.7    290.97     0.40     0.40
Fort SMITH 061213 3600 130000-140000   00     286.22  972.7    290.54     0.20     0.20
Fort SMITH 061213 3600 140000-150000   00     285.01  972.1    288.02    -0.60    -9999
Fort SMITH 061213 3600 150000-160000   00     288.79  971.2    289.87     0.00    -9999
Fort SMITH 061213 3600 160000-170000   00     290.20  970.6    289.98     0.10    -9999
Fort SMITH 061213 3600 170000-180000   00     290.09  970.8    290.31     0.20    -9999
Fort SMITH 061213 3600 180000-190000   00     290.71  970.9    291.15     0.50    -9999
Fort SMITH 061213 3600 190000-200000   00     290.69  971.0    291.34     0.50    -9999
Fort SMITH 061213 3600 200000-210000   00     291.29  970.4    290.64     0.30    -9999
Fort SMITH 061213 3600 210000-220000   00     293.54  970.0    292.00     0.70    -9999
Fort SMITH 061213 3600 220000-230000   00     293.31  970.1    291.99     0.70    -9999
Fort SMITH 061213 3600 230000-240000   00     288.00  970.3    287.13    -0.90    -9999
*
Comment: The Clock of Regisrator is fast on+sec (slow on-sec) is supporting by GPS or InternetClockServer;
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070FSMT_cor.DAT
