HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    760     MMHG   COEFFICIENT   0.95      % / MMHG
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    119.84      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
HERMANUS   061212 3600 000000-010000   00    -999.00 -999.0    119.17    -0.60    -9999
HERMANUS   061212 3600 010000-020000   00    -999.00 -999.0    119.08    -0.60    -9999
HERMANUS   061212 3600 020000-030000   00    -999.00 -999.0    119.47    -0.30    -9999
HERMANUS   061212 3600 030000-040000   00    -999.00 -999.0    118.92    -0.80    -9999
HERMANUS   061212 3600 040000-050000   00    -999.00 -999.0    119.20    -0.50    -9999
HERMANUS   061212 3600 050000-060000   00    -999.00 -999.0    119.00    -0.70    -9999
HERMANUS   061212 3600 060000-070000   00    -999.00 -999.0    118.89    -0.80    -9999
HERMANUS   061212 3600 070000-080000   00    -999.00 -999.0    119.67    -0.10    -9999
HERMANUS   061212 3600 080000-090000   00    -999.00 -999.0    120.17     0.30    -9999
HERMANUS   061212 3600 090000-100000   00    -999.00 -999.0    120.36     0.40    -9999
HERMANUS   061212 3600 100000-110000   00    -999.00 -999.0    120.11     0.20    -9999
HERMANUS   061212 3600 110000-120000   00    -999.00 -999.0    120.36     0.40    -9999
HERMANUS   061212 3600 120000-130000   00    -999.00 -999.0    119.67    -0.10    -9999
HERMANUS   061212 3600 130000-140000   00    -999.00 -999.0    120.81     0.80    -9999
HERMANUS   061212 3600 140000-150000   00    -999.00 -999.0    120.17     0.30    -9999
HERMANUS   061212 3600 150000-160000   00    -999.00 -999.0    120.50     0.60    -9999
HERMANUS   061212 3600 160000-170000   00    -999.00 -999.0    120.25     0.30    -9999
HERMANUS   061212 3600 170000-180000   00    -999.00 -999.0    120.00     0.10    -9999
HERMANUS   061212 3600 180000-190000   00    -999.00 -999.0    119.97     0.10    -9999
HERMANUS   061212 3600 190000-200000   00    -999.00 -999.0    119.58    -0.20    -9999
HERMANUS   061212 3600 200000-210000   00    -999.00 -999.0    119.69    -0.10    -9999
HERMANUS   061212 3600 210000-220000   00    -999.00 -999.0    119.92     0.10    -9999
HERMANUS   061212 3600 220000-230000   00    -999.00 -999.0    120.00     0.10    -9999
HERMANUS   061212 3600 230000-240000   00    -999.00 -999.0    119.50    -0.30    -9999
HERMANUS   061213 300  000000-000500   00     120.30  758.1    118.14    -1.40    -9999
HERMANUS   061213 300  000500-001000   00     122.13  758.1    119.95     0.10    -9999
HERMANUS   061213 300  001000-001500   00     120.51  758.0    118.29    -1.30    -9999
HERMANUS   061213 300  001500-002000   00     121.49  758.1    119.34    -0.40    -9999
HERMANUS   061213 300  002000-002500   00     122.23  758.2    120.16     0.30    -9999
HERMANUS   061213 300  002500-003000   00     121.90  758.2    119.79    -0.10    -9999
HERMANUS   061213 300  003000-003500   00     122.21  758.1    120.00     0.10    -9999
HERMANUS   061213 300  003500-004000   00     123.35  758.0    121.03     1.00    -9999
HERMANUS   061213 300  004000-004500   00     122.08  757.9    119.67    -0.10    -9999
HERMANUS   061213 300  004500-005000   00     124.72  757.8    122.14     1.90    -9999
HERMANUS   061213 300  005000-005500   00     122.57  757.8    120.03     0.20    -9999
HERMANUS   061213 300  005500-010000   00     122.31  757.8    119.76    -0.10    -9999
HERMANUS   061213 300  010000-010500   00     122.93  757.7    120.28     0.40    -9999
HERMANUS   061213 300  010500-011000   00     121.24  757.7    118.59    -1.10    -9999
HERMANUS   061213 300  011000-011500   00     122.74  757.6    119.97     0.10    -9999
HERMANUS   061213 300  011500-012000   00     123.10  757.6    120.32     0.40    -9999
HERMANUS   061213 300  012000-012500   00     121.87  757.5    119.06    -0.60    -9999
HERMANUS   061213 300  012500-013000   00     124.12  757.5    121.21     1.10    -9999
HERMANUS   061213 300  013000-013500   00     123.42  757.5    120.53     0.60    -9999
HERMANUS   061213 300  013500-014000   00     121.29  757.5    118.44    -1.20    -9999
HERMANUS   061213 300  014000-014500   00     122.73  757.5    119.80     0.00    -9999
HERMANUS   061213 300  014500-015000   00     123.35  757.4    120.30     0.40    -9999
HERMANUS   061213 300  015000-015500   00     121.41  757.3    118.33    -1.30    -9999
HERMANUS   061213 300  015500-020000   00     124.54  757.2    121.27     1.20    -9999
HERMANUS   061213 300  020000-020500   00     121.09  757.2    117.92    -1.60    -1.62
HERMANUS   061213 300  020500-021000   00     123.53  757.1    120.22     0.30     0.27
HERMANUS   061213 300  021000-021500   00     124.19  757.1    120.82     0.80     0.77
HERMANUS   061213 300  021500-022000   00     122.01  757.1    118.69    -1.00    -1.03
HERMANUS   061213 300  022000-022500   00     123.91  757.1    120.54     0.60     0.56
HERMANUS   061213 300  022500-023000   00     122.38  757.1    119.05    -0.70    -0.74
HERMANUS   061213 300  023000-023500   00     124.26  757.2    120.98     1.00     0.95
HERMANUS   061213 300  023500-024000   00     124.42  757.2    121.16     1.10     1.05
HERMANUS   061213 300  024000-024500   00     121.98  757.3    118.87    -0.80    -0.85
HERMANUS   061213 300  024500-025000   00     123.04  757.3    119.93     0.10     0.04
HERMANUS   061213 300  025000-025500   00     124.90  757.3    121.76     1.60     1.54
HERMANUS   061213 300  025500-030000   00     123.37  757.4    120.36     0.40     0.33
HERMANUS   061213 300  030000-030500   00     125.88  757.4    122.81     2.50     2.43
HERMANUS   061213 300  030500-031000   00     124.48  757.4    121.44     1.40     1.32
HERMANUS   061213 300  031000-031500   00     124.53  757.4    121.49     1.40     1.32
HERMANUS   061213 300  031500-032000   00     123.78  757.5    120.85     0.80     0.71
HERMANUS   061213 300  032000-032500   00     123.02  757.5    120.13     0.30     0.21
HERMANUS   061213 300  032500-033000   00     123.45  757.6    120.62     0.70     0.60
HERMANUS   061213 300  033000-033500   00     122.82  757.7    120.14     0.20     0.10
HERMANUS   061213 300  033500-034000   00     124.80  757.7    122.10     1.90     1.79
HERMANUS   061213 300  034000-034500   00     123.15  757.7    120.49     0.50     0.39
HERMANUS   061213 300  034500-035000   00     122.25  757.7    119.61    -0.20    -0.32
HERMANUS   061213 300  035000-035500   00     123.54  757.6    120.73     0.70     0.57
HERMANUS   061213 300  035500-040000   00     124.71  757.5    121.79     1.60     1.47
HERMANUS   061213 300  040000-040500   00     123.17  757.5    120.28     0.40     0.26
HERMANUS   061213 300  040500-041000   00     123.70  757.4    120.63     0.60     0.46
HERMANUS   061213 300  041000-041500   00     124.42  757.3    121.24     1.20     1.05
HERMANUS   061213 300  041500-042000   00     122.86  757.2    119.64    -0.20    -0.35
HERMANUS   061213 300  042000-042500   00     124.41  757.2    121.12     1.10     0.94
HERMANUS   061213 300  042500-043000   00     123.16  757.1    119.84     0.00    -0.17
HERMANUS   061213 300  043000-043500   00     124.59  757.2    121.32     1.20     1.03
HERMANUS   061213 300  043500-044000   00     123.65  757.1    120.34     0.40     0.22
HERMANUS   061213 300  044000-044500   00     125.25  757.0    121.74     1.60     1.41
HERMANUS   061213 300  044500-045000   00     123.75  756.9    120.16     0.30     0.11
HERMANUS   061213 300  045000-045500   00     123.80  756.9    120.21     0.30     0.10
HERMANUS   061213 300  045500-050000   00     123.87  756.9    120.27     0.40     0.19
HERMANUS   061213 300  050000-050500   00     123.70  756.9    120.11     0.20    -0.01
HERMANUS   061213 300  050500-051000   00     123.47  756.9    119.89     0.00    -0.22
HERMANUS   061213 300  051000-051500   00     122.61  757.0    119.14    -0.60    -0.83
HERMANUS   061213 300  051500-052000   00     124.85  757.1    121.46     1.40     1.17
HERMANUS   061213 300  052000-052500   00     124.55  757.1    121.21     1.10     0.86
HERMANUS   061213 300  052500-053000   00     122.99  757.2    119.78     0.00    -0.25
HERMANUS   061213 300  053000-053500   00     124.47  757.3    121.32     1.20     0.94
HERMANUS   061213 300  053500-054000   00     122.98  757.4    119.97     0.10    -0.16
HERMANUS   061213 300  054000-054500   00     122.77  757.4    119.82     0.00    -0.27
HERMANUS   061213 300  054500-055000   00     122.55  757.5    119.70    -0.10    -0.38
HERMANUS   061213 300  055000-055500   00     121.77  757.6    119.03    -0.70    -0.99
HERMANUS   061213 300  055500-060000   00     122.94  757.6    120.17     0.30     0.01
HERMANUS   061213 300  060000-060500   00     123.50  757.6    120.67     0.70     0.40
HERMANUS   061213 300  060500-061000   00     122.46  757.5    119.54    -0.30    -0.61
HERMANUS   061213 300  061000-061500   00     122.63  757.3    119.57    -0.20    -0.52
HERMANUS   061213 300  061500-062000   00     124.44  757.2    121.17     1.10     0.78
