INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    996.4   mb     COEFFICIENT   -0.74     % / mb
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    215.83      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
INUVIK     061212 3600 000000-010000   00    -999.00 -999.0    213.90    -0.90    -9999
INUVIK     061212 3600 010000-020000   00    -999.00 -999.0    214.63    -0.60    -9999
INUVIK     061212 3600 020000-030000   00    -999.00 -999.0    215.07    -0.40    -9999
INUVIK     061212 3600 030000-040000   00    -999.00 -999.0    214.79    -0.50    -9999
INUVIK     061212 3600 040000-050000   00    -999.00 -999.0    214.50    -0.60    -9999
INUVIK     061212 3600 050000-060000   00    -999.00 -999.0    214.31    -0.70    -9999
INUVIK     061212 3600 060000-070000   00    -999.00 -999.0    213.59    -1.00    -9999
INUVIK     061212 3600 070000-080000   00    -999.00 -999.0    214.31    -0.70    -9999
INUVIK     061212 3600 080000-090000   00    -999.00 -999.0    213.81    -0.90    -9999
INUVIK     061212 3600 090000-100000   00    -999.00 -999.0    213.18    -1.20    -9999
INUVIK     061212 3600 100000-110000   00    -999.00 -999.0    213.59    -1.00    -9999
INUVIK     061212 3600 110000-120000   00    -999.00 -999.0    213.81    -0.90    -9999
INUVIK     061212 3600 120000-130000   00    -999.00 -999.0    213.12    -1.30    -9999
INUVIK     061212 3600 130000-140000   00    -999.00 -999.0    214.16    -0.80    -9999
INUVIK     061212 3600 140000-150000   00    -999.00 -999.0    215.64    -0.10    -9999
INUVIK     061212 3600 150000-160000   00    -999.00 -999.0    214.54    -0.60    -9999
INUVIK     061212 3600 160000-170000   00    -999.00 -999.0    214.35    -0.70    -9999
INUVIK     061212 3600 170000-180000   00    -999.00 -999.0    215.01    -0.40    -9999
INUVIK     061212 3600 180000-190000   00    -999.00 -999.0    215.58    -0.10    -9999
INUVIK     061212 3600 190000-200000   00    -999.00 -999.0    215.89     0.00    -9999
INUVIK     061212 3600 200000-210000   00    -999.00 -999.0    216.40     0.30    -9999
INUVIK     061212 3600 210000-220000   00    -999.00 -999.0    216.77     0.40    -9999
INUVIK     061212 3600 220000-230000   00    -999.00 -999.0    215.92     0.00    -9999
INUVIK     061212 3600 230000-240000   00    -999.00 -999.0    215.77     0.00    -9999
INUVIK     061213 3600 000000-010000   00     216.58  996.1    216.10     0.13    -9999
INUVIK     061213 300  010000-010500   00     215.14  996.4    215.15    -0.32    -9999
INUVIK     061213 300  010500-011000   00     215.06  996.4    215.08    -0.35    -9999
INUVIK     061213 300  011000-011500   00     216.18  996.4    216.21     0.18    -9999
INUVIK     061213 300  011500-012000   00     216.94  996.4    216.99     0.54    -9999
INUVIK     061213 300  012000-012500   00     216.34  996.4    216.40     0.26    -9999
INUVIK     061213 300  012500-013000   00     217.46  996.4    217.53     0.79    -9999
