IRKUTSK    LATITUDE    52.1      LONGITUDE     104       ALTITUDE    433 M
IRKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     
IRKUTSK    STANDARD PRESSURE    956.5   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    221.08      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK    061212 3600 000000-010000   00     223.82  954.1    220.04    -0.47    -9999
IRKUTSK    061212 3600 010000-020000   00     223.38  954.1    219.57    -0.68    -9999
IRKUTSK    061212 3600 020000-030000   00     223.83  954.3    220.34    -0.33    -9999
IRKUTSK    061212 3600 030000-040000   00     223.76  954.3    220.31    -0.35    -9999
IRKUTSK    061212 3600 040000-050000   00     225.11  954.3    221.56     0.21    -9999
IRKUTSK    061212 3600 050000-060000   00     225.00  954.2    221.36     0.12    -9999
IRKUTSK    061212 3600 060000-070000   00     224.77  955.2    222.63     0.70    -9999
IRKUTSK    061212 3600 070000-080000   00     222.26  956.5    222.24     0.52    -9999
IRKUTSK    061212 3600 080000-090000   00     217.81  958.1    220.28    -0.36    -9999
IRKUTSK    061212 3600 090000-100000   00     216.30  959.0    220.24    -0.38    -9999
IRKUTSK    061212 3600 100000-110000   00     215.44  960.0    220.93    -0.07    -9999
IRKUTSK    061212 3600 110000-120000   00     213.88  960.7    220.35    -0.33    -9999
IRKUTSK    061212 3600 120000-130000   00     212.25  961.2    219.49    -0.72    -9999
IRKUTSK    061212 3600 130000-140000   00     212.99  961.0    219.95    -0.51    -9999
IRKUTSK    061212 3600 140000-150000   00     212.89  960.8    219.52    -0.71    -9999
IRKUTSK    061212 3600 150000-160000   00     213.23  960.5    219.44    -0.74    -9999
IRKUTSK    061212 3600 160000-170000   00     214.37  960.0    219.82    -0.57    -9999
IRKUTSK    061212 3600 170000-180000   00     215.15  959.5    219.74    -0.61    -9999
IRKUTSK    061212 3600 180000-190000   00     216.02  958.9    219.81    -0.57    -9999
IRKUTSK    061212 3600 190000-200000   00     216.10  958.4    219.12    -0.89    -9999
IRKUTSK    061212 3600 200000-210000   00     217.49  957.9    219.72    -0.62    -9999
IRKUTSK    061212 3600 210000-220000   00     218.37  957.4    219.82    -0.57    -9999
IRKUTSK    061212 3600 220000-230000   00     219.21  957.0    219.93    -0.52    -9999
IRKUTSK    061212 3600 230000-240000   00     220.07  956.7    220.32    -0.34    -9999
IRKUTSK    061213 3600 000000-010000   00     219.42  956.6    219.57    -0.68    -9999
IRKUTSK    061213 300  010000-010500   00     221.44  956.5    221.43     0.16    -9999
IRKUTSK    061213 300  010500-011000   00     219.93  956.5    219.90    -0.54    -9999
IRKUTSK    061213 300  011000-011500   00     219.63  956.4    219.56    -0.69    -9999
IRKUTSK    061213 300  011500-012000   00     221.14  956.4    221.04    -0.02    -9999
IRKUTSK    061213 300  012000-012500   00     220.77  956.4    220.65    -0.20    -9999
IRKUTSK    061213 300  012500-013000   00     221.35  956.4    221.20     0.06    -9999
IRKUTSK    061213 300  013000-013500   00     221.73  956.4    221.55     0.21    -9999
IRKUTSK    061213 300  013500-014000   00     221.58  956.4    221.37     0.13    -9999
IRKUTSK    061213 300  014000-014500   00     219.25  956.3    219.02    -0.93    -9999
IRKUTSK    061213 300  014500-015000   00     223.39  956.3    223.13     0.93    -9999
IRKUTSK    061213 300  015000-015500   00     222.88  956.3    222.59     0.68    -9999
IRKUTSK    061213 300  015500-020000   00     219.89  956.3    219.58    -0.68    -9999
IRKUTSK    061213 300  020000-020500   00     220.98  956.3    220.63    -0.20    -0.20
IRKUTSK    061213 300  020500-021000   00     219.38  956.2    219.00    -0.94    -0.95
IRKUTSK    061213 300  021000-021500   00     224.95  956.2    224.51     1.55     1.53
IRKUTSK    061213 300  021500-022000   00     221.25  956.2    220.78    -0.13    -0.16
IRKUTSK    061213 300  022000-022500   00     222.75  956.2    222.23     0.52     0.48
IRKUTSK    061213 300  022500-023000   00     222.22  956.1    221.66     0.26     0.21
IRKUTSK    061213 300  023000-023500   00     223.16  956.1    222.56     0.67     0.61
IRKUTSK    061213 300  023500-024000   00     225.54  956.1    224.89     1.72     1.65
IRKUTSK    061213 300  024000-024500   00     222.48  956.1    221.80     0.32     0.24
IRKUTSK    061213 300  024500-025000   00     223.70  956.0    222.96     0.85     0.77
IRKUTSK    061213 300  025000-025500   00     221.33  956.0    220.57    -0.23    -0.32
IRKUTSK    061213 300  025500-030000   00     223.41  956.0    222.59     0.68     0.58
IRKUTSK    061213 300  030000-030500   00     226.22  955.9    225.35     1.93     1.82
IRKUTSK    061213 300  030500-031000   00     229.88  955.9    228.94     3.56     3.44
IRKUTSK    061213 300  031000-031500   00     229.05  955.9    228.08     3.17     3.05
IRKUTSK    061213 300  031500-032000   00     232.30  955.9    231.27     4.61     4.48
IRKUTSK    061213 300  032000-032500   00     230.72  955.8    229.64     3.87     3.73
IRKUTSK    061213 300  032500-033000   00     226.78  955.8    225.68     2.08     1.94
IRKUTSK    061213 300  033000-033500   00     230.23  955.8    229.07     3.61     3.46
