KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18-NM-64   IQSY 18 Section Neutron Monitor	
KINGSTON   STANDARD PRESSURE    1012.5  MB     COEFFICIENT   -0.739    % / MB
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    204.42      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KINGSTON   061212 3600 000000-010000   00    -999.00 -999.0    202.39    -1.00    -9999
KINGSTON   061212 3600 010000-020000   00    -999.00 -999.0    202.43    -1.00    -9999
KINGSTON   061212 3600 020000-030000   00    -999.00 -999.0    202.67    -0.90    -9999
KINGSTON   061212 3600 030000-040000   00    -999.00 -999.0    204.18    -0.10    -9999
KINGSTON   061212 3600 040000-050000   00    -999.00 -999.0    203.63    -0.40    -9999
KINGSTON   061212 3600 050000-060000   00    -999.00 -999.0    204.22    -0.10    -9999
KINGSTON   061212 3600 060000-070000   00    -999.00 -999.0    204.62     0.10    -9999
KINGSTON   061212 3600 070000-080000   00    -999.00 -999.0    203.05    -0.70    -9999
KINGSTON   061212 3600 080000-090000   00    -999.00 -999.0    202.45    -1.00    -9999
KINGSTON   061212 3600 090000-100000   00    -999.00 -999.0    202.29    -1.00    -9999
KINGSTON   061212 3600 100000-110000   00    -999.00 -999.0    202.65    -0.90    -9999
KINGSTON   061212 3600 110000-120000   00    -999.00 -999.0    201.97    -1.20    -9999
KINGSTON   061212 3600 120000-130000   00    -999.00 -999.0    201.44    -1.50    -9999
KINGSTON   061212 3600 130000-140000   00    -999.00 -999.0    201.32    -1.50    -9999
KINGSTON   061212 3600 140000-150000   00    -999.00 -999.0    202.12    -1.10    -9999
KINGSTON   061212 3600 150000-160000   00    -999.00 -999.0    202.02    -1.20    -9999
KINGSTON   061212 3600 160000-170000   00    -999.00 -999.0    202.63    -0.90    -9999
KINGSTON   061212 3600 170000-180000   00    -999.00 -999.0    202.25    -1.10    -9999
KINGSTON   061212 3600 180000-190000   00    -999.00 -999.0    202.87    -0.80    -9999
KINGSTON   061212 3600 190000-200000   00    -999.00 -999.0    202.12    -1.10    -9999
KINGSTON   061212 3600 200000-210000   00    -999.00 -999.0    202.40    -1.00    -9999
KINGSTON   061212 3600 210000-220000   00    -999.00 -999.0    202.77    -0.80    -9999
KINGSTON   061212 3600 220000-230000   00    -999.00 -999.0    202.65    -0.90    -9999
KINGSTON   061212 3600 230000-240000   00    -999.00 -999.0    203.38    -0.50    -9999
KINGSTON   061213 300  000000-000500   00     205.34 1011.1    203.23    -0.60    -9999
KINGSTON   061213 300  000500-001000   00     206.51 1011.1    204.35     0.00    -9999
KINGSTON   061213 300  001000-001500   00     206.82 1011.0    204.54     0.10    -9999
KINGSTON   061213 300  001500-002000   00     205.96 1011.0    203.70    -0.40    -9999
KINGSTON   061213 300  002000-002500   00     204.83 1011.0    202.54    -0.90    -9999
KINGSTON   061213 300  002500-003000   00     204.43 1010.9    202.00    -1.20    -9999
KINGSTON   061213 300  003000-003500   00     206.44 1010.8    203.86    -0.30    -9999
KINGSTON   061213 300  003500-004000   00     205.44 1010.7    202.79    -0.80    -9999
KINGSTON   061213 300  004000-004500   00     206.40 1010.6    203.55    -0.40    -9999
KINGSTON   061213 300  004500-005000   00     207.81 1010.5    204.79     0.20    -9999
KINGSTON   061213 300  005000-005500   00     205.03 1010.4    201.93    -1.20    -9999
KINGSTON   061213 300  005500-010000   00     204.91 1010.4    201.70    -1.30    -9999
KINGSTON   061213 300  010000-010500   00     207.71 1010.3    204.30    -0.10    -9999
KINGSTON   061213 300  010500-011000   00     206.02 1010.2    202.55    -0.90    -9999
