LARC       LATITUDE    -62.2     LONGITUDE     301.04    ALTITUDE    40 M
LARC       INSTRUMENT   6-NM-64  NEUTRON MONITOR
LARC       STANDARD PRESSURE    980     mb     COEFFICIENT   -0.74     % / mb
LARC       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LARC       PRE-INCREASE AVERAGE COUNTING RATE     75.82      COUNTS PER SECOND
LARC       TIME INTERVALS    300         3600     
LARC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LARC       061212 3600 000000-010000   00      84.25  964.3     75.04    -1.00    -9999
LARC       061212 3600 010000-020000   00      84.25  964.0     74.83    -1.30    -9999
LARC       061212 3600 020000-030000   00      83.85  963.9     74.42    -1.90    -9999
LARC       061212 3600 030000-040000   00      84.41  963.8     74.85    -1.30    -9999
LARC       061212 3600 040000-050000   00      84.20  964.2     74.92    -1.20    -9999
LARC       061212 3600 050000-060000   00      82.76  965.8     74.52    -1.70    -9999
LARC       061212 3600 060000-070000   00      82.97  967.1     75.43    -0.50    -9999
LARC       061212 3600 070000-080000   00      81.62  967.9     74.62    -1.60    -9999
LARC       061212 3600 080000-090000   00      81.48  968.5     74.82    -1.30    -9999
LARC       061212 3600 090000-100000   00      80.97  969.0     74.64    -1.60    -9999
LARC       061212 3600 100000-110000   00      81.29  969.6     75.24    -0.80    -9999
LARC       061212 3600 110000-120000   00      81.01  969.9     75.16    -0.90    -9999
LARC       061212 3600 120000-130000   00      80.93  970.1     75.19    -0.80    -9999
LARC       061212 3600 130000-140000   00      80.85  970.3     75.27    -0.70    -9999
LARC       061212 3600 140000-150000   00      81.55  970.4     75.95     0.20    -9999
LARC       061212 3600 150000-160000   00      81.68  970.4     76.05     0.30    -9999
LARC       061212 3600 160000-170000   00      82.05  970.1     76.23     0.50    -9999
LARC       061212 3600 170000-180000   00      82.26  969.5     76.13     0.40    -9999
LARC       061212 3600 180000-190000   00      82.83  968.6     76.15     0.40    -9999
LARC       061212 3600 190000-200000   00      83.04  968.3     76.14     0.40    -9999
LARC       061212 3600 200000-210000   00      83.21  967.3     75.73    -0.10    -9999
LARC       061212 3600 210000-220000   00      83.70  966.8     75.91     0.10    -9999
LARC       061212 3600 220000-230000   00      84.17  965.8     75.78    -0.10    -9999
LARC       061212 3600 230000-240000   00      85.14  964.5     75.92     0.10    -9999
LARC       061213 3600 000000-010000   00      85.68  963.2     75.66    -0.20    -9999
LARC       061213 300  010000-010500   00      86.20  962.4     75.66    -0.20    -9999
LARC       061213 300  010500-011000   00      86.64  962.3     75.99     0.20    -9999
LARC       061213 300  011000-011500   00      86.85  962.2     76.14     0.40    -9999
LARC       061213 300  011500-012000   00      86.31  962.1     75.60    -0.30    -9999
LARC       061213 300  012000-012500   00      86.49  962.1     75.73    -0.10    -9999
LARC       061213 300  012500-013000   00      87.12  962.0     76.23     0.60    -9999
LARC       061213 300  013000-013500   00      87.29  961.9     76.33     0.70    -9999
LARC       061213 300  013500-014000   00      85.38  961.7     74.60    -1.60    -9999
LARC       061213 300  014000-014500   00      85.22  961.7     74.45    -1.80    -9999
LARC       061213 300  014500-015000   00      88.18  961.6     76.98     1.50    -9999
LARC       061213 300  015000-015500   00      88.89  961.6     77.57     2.30    -9999
LARC       061213 300  015500-020000   00      85.19  961.7     74.43    -1.80    -9999
LARC       061213 300  020000-020500   00      87.55  961.6     76.43     0.80     0.80
LARC       061213 300  020500-021000   00      86.72  961.7     75.73    -0.10    -0.10
LARC       061213 300  021000-021500   00      86.18  961.7     75.24    -0.70    -0.70
LARC       061213 300  021500-022000   00      86.16  961.6     75.17    -0.80    -0.80
LARC       061213 300  022000-022500   00      86.24  961.5     75.19    -0.80    -0.80
LARC       061213 300  022500-023000   00      86.93  961.5     75.79     0.00     0.00
LARC       061213 300  023000-023500   00      86.54  961.4     75.43    -0.50    -0.50
LARC       061213 300  023500-024000   00      86.37  961.5     75.34    -0.60    -0.60
LARC       061213 300  024000-024500   00      85.93  961.5     74.91    -1.20    -1.20
LARC       061213 300  024500-025000   00      87.34  961.5     76.16     0.50     0.50
LARC       061213 300  025000-025500   00      89.11  961.5     77.69     2.50     2.50
LARC       061213 300  025500-030000   00      97.36  961.5     84.91    12.00    12.00
LARC       061213 300  030000-030500   00     106.43  961.4     92.78    22.40    22.40
LARC       061213 300  030500-031000   00     103.77  961.5     90.47    19.30    19.30
LARC       061213 300  031000-031500   00      98.42  961.5     85.81    13.20    13.20
LARC       061213 300  031500-032000   00      95.90  961.5     83.64    10.30    10.30
LARC       061213 300  032000-032500   00      94.54  961.5     82.44     8.70     8.70
LARC       061213 300  032500-033000   00      93.14  961.5     81.23     7.20     7.20
LARC       061213 300  033000-033500   00      93.08  961.6     81.23     7.20     7.20
LARC       061213 300  033500-034000   00      92.42  961.5     80.62     6.30     6.30
LARC       061213 300  034000-034500   00      91.16  961.6     79.55     4.90     4.90
LARC       061213 300  034500-035000   00      91.00  961.6     79.42     4.80     4.80
LARC       061213 300  035000-035500   00      91.43  961.6     79.78     5.20     5.20
LARC       061213 300  035500-040000   00      90.56  961.6     79.03     4.20     4.20
LARC       061213 300  040000-040500   00      90.38  961.6     78.87     4.00     4.00
LARC       061213 300  040500-041000   00      88.91  961.5     77.53     2.30     2.30
LARC       061213 300  041000-041500   00      89.95  961.5     78.45     3.50     3.50
LARC       061213 300  041500-042000   00      90.58  961.5     79.02     4.20     4.20
LARC       061213 300  042000-042500   00      88.59  961.6     77.32     2.00     2.00
