LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    550     MMHG   COEFFICIENT   -0.95     % / MMHG
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    442.69      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
LOMNICKY   061212 3600 000000-010000   00     429.64  552.7    440.82    -0.40    -9999
LOMNICKY   061212 3600 010000-020000   00     430.49  552.5    440.86    -0.40    -9999
LOMNICKY   061212 3600 020000-030000   00     431.66  552.1    440.37    -0.50    -9999
LOMNICKY   061212 3600 030000-040000   00     432.28  551.9    440.17    -0.60    -9999
LOMNICKY   061212 3600 040000-050000   00     434.06  551.7    441.14    -0.40    -9999
LOMNICKY   061212 3600 050000-060000   00     436.91  551.6    443.62     0.20    -9999
LOMNICKY   061212 3600 060000-070000   00     437.57  551.5    443.86     0.30    -9999
LOMNICKY   061212 3600 070000-080000   00     436.87  551.6    443.58     0.20    -9999
LOMNICKY   061212 3600 080000-090000   00     437.20  551.6    443.91     0.30    -9999
LOMNICKY   061212 3600 090000-100000   00     437.66  551.4    443.53     0.20    -9999
LOMNICKY   061212 3600 100000-110000   00     438.96  551.2    444.01     0.30    -9999
LOMNICKY   061212 3600 110000-120000   00     439.36  551.0    443.56     0.20    -9999
LOMNICKY   061212 3600 120000-130000   00     441.10  551.0    445.32     0.60    -9999
LOMNICKY   061212 3600 130000-140000   00     440.85  551.1    445.49     0.60    -9999
LOMNICKY   061212 3600 140000-150000   00     441.48  551.3    446.98     1.00    -9999
LOMNICKY   061212 3600 150000-160000   00     438.34  551.2    443.38     0.20    -9999
LOMNICKY   061212 3600 160000-170000   00     438.82  551.2    443.86     0.30    -9999
LOMNICKY   061212 3600 170000-180000   00     435.66  551.3    441.08    -0.40    -9999
LOMNICKY   061212 3600 180000-190000   00     435.31  551.7    442.41    -0.10    -9999
LOMNICKY   061212 3600 190000-200000   00     433.65  551.9    441.57    -0.30    -9999
LOMNICKY   061212 3600 200000-210000   00     432.55  552.3    442.13    -0.10    -9999
LOMNICKY   061212 3600 210000-220000   00     431.36  552.7    442.59     0.00    -9999
LOMNICKY   061212 3600 220000-230000   00     430.43  553.1    443.32     0.10    -9999
LOMNICKY   061212 3600 230000-240000   00     428.61  553.4    442.71     0.00    -9999
LOMNICKY   061213 300  000000-000500   00     425.81  553.6    440.66    -0.50    -9999
LOMNICKY   061213 300  000500-001000   00     426.12  553.6    440.98    -0.40    -9999
LOMNICKY   061213 300  001000-001500   00     429.05  553.6    444.01     0.30    -9999
LOMNICKY   061213 300  001500-002000   00     423.38  553.7    438.56    -0.90    -9999
LOMNICKY   061213 300  002000-002500   00     426.49  553.7    441.78    -0.20    -9999
LOMNICKY   061213 300  002500-003000   00     427.10  553.7    442.41    -0.10    -9999
LOMNICKY   061213 300  003000-003500   00     423.02  553.7    438.19    -1.00    -9999
LOMNICKY   061213 300  003500-004000   00     428.83  553.8    444.63     0.40    -9999
LOMNICKY   061213 300  004000-004500   00     423.47  553.8    439.07    -0.80    -9999
LOMNICKY   061213 300  004500-005000   00     429.17  553.8    444.98     0.50    -9999
LOMNICKY   061213 300  005000-005500   00     428.37  553.8    444.15     0.30    -9999
LOMNICKY   061213 300  005500-010000   00     425.99  553.8    441.69    -0.20    -9999
LOMNICKY   061213 300  010000-010500   00     428.32  553.8    444.10     0.30    -9999
LOMNICKY   061213 300  010500-011000   00     426.61  553.9    442.75     0.00    -9999
LOMNICKY   061213 300  011000-011500   00     427.79  553.9    443.97     0.30    -9999
LOMNICKY   061213 300  011500-012000   00     427.57  553.9    443.74     0.20    -9999
LOMNICKY   061213 300  012000-012500   00     424.83  553.9    440.90    -0.40    -9999
LOMNICKY   061213 300  012500-013000   00     424.20  554.0    440.67    -0.50    -9999
LOMNICKY   061213 300  013000-013500   00     427.56  554.0    444.16     0.30    -9999
LOMNICKY   061213 300  013500-014000   00     428.54  553.9    444.75     0.50    -9999
