MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    981.6   mb     COEFFICIENT   -0.743    % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    251.26      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    061212 3600 000000-010000   00    -999.00 -999.0    249.93    -0.50    -9999
MCMURDO    061212 3600 010000-020000   00    -999.00 -999.0    250.51    -0.30    -9999
MCMURDO    061212 3600 020000-030000   00    -999.00 -999.0    250.06    -0.50    -9999
MCMURDO    061212 3600 030000-040000   00    -999.00 -999.0    249.15    -0.80    -9999
MCMURDO    061212 3600 040000-050000   00    -999.00 -999.0    249.33    -0.80    -9999
MCMURDO    061212 3600 050000-060000   00    -999.00 -999.0    250.12    -0.50    -9999
MCMURDO    061212 3600 060000-070000   00    -999.00 -999.0    250.74    -0.20    -9999
MCMURDO    061212 3600 070000-080000   00    -999.00 -999.0    249.96    -0.50    -9999
MCMURDO    061212 3600 080000-090000   00    -999.00 -999.0    250.53    -0.30    -9999
MCMURDO    061212 3600 090000-100000   00    -999.00 -999.0    251.34     0.00    -9999
MCMURDO    061212 3600 100000-110000   00    -999.00 -999.0    250.53    -0.30    -9999
MCMURDO    061212 3600 110000-120000   00    -999.00 -999.0    250.59    -0.30    -9999
MCMURDO    061212 3600 120000-130000   00    -999.00 -999.0    250.64    -0.20    -9999
MCMURDO    061212 3600 130000-140000   00    -999.00 -999.0    251.40     0.10    -9999
MCMURDO    061212 3600 140000-150000   00    -999.00 -999.0    250.59    -0.30    -9999
MCMURDO    061212 3600 150000-160000   00    -999.00 -999.0    250.35    -0.40    -9999
MCMURDO    061212 3600 160000-170000   00    -999.00 -999.0    250.59    -0.30    -9999
MCMURDO    061212 3600 170000-180000   00    -999.00 -999.0    251.13    -0.10    -9999
MCMURDO    061212 3600 180000-190000   00    -999.00 -999.0    251.06    -0.10    -9999
MCMURDO    061212 3600 190000-200000   00    -999.00 -999.0    251.63     0.10    -9999
MCMURDO    061212 3600 200000-210000   00    -999.00 -999.0    251.19     0.00    -9999
MCMURDO    061212 3600 210000-220000   00    -999.00 -999.0    252.41     0.50    -9999
MCMURDO    061212 3600 220000-230000   00    -999.00 -999.0    252.07     0.30    -9999
MCMURDO    061212 3600 230000-240000   00    -999.00 -999.0    251.19     0.00    -9999
MCMURDO    061213 3600 000000-010000   00     251.33  981.8    251.71     0.20    -9999
MCMURDO    061213 300  010000-010500   00     251.06  981.6    251.04    -0.10    -9999
MCMURDO    061213 300  010500-011000   00     249.66  981.6    249.59    -0.70    -9999
MCMURDO    061213 300  011000-011500   00     249.48  981.5    249.37    -0.80    -9999
MCMURDO    061213 300  011500-012000   00     252.02  981.5    251.86     0.20    -9999
MCMURDO    061213 300  012000-012500   00     250.34  981.5    250.14    -0.40    -9999
MCMURDO    061213 300  012500-013000   00     251.68  981.5    251.43     0.10    -9999
MCMURDO    061213 300  013000-013500   00     252.14  981.4    251.84     0.20    -9999
MCMURDO    061213 300  013500-014000   00     255.04  981.4    254.69     1.40    -9999
MCMURDO    061213 300  014000-014500   00     249.96  981.4    249.57    -0.70    -9999
MCMURDO    061213 300  014500-015000   00     252.20  981.4    251.76     0.20    -9999
MCMURDO    061213 300  015000-015500   00     253.24  981.3    252.75     0.60    -9999
MCMURDO    061213 300  015500-020000   00     251.64  981.3    251.11    -0.10    -9999
MCMURDO    061213 300  020000-020500   00     254.22  981.3    253.65     1.00     0.79
MCMURDO    061213 300  020500-021000   00     254.74  981.3    254.15     1.10     0.86
MCMURDO    061213 300  021000-021500   00     253.40  981.3    252.80     0.60     0.32
MCMURDO    061213 300  021500-022000   00     257.46  981.3    256.83     2.20     1.89
MCMURDO    061213 300  022000-022500   00     252.88  981.3    252.25     0.40     0.05
MCMURDO    061213 300  022500-023000   00     251.10  981.3    250.46    -0.30    -0.68
MCMURDO    061213 300  023000-023500   00     251.88  981.2    251.22     0.00    -0.41
MCMURDO    061213 300  023500-024000   00     251.50  981.2    250.83    -0.20    -0.65
MCMURDO    061213 300  024000-024500   00     249.86  981.2    249.17    -0.80    -1.28
MCMURDO    061213 300  024500-025000   00     251.22  981.2    250.51    -0.30    -0.81
MCMURDO    061213 300  025000-025500   00     252.50  981.2    251.78     0.20    -0.35
MCMURDO    061213 300  025500-030000   00     255.00  981.2    254.25     1.20     0.62
MCMURDO    061213 300  030000-030500   00     257.88  981.2    257.11     2.30     1.69
MCMURDO    061213 300  030500-031000   00     269.58  981.2    268.76     7.00     6.36
MCMURDO    061213 300  031000-031500   00     281.62  981.2    280.74    11.70    11.03
MCMURDO    061213 300  031500-032000   00     292.92  981.2    291.99    16.20    15.50
MCMURDO    061213 300  032000-032500   00     300.56  981.2    299.59    19.20    18.47
MCMURDO    061213 300  032500-033000   00     305.70  981.2    304.69    21.30    20.54
MCMURDO    061213 300  033000-033500   00     310.76  981.1    309.72    23.30    22.51
MCMURDO    061213 300  033500-034000   00     311.08  981.1    310.02    23.40    22.58
MCMURDO    061213 300  034000-034500   00     311.98  981.1    310.89    23.70    22.85
MCMURDO    061213 300  034500-035000   00     307.92  981.1    306.83    22.10    21.22
MCMURDO    061213 300  035000-035500   00     303.70  981.1    302.61    20.40    19.50
MCMURDO    061213 300  035500-040000   00     302.10  981.1    300.99    19.80    18.87
MCMURDO    061213 300  040000-040500   00     303.86  981.1    302.72    20.50    19.54
MCMURDO    061213 300  040500-041000   00     300.72  981.1    299.58    19.20    18.22
