MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.739    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE    240.49      COUNTS PER SECOND
MAWSON     TIME INTERVALS    300         3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     061212 3600 000000-010000   00    -999.00 -999.0    236.98    -1.50    -9999
MAWSON     061212 3600 010000-020000   00    -999.00 -999.0    236.98    -1.50    -9999
MAWSON     061212 3600 020000-030000   00    -999.00 -999.0    238.54    -0.80    -9999
MAWSON     061212 3600 030000-040000   00    -999.00 -999.0    238.13    -1.00    -9999
MAWSON     061212 3600 040000-050000   00    -999.00 -999.0    238.64    -0.80    -9999
MAWSON     061212 3600 050000-060000   00    -999.00 -999.0    238.23    -0.90    -9999
MAWSON     061212 3600 060000-070000   00    -999.00 -999.0    238.86    -0.70    -9999
MAWSON     061212 3600 070000-080000   00    -999.00 -999.0    238.64    -0.80    -9999
MAWSON     061212 3600 080000-090000   00    -999.00 -999.0    238.96    -0.60    -9999
MAWSON     061212 3600 090000-100000   00    -999.00 -999.0    240.42     0.00    -9999
MAWSON     061212 3600 100000-110000   00    -999.00 -999.0    239.79    -0.30    -9999
MAWSON     061212 3600 110000-120000   00    -999.00 -999.0    240.30    -0.10    -9999
MAWSON     061212 3600 120000-130000   00    -999.00 -999.0    241.15     0.30    -9999
MAWSON     061212 3600 130000-140000   00    -999.00 -999.0    239.37    -0.50    -9999
MAWSON     061212 3600 140000-150000   00    -999.00 -999.0    240.30    -0.10    -9999
MAWSON     061212 3600 150000-160000   00    -999.00 -999.0    240.20    -0.10    -9999
MAWSON     061212 3600 160000-170000   00    -999.00 -999.0    240.20    -0.10    -9999
MAWSON     061212 3600 170000-180000   00    -999.00 -999.0    239.89    -0.20    -9999
MAWSON     061212 3600 180000-190000   00    -999.00 -999.0    239.69    -0.30    -9999
MAWSON     061212 3600 190000-200000   00    -999.00 -999.0    238.96    -0.60    -9999
MAWSON     061212 3600 200000-210000   00    -999.00 -999.0    238.13    -1.00    -9999
MAWSON     061212 3600 210000-220000   00    -999.00 -999.0    239.27    -0.50    -9999
MAWSON     061212 3600 220000-230000   00    -999.00 -999.0    239.37    -0.50    -9999
MAWSON     061212 3600 230000-240000   00    -999.00 -999.0    238.74    -0.70    -9999
MAWSON     061213 300  000000-000500   00     260.93  978.0    238.79    -0.70    -9999
MAWSON     061213 300  000500-001000   00     261.77  978.0    239.55    -0.40    -9999
MAWSON     061213 300  001000-001500   00     262.04  978.1    239.94    -0.20    -9999
MAWSON     061213 300  001500-002000   00     262.81  978.0    240.54     0.00    -9999
MAWSON     061213 300  002000-002500   00     261.52  978.0    239.32    -0.50    -9999
MAWSON     061213 300  002500-003000   00     262.42  978.0    240.11    -0.20    -9999
MAWSON     061213 300  003000-003500   00     260.60  978.0    238.42    -0.90    -9999
MAWSON     061213 300  003500-004000   00     261.44  977.9    239.08    -0.60    -9999
MAWSON     061213 300  004000-004500   00     263.43  977.8    240.79     0.10    -9999
MAWSON     061213 300  004500-005000   00     261.59  977.8    239.04    -0.60    -9999
MAWSON     061213 300  005000-005500   00     261.62  977.7    238.89    -0.70    -9999
MAWSON     061213 300  005500-010000   00     262.80  977.7    239.97    -0.20    -9999
MAWSON     061213 300  010000-010500   00     266.04  977.7    242.93     1.00    -9999
MAWSON     061213 300  010500-011000   00     263.35  977.7    240.46     0.00    -9999
MAWSON     061213 300  011000-011500   00     264.76  977.7    241.75     0.50    -9999
MAWSON     061213 300  011500-012000   00     261.67  977.7    238.93    -0.60    -9999
MAWSON     061213 300  012000-012500   00     262.71  977.7    239.88    -0.30    -9999
MAWSON     061213 300  012500-013000   00     262.81  977.7    239.98    -0.20    -9999
MAWSON     061213 300  013000-013500   00     263.49  977.7    240.63     0.10    -9999
MAWSON     061213 300  013500-014000   00     263.31  977.9    240.75     0.10    -9999
MAWSON     061213 300  014000-014500   00     263.30  978.0    240.89     0.20    -9999
MAWSON     061213 300  014500-015000   00     263.13  977.9    240.69     0.10    -9999
MAWSON     061213 300  015000-015500   00     261.22  977.9    238.87    -0.70    -9999
MAWSON     061213 300  015500-020000   00     262.55  977.9    240.09    -0.20    -9999
MAWSON     061213 300  020000-020500   00     264.79  977.9    242.15     0.70     0.70
MAWSON     061213 300  020500-021000   00     262.08  977.9    239.66    -0.30    -0.30
MAWSON     061213 300  021000-021500   00     262.60  977.9    240.14    -0.10    -0.10
MAWSON     061213 300  021500-022000   00     261.76  977.9    239.37    -0.50    -0.50
MAWSON     061213 300  022000-022500   00     261.97  977.9    239.56    -0.40    -0.40
MAWSON     061213 300  022500-023000   00     262.38  977.9    239.93    -0.20    -0.20
MAWSON     061213 300  023000-023500   00     260.06  977.9    237.82    -1.10    -1.10
MAWSON     061213 300  023500-024000   00     261.66  977.9    239.28    -0.50    -0.50
MAWSON     061213 300  024000-024500   00     265.07  977.8    242.26     0.70     0.70
MAWSON     061213 300  024500-025000   00     264.90  977.8    242.06     0.70     0.70
MAWSON     061213 300  025000-025500   00     312.88  977.8    285.91    18.90    18.90
MAWSON     061213 300  025500-030000   00     399.39  977.8    364.96    51.80    51.80
MAWSON     061213 300  030000-030500   00     363.51  977.8    332.17    38.10    38.10
MAWSON     061213 300  030500-031000   00     379.70  977.8    346.97    44.30    44.30
MAWSON     061213 300  031000-031500   00     401.04  977.8    366.46    52.40    52.40
MAWSON     061213 300  031500-032000   00     382.35  977.8    349.39    45.30    45.30
MAWSON     061213 300  032000-032500   00     363.11  977.8    331.81    38.00    38.00
MAWSON     061213 300  032500-033000   00     364.31  977.8    332.91    38.40    38.40
MAWSON     061213 300  033000-033500   00     357.01  977.8    326.23    35.70    35.70
MAWSON     061213 300  033500-034000   00     348.25  977.8    318.22    32.30    32.30
MAWSON     061213 300  034000-034500   00     345.25  977.8    315.48    31.20    31.20
MAWSON     061213 300  034500-035000   00     340.11  977.8    310.78    29.20    29.20
MAWSON     061213 300  035000-035500   00     334.64  977.8    305.79    27.20    27.20
MAWSON     061213 300  035500-040000   00     331.79  977.8    303.18    26.10    26.10
MAWSON     061213 300  040000-040500   00     329.35  977.8    300.96    25.10    25.10
MAWSON     061213 300  040500-041000   00     324.62  977.8    296.55    23.30    23.30
MAWSON     061213 300  041000-041500   00     321.90  977.7    293.97    22.20    22.20
MAWSON     061213 300  041500-042000   00     317.03  977.8    289.70    20.50    20.50
MAWSON     061213 300  042000-042500   00     315.36  977.8    288.13    19.80    19.80
MAWSON     061213 300  042500-043000   00     305.72  977.8    279.36    16.20    16.20
MAWSON     061213 300  043000-043500   00     306.85  977.8    280.31    16.60    16.60
MAWSON     061213 300  043500-044000   00     301.13  977.8    275.17    14.40    14.40
MAWSON     061213 300  044000-044500   00     302.53  977.8    276.45    15.00    15.00
MAWSON     061213 300  044500-045000   00     300.84  977.8    274.90    14.30    14.30
MAWSON     061213 300  045000-045500   00     297.23  977.8    271.61    12.90    12.90
MAWSON     061213 300  045500-050000   00     298.31  977.8    272.59    13.30    13.30
MAWSON     061213 300  050000-050500   00     292.35  977.8    267.15    11.10    11.10
MAWSON     061213 300  050500-051000   00     292.07  977.8    266.89    11.00    11.00
MAWSON     061213 300  051000-051500   00     287.68  977.8    262.87     9.30     9.30
MAWSON     061213 300  051500-052000   00     289.22  977.9    264.48    10.00    10.00
MAWSON     061213 300  052000-052500   00     286.70  977.9    262.18     9.00     9.00
MAWSON     061213 300  052500-053000   00     284.32  977.9    260.00     8.10     8.10
MAWSON     061213 300  053000-053500   00     286.31  977.9    261.82     8.90     8.90
MAWSON     061213 300  053500-054000   00     282.60  977.9    258.43     7.50     7.50
MAWSON     061213 300  054000-054500   00     282.03  978.0    258.06     7.30     7.30
MAWSON     061213 300  054500-055000   00     280.22  978.0    256.44     6.60     6.60
MAWSON     061213 300  055000-055500   00     281.54  978.0    257.65     7.10     7.10
MAWSON     061213 300  055500-060000   00     280.53  978.0    256.69     6.70     6.70
MAWSON     061213 300  060000-060500   00     278.98  978.0    255.30     6.20     6.20
MAWSON     061213 300  060500-061000   00     278.17  978.0    254.57     5.90     5.90
MAWSON     061213 300  061000-061500   00     280.04  978.0    256.28     6.60     6.60
MAWSON     061213 300  061500-062000   00     279.66  978.0    255.93     6.40     6.40
MAWSON     061213 300  062000-062500   00     279.79  978.0    256.05     6.50     6.50
MAWSON     061213 300  062500-063000   00     278.97  978.0    255.29     6.20     6.20
MAWSON     061213 300  063000-063500   00     276.86  978.0    253.37     5.40     5.40
MAWSON     061213 300  063500-064000   00     277.01  978.0    253.51     5.40     5.40
MAWSON     061213 300  064000-064500   00     274.58  978.0    251.28     4.50     4.50
MAWSON     061213 300  064500-065000   00     275.81  978.0    252.41     5.00     5.00
MAWSON     061213 300  065000-065500   00     274.88  978.0    251.55     4.60     4.60
MAWSON     061213 300  065500-070000   00     276.51  978.0    253.04     5.20     5.20
MAWSON     061213 300  070000-070500   00     273.38  978.0    250.18     4.00     4.00
MAWSON     061213 300  070500-071000   00     273.74  978.0    250.51     4.20     4.20
MAWSON     061213 300  071000-071500   00     272.84  978.0    249.69     3.80     3.80
MAWSON     061213 300  071500-072000   00     274.76  978.0    251.44     4.60     4.60
MAWSON     061213 300  072000-072500   00     272.77  978.0    249.63     3.80     3.80
MAWSON     061213 300  072500-073000   00     272.82  978.0    249.66     3.80     3.80
MAWSON     061213 300  073000-073500   00     269.82  978.0    246.92     2.70     2.70
MAWSON     061213 300  073500-074000   00     275.37  978.0    252.01     4.80     4.80
MAWSON     061213 300  074000-074500   00     273.91  978.0    250.66     4.20     4.20
MAWSON     061213 300  074500-075000   00     271.32  978.0    248.30     3.20     3.20
MAWSON     061213 300  075000-075500   00     274.64  978.1    251.49     4.60     4.60
MAWSON     061213 300  075500-080000   00     270.38  978.1    247.61     3.00     3.00
MAWSON     061213 300  080000-080500   00     271.93  978.1    249.04     3.60     3.60
MAWSON     061213 300  080500-081000   00     271.66  978.1    248.80     3.50     3.50
MAWSON     061213 300  081000-081500   00     271.53  978.1    248.67     3.40     3.40
MAWSON     061213 300  081500-082000   00     271.43  978.1    248.65     3.40     3.40
MAWSON     061213 300  082000-082500   00     271.32  978.2    248.66     3.40     3.40
MAWSON     061213 300  082500-083000   00     272.64  978.2    249.87     3.90     3.90
MAWSON     061213 300  083000-083500   00     270.42  978.2    247.84     3.10     3.10
MAWSON     061213 300  083500-084000   00     271.23  978.2    248.58     3.40     3.40
MAWSON     061213 300  084000-084500   00     270.25  978.2    247.68     3.00     3.00
MAWSON     061213 300  084500-085000   00     272.67  978.2    249.90     3.90     3.90
MAWSON     061213 300  085000-085500   00     270.28  978.3    247.86     3.10     3.10
MAWSON     061213 300  085500-090000   00     271.22  978.3    248.72     3.40     3.40
MAWSON     061213 300  090000-090500   00     270.07  978.2    247.52     2.90     2.90
MAWSON     061213 300  090500-091000   00     269.79  978.2    247.27     2.80     2.80
MAWSON     061213 300  091000-091500   00     269.13  978.3    246.84     2.60     2.60
MAWSON     061213 300  091500-092000   00     269.25  978.3    246.95     2.70     2.70
MAWSON     061213 300  092000-092500   00     268.92  978.3    246.64     2.60     2.60
MAWSON     061213 300  092500-093000   00     269.10  978.3    246.81     2.60     2.60
MAWSON     061213 300  093000-093500   00     268.80  978.3    246.53     2.50     2.50
MAWSON     061213 300  093500-094000   00     270.77  978.3    248.34     3.30     3.30
MAWSON     061213 300  094000-094500   00     269.11  978.4    246.93     2.70     2.70
MAWSON     061213 300  094500-095000   00     268.53  978.4    246.44     2.50     2.50
MAWSON     061213 300  095000-095500   00     269.08  978.4    246.97     2.70     2.70
MAWSON     061213 300  095500-100000   00     266.82  978.4    244.97     1.90     1.90
