MOSC  1nmF LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSC  1nmF INSTRUMENT   01nmF    NEUTRON MONITOR (B10 counter,without Lead)	
MOSC  1nmF STANDARD PRESSURE    999.1   mb     COEFFICIENT   -0.71     % / mb
MOSC  1nmF PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MOSC  1nmF PRE-INCREASE AVERAGE COUNTING RATE      2.45      COUNTS PER SECOND
MOSC  1nmF TIME INTERVALS    300         3600     
MOSC  1nmF SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSC  1nmF 061212 3600 000000-010000   00       2.41 1000.6      2.44    -0.50    -9999
MOSC  1nmF 061212 3600 010000-020000   00       2.40 1000.4      2.42    -1.10    -9999
MOSC  1nmF 061212 3600 020000-030000   00       2.33 1000.4      2.35    -4.15    -9999
MOSC  1nmF 061212 3600 030000-040000   00       2.37 1000.5      2.39    -2.43    -9999
MOSC  1nmF 061212 3600 040000-050000   00       2.37 1000.6      2.39    -2.26    -9999
MOSC  1nmF 061212 3600 050000-060000   00       2.43 1000.7      2.46     0.21    -9999
MOSC  1nmF 061212 3600 060000-070000   00       2.38 1001.0      2.41    -1.62    -9999
MOSC  1nmF 061212 3600 070000-080000   00       2.39 1001.1      2.43    -0.99    -9999
MOSC  1nmF 061212 3600 080000-090000   00       2.35 1001.0      2.39    -2.56    -9999
MOSC  1nmF 061212 3600 090000-100000   00       2.38 1000.8      2.41    -1.79    -9999
MOSC  1nmF 061212 3600 100000-110000   00       2.39 1000.5      2.42    -1.37    -9999
MOSC  1nmF 061212 3600 110000-120000   00       2.40 1000.3      2.42    -1.18    -9999
MOSC  1nmF 061212 3600 120000-130000   00       2.39 1000.2      2.41    -1.65    -9999
MOSC  1nmF 061212 3600 130000-140000   00       2.40 1000.2      2.41    -1.46    -9999
MOSC  1nmF 061212 3600 140000-150000   00       2.41 1000.1      2.43    -0.93    -9999
MOSC  1nmF 061212 3600 150000-160000   00       2.39  999.9      2.41    -1.84    -9999
MOSC  1nmF 061212 3600 160000-170000   00       2.43  999.9      2.44    -0.29    -9999
MOSC  1nmF 061212 3600 170000-180000   00       2.40  999.8      2.41    -1.69    -9999
MOSC  1nmF 061212 3600 180000-190000   00       2.41  999.8      2.42    -1.14    -9999
MOSC  1nmF 061212 3600 190000-200000   00       2.42 1000.0      2.43    -0.70    -9999
