NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    1015.5  mb     COEFFICIENT   -0.71     % / mb
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE    109.84      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NORILSK    061212 3600 000000-010000   00     111.26 1014.3    110.31     0.40    -9999
NORILSK    061212 3600 010000-020000   00     110.80 1014.4    110.01     0.20    -9999
NORILSK    061212 3600 020000-030000   00     111.14 1014.5    110.39     0.50    -9999
NORILSK    061212 3600 030000-040000   00     110.90 1014.5    110.19     0.30    -9999
NORILSK    061212 3600 040000-050000   00     110.36 1014.7    109.78    -0.10    -9999
NORILSK    061212 3600 050000-060000   00     110.70 1015.0    110.34     0.50    -9999
NORILSK    061212 3600 060000-070000   00     111.16 1015.3    111.01     1.10    -9999
NORILSK    061212 3600 070000-080000   00     111.21 1015.2    111.03     1.10    -9999
NORILSK    061212 3600 080000-090000   00     110.63 1015.5    110.70     0.80    -9999
NORILSK    061212 3600 090000-100000   00     109.82 1015.9    110.15     0.30    -9999
NORILSK    061212 3600 100000-110000   00     109.80 1016.0    110.24     0.40    -9999
NORILSK    061212 3600 110000-120000   00     110.48 1016.0    110.95     1.00    -9999
NORILSK    061212 3600 120000-130000   00     109.81 1015.9    110.17     0.30    -9999
NORILSK    061212 3600 130000-140000   00     109.51 1016.0    109.94     0.10    -9999
NORILSK    061212 3600 140000-150000   00     109.67 1016.0    110.10     0.20    -9999
NORILSK    061212 3600 150000-160000   00     109.90 1016.0    110.31     0.40    -9999
NORILSK    061212 3600 160000-170000   00     110.02 1016.0    110.47     0.60    -9999
NORILSK    061212 3600 170000-180000   00     109.70 1016.0    110.16     0.30    -9999
NORILSK    061212 3600 180000-190000   00     106.05 1016.1    106.54    -3.00    -9999
NORILSK    061212 3600 190000-200000   00     110.30 1016.0    110.73     0.80    -9999
NORILSK    061212 3600 200000-210000   00     110.32 1016.0    110.74     0.80    -9999
NORILSK    061212 3600 210000-220000   00     110.14 1016.0    110.59     0.70    -9999
NORILSK    061212 3600 220000-230000   00     109.80 1016.0    110.24     0.40    -9999
NORILSK    061212 3600 230000-240000   00     109.72 1015.8    110.02     0.20    -9999
NORILSK    061213 3600 000000-010000   00     110.49 1015.7    110.65     0.70    -9999
NORILSK    061213 300  010000-010500   00     109.68 1015.4    109.67    -0.20    -9999
NORILSK    061213 300  010500-011000   00     109.88 1015.4    109.84     0.00    -9999
NORILSK    061213 300  011000-011500   00     109.73 1015.4    109.67    -0.20    -9999
NORILSK    061213 300  011500-012000   00     111.95 1015.3    111.86     1.80    -9999
NORILSK    061213 300  012000-012500   00     108.70 1015.3    108.59    -1.10    -9999
NORILSK    061213 300  012500-013000   00     109.45 1015.3    109.32    -0.50    -9999
NORILSK    061213 300  013000-013500   00     110.91 1015.2    110.75     0.80    -9999
NORILSK    061213 300  013500-014000   00     109.89 1015.2    109.72    -0.10    -9999
NORILSK    061213 300  014000-014500   00     108.73 1015.2    108.53    -1.20    -9999
NORILSK    061213 300  014500-015000   00     111.37 1015.2    111.14     1.20    -9999
NORILSK    061213 300  015000-015500   00     109.18 1015.1    108.93    -0.80    -9999
NORILSK    061213 300  015500-020000   00     110.39 1015.1    110.10     0.20    -9999
NORILSK    061213 300  020000-020500   00     109.19 1015.1    108.89    -0.90    -0.90
NORILSK    061213 300  020500-021000   00     111.51 1015.0    111.18     1.20     1.20
NORILSK    061213 300  021000-021500   00     109.28 1015.0    108.93    -0.80    -0.80
NORILSK    061213 300  021500-022000   00     110.37 1015.0    109.99     0.10     0.10
NORILSK    061213 300  022000-022500   00     110.23 1014.9    109.83     0.00     0.00
NORILSK    061213 300  022500-023000   00     110.92 1014.9    110.48     0.60     0.60
NORILSK    061213 300  023000-023500   00     110.10 1014.9    109.65    -0.20    -0.20
NORILSK    061213 300  023500-024000   00     109.70 1014.8    109.22    -0.60    -0.60
NORILSK    061213 300  024000-024500   00     111.48 1014.8    110.96     1.00     1.00
NORILSK    061213 300  024500-025000   00     113.20 1014.8    112.66     2.60     2.60
NORILSK    061213 300  025000-025500   00     115.26 1014.7    114.69     4.40     4.40
NORILSK    061213 300  025500-030000   00     126.06 1014.7    125.40    14.20    14.20
NORILSK    061213 300  030000-030500   00     127.80 1014.7    127.11    15.70    15.70
NORILSK    061213 300  030500-031000   00     132.84 1014.7    132.12    20.30    20.30
NORILSK    061213 300  031000-031500   00     132.13 1014.7    131.41    19.60    19.60
NORILSK    061213 300  031500-032000   00     133.62 1014.7    132.88    21.00    21.00
NORILSK    061213 300  032000-032500   00     134.59 1014.7    133.84    21.80    21.80
NORILSK    061213 300  032500-033000   00     132.08 1014.7    131.34    19.60    19.60
NORILSK    061213 300  033000-033500   00     131.97 1014.7    131.23    19.50    19.50
NORILSK    061213 300  033500-034000   00     133.06 1014.7    132.31    20.50    20.50
NORILSK    061213 300  034000-034500   00     134.33 1014.6    133.57    21.60    21.60
NORILSK    061213 300  034500-035000   00     131.01 1014.6    130.26    18.60    18.60
NORILSK    061213 300  035000-035500   00     132.28 1014.6    131.52    19.70    19.70
NORILSK    061213 300  035500-040000   00     130.07 1014.6    129.32    17.70    17.70
NORILSK    061213 300  040000-040500   00     127.21 1014.6    126.47    15.10    15.10
NORILSK    061213 300  040500-041000   00     129.00 1014.6    128.22    16.70    16.70
NORILSK    061213 300  041000-041500   00     128.56 1014.6    127.77    16.30    16.30
NORILSK    061213 300  041500-042000   00     127.93 1014.6    127.12    15.70    15.70
NORILSK    061213 300  042000-042500   00     128.79 1014.5    127.96    16.50    16.50
NORILSK    061213 300  042500-043000   00     124.47 1014.5    123.64    12.60    12.60
NORILSK    061213 300  043000-043500   00     122.74 1014.5    121.90    11.00    11.00
NORILSK    061213 300  043500-044000   00     124.02 1014.5    123.16    12.10    12.10
NORILSK    061213 300  044000-044500   00     123.59 1014.4    122.70    11.70    11.70
NORILSK    061213 300  044500-045000   00     120.66 1014.4    119.78     9.00     9.00
NORILSK    061213 300  045000-045500   00     122.81 1014.4    121.89    11.00    11.00
NORILSK    061213 300  045500-050000   00     120.72 1014.4    119.81     9.10     9.10
NORILSK    061213 300  050000-050500   00     119.74 1014.4    118.81     8.20     8.20
NORILSK    061213 300  050500-051000   00     120.01 1014.3    119.06     8.40     8.40
NORILSK    061213 300  051000-051500   00     120.45 1014.3    119.49     8.80     8.80
NORILSK    061213 300  051500-052000   00     118.28 1014.3    117.32     6.80     6.80
NORILSK    061213 300  052000-052500   00     118.22 1014.3    117.25     6.70     6.70
NORILSK    061213 300  052500-053000   00     118.68 1014.3    117.70     7.20     7.20
NORILSK    061213 300  053000-053500   00     117.82 1014.3    116.83     6.40     6.40
NORILSK    061213 300  053500-054000   00     118.03 1014.2    117.02     6.50     6.50
NORILSK    061213 300  054000-054500   00     116.94 1014.2    115.93     5.50     5.50
NORILSK    061213 300  054500-055000   00     119.28 1014.2    118.24     7.60     7.60
NORILSK    061213 300  055000-055500   00     114.56 1014.2    113.54     3.40     3.40
NORILSK    061213 300  055500-060000   00     116.91 1014.2    115.86     5.50     5.50
NORILSK    061213 300  060000-060500   00     116.62 1014.2    115.56     5.20     5.20
NORILSK    061213 300  060500-061000   00     117.07 1014.2    116.01     5.60     5.60
NORILSK    061213 300  061000-061500   00     115.74 1014.2    114.70     4.40     4.40
NORILSK    061213 300  061500-062000   00     115.09 1014.2    114.05     3.80     3.80
NORILSK    061213 300  062000-062500   00     117.11 1014.2    116.05     5.70     5.70
NORILSK    061213 300  062500-063000   00     114.49 1014.2    113.45     3.30     3.30
NORILSK    061213 300  063000-063500   00     115.44 1014.2    114.39     4.10     4.10
NORILSK    061213 300  063500-064000   00     113.62 1014.2    112.59     2.50     2.50
NORILSK    061213 300  064000-064500   00     115.01 1014.2    113.96     3.70     3.70
NORILSK    061213 300  064500-065000   00     115.50 1014.2    114.45     4.20     4.20
NORILSK    061213 300  065000-065500   00     115.39 1014.2    114.34     4.10     4.10
NORILSK    061213 300  065500-070000   00     116.99 1014.2    115.92     5.50     5.50
NORILSK    061213 300  070000-070500   00     114.90 1014.2    113.85     3.60     3.60
NORILSK    061213 300  070500-071000   00     115.46 1014.2    114.40     4.10     4.10
NORILSK    061213 300  071000-071500   00     114.80 1014.2    113.75     3.60     3.60
NORILSK    061213 300  071500-072000   00     115.89 1014.2    114.84     4.50     4.50
NORILSK    061213 300  072000-072500   00     115.76 1014.2    114.70     4.40     4.40
NORILSK    061213 300  072500-073000   00     113.71 1014.2    112.68     2.60     2.60
NORILSK    061213 300  073000-073500   00     117.38 1014.2    116.31     5.90     5.90
NORILSK    061213 300  073500-074000   00     115.32 1014.2    114.27     4.00     4.00
NORILSK    061213 300  074000-074500   00     113.48 1014.2    112.44     2.40     2.40
NORILSK    061213 300  074500-075000   00     115.32 1014.2    114.27     4.00     4.00
NORILSK    061213 300  075000-075500   00     114.18 1014.2    113.14     3.00     3.00
NORILSK    061213 300  075500-080000   00     113.06 1014.2    112.03     2.00     2.00
NORILSK    061213 3600 080000-090000   00     113.53 1014.0    112.33     2.30     2.30
NORILSK    061213 3600 090000-100000   00     112.94 1013.7    111.56     1.60     1.60
NORILSK    061213 3600 100000-110000   00     112.48 1013.3    110.80     0.90     0.90
NORILSK    061213 3600 110000-120000   00     113.26 1012.8    111.11     1.20     1.20
NORILSK    061213 3600 120000-130000   00     113.38 1012.2    110.81     0.90     0.90
NORILSK    061213 3600 130000-140000   00     114.01 1011.6    110.94     1.00     1.00
NORILSK    061213 3600 140000-150000   00     113.95 1010.9    110.34     0.50     0.50
NORILSK    061213 3600 150000-160000   00     114.65 1010.0    110.26     0.40     0.40
NORILSK    061213 3600 160000-170000   00     113.99 1009.5    109.28    -0.50    -9999
NORILSK    061213 3600 170000-180000   00     114.91 1008.9    109.68    -0.10    -9999
NORILSK    061213 3600 180000-190000   00     115.08 1008.7    109.71    -0.10    -9999
NORILSK    061213 3600 190000-200000   00     114.68 1008.7    109.27    -0.50    -9999
NORILSK    061213 3600 200000-210000   00     115.23 1008.3    109.50    -0.30    -9999
NORILSK    061213 3600 210000-220000   00     114.99 1007.7    108.87    -0.90    -9999
NORILSK    061213 3600 220000-230000   00     116.26 1006.8    109.33    -0.50    -9999
NORILSK    061213 3600 230000-240000   00     115.45 1006.9    108.64    -1.10    -9999
*
Comment: The Clock of Regisrator is fast on +8 sec;
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070NRLK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
