NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    163 M
NOVOSIBIRS INSTRUMENT   24-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    993.3   mb     COEFFICIENT   -0.718    % / mb
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE    173.57      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NOVOSIBIRS 061212 3600 000000-010000   00     168.84  995.7    171.77    -1.00    -9999
NOVOSIBIRS 061212 3600 010000-020000   00     168.81  995.5    171.49    -1.20    -9999
NOVOSIBIRS 061212 3600 020000-030000   00     169.58  995.4    172.16    -0.80    -9999
NOVOSIBIRS 061212 3600 030000-040000   00     169.55  995.2    171.88    -1.00    -9999
NOVOSIBIRS 061212 3600 040000-050000   00     170.08  995.0    172.17    -0.80    -9999
NOVOSIBIRS 061212 3600 050000-060000   00     170.78  994.9    172.75    -0.50    -9999
NOVOSIBIRS 061212 3600 060000-070000   00     172.83  994.5    174.32     0.40    -9999
NOVOSIBIRS 061212 3600 070000-080000   00     172.42  994.1    173.41    -0.10    -9999
NOVOSIBIRS 061212 3600 080000-090000   00     172.61  993.9    173.36    -0.10    -9999
NOVOSIBIRS 061212 3600 090000-100000   00     172.54  993.7    173.04    -0.30    -9999
NOVOSIBIRS 061212 3600 100000-110000   00     173.35  993.3    173.35    -0.10    -9999
NOVOSIBIRS 061212 3600 110000-120000   00     174.24  992.9    173.74     0.10    -9999
NOVOSIBIRS 061212 3600 120000-130000   00     173.33  992.5    172.34    -0.70    -9999
NOVOSIBIRS 061212 3600 130000-140000   00     174.04  992.3    172.79    -0.40    -9999
NOVOSIBIRS 061212 3600 140000-150000   00     174.32  992.1    172.83    -0.40    -9999
NOVOSIBIRS 061212 3600 150000-160000   00     174.16  992.0    172.54    -0.60    -9999
NOVOSIBIRS 061212 3600 160000-170000   00     173.66  992.0    172.04    -0.90    -9999
NOVOSIBIRS 061212 3600 170000-180000   00     173.53  992.1    172.04    -0.90    -9999
NOVOSIBIRS 061212 3600 180000-190000   00     175.37  992.0    173.74     0.10    -9999
NOVOSIBIRS 061212 3600 190000-200000   00     174.73  991.8    172.86    -0.40    -9999
NOVOSIBIRS 061212 3600 200000-210000   00     175.07  991.9    173.31    -0.10    -9999
NOVOSIBIRS 061212 3600 210000-220000   00     175.73  992.1    174.22     0.40    -9999
NOVOSIBIRS 061212 3600 220000-230000   00     175.21  992.3    173.96     0.20    -9999
NOVOSIBIRS 061212 3600 230000-240000   00     173.65  992.5    172.65    -0.50    -9999
NOVOSIBIRS 061213 3600 000000-010000   00     173.05  993.0    172.68    -0.50    -9999
NOVOSIBIRS 061213 300  010000-010500   00     174.28  993.3    174.30     0.40    -9999
NOVOSIBIRS 061213 300  010500-011000   00     174.31  993.3    174.37     0.50    -9999
NOVOSIBIRS 061213 300  011000-011500   00     172.65  993.4    172.75    -0.50    -9999
NOVOSIBIRS 061213 300  011500-012000   00     171.28  993.4    171.42    -1.20    -9999
NOVOSIBIRS 061213 300  012000-012500   00     172.24  993.4    172.42    -0.70    -9999
NOVOSIBIRS 061213 300  012500-013000   00     171.22  993.5    171.45    -1.20    -9999
NOVOSIBIRS 061213 300  013000-013500   00     173.12  993.5    173.38    -0.10    -9999
NOVOSIBIRS 061213 300  013500-014000   00     175.09  993.5    175.40     1.10    -9999
NOVOSIBIRS 061213 300  014000-014500   00     175.56  993.6    175.91     1.40    -9999
NOVOSIBIRS 061213 300  014500-015000   00     174.08  993.6    174.48     0.50    -9999
NOVOSIBIRS 061213 300  015000-015500   00     172.66  993.6    173.09    -0.30    -9999
