ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009.25 MB     COEFFICIENT   -0.698    % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    150.78      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       061212 3600 000000-010000   10     134.96 1024.5    150.15    -0.40    -9999
ROME       061212 3600 010000-020000   10     134.43 1024.7    149.76    -0.70    -9999
ROME       061212 3600 020000-030000   10     135.51 1024.5    150.69    -0.10    -9999
ROME       061212 3600 030000-040000   10     135.59 1024.2    150.49    -0.20    -9999
ROME       061212 3600 040000-050000   10     135.48 1024.3    150.47    -0.20    -9999
ROME       061212 3600 050000-060000   10     135.64 1024.5    150.86     0.10    -9999
ROME       061212 3600 060000-070000   10     135.69 1024.7    151.16     0.30    -9999
ROME       061212 3600 070000-080000   10     135.71 1024.8    151.30     0.30    -9999
ROME       061212 3600 080000-090000   10     135.62 1025.3    151.65     0.60    -9999
ROME       061212 3600 090000-100000   10     135.57 1025.4    151.73     0.60    -9999
ROME       061212 3600 100000-110000   10     136.24 1024.8    151.89     0.70    -9999
ROME       061212 3600 110000-120000   10     136.57 1024.6    151.94     0.80    -9999
ROME       061212 3600 120000-130000   10     137.37 1023.9    152.12     0.90    -9999
ROME       061212 3600 130000-140000   10     137.93 1023.3    152.10     0.90    -9999
ROME       061212 3600 140000-150000   10     138.01 1022.9    151.76     0.70    -9999
ROME       061212 3600 150000-160000   10     137.69 1022.8    151.36     0.40    -9999
ROME       061212 3600 160000-170000   10     137.61 1022.9    151.38     0.40    -9999
ROME       061212 3600 170000-180000   10     136.88 1023.2    150.83     0.00    -9999
ROME       061212 3600 180000-190000   10     136.42 1023.4    150.61    -0.10    -9999
ROME       061212 3600 190000-200000   10     135.94 1023.9    150.62    -0.10    -9999
ROME       061212 3600 200000-210000   10     135.86 1024.2    150.78     0.00    -9999
