MOSC 23nmF LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSC 23nmF INSTRUMENT   2x23nmF    NEUTRON MONITOR (He3 counter,without Lead)
MOSC 23nmF STANDARD PRESSURE    999.3   mb     COEFFICIENT   -0.71     % / mb
MOSC 23nmF PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MOSC 23nmF PRE-INCREASE AVERAGE COUNTING RATE     13.45      COUNTS PER SECOND
MOSC 23nmF TIME INTERVALS    300         3600     
MOSC 23nmF SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSC 23nmF 061212 3600 000000-010000   00      13.12 1000.8     13.26    -1.38    -9999
MOSC 23nmF 061212 3600 010000-020000   00      13.25 1000.5     13.38    -0.55    -9999
MOSC 23nmF 061212 3600 020000-030000   00      13.14 1000.6     13.26    -1.42    -9999
MOSC 23nmF 061212 3600 030000-040000   00      13.11 1000.7     13.25    -1.52    -9999
MOSC 23nmF 061212 3600 040000-050000   00      13.23 1000.8     13.38    -0.53    -9999
MOSC 23nmF 061212 3600 050000-060000   00      13.21 1000.9     13.36    -0.64    -9999
MOSC 23nmF 061212 3600 060000-070000   00      13.28 1001.2     13.46     0.07    -9999
MOSC 23nmF 061212 3600 070000-080000   00      13.16 1001.3     13.35    -0.74    -9999
MOSC 23nmF 061212 3600 080000-090000   00      13.15 1001.2     13.33    -0.87    -9999
MOSC 23nmF 061212 3600 090000-100000   00      13.29 1001.0     13.45     0.00    -9999
MOSC 23nmF 061212 3600 100000-110000   00      13.23 1000.7     13.36    -0.65    -9999
MOSC 23nmF 061212 3600 110000-120000   00      13.36 1000.4     13.47     0.15    -9999
MOSC 23nmF 061212 3600 120000-130000   00      13.35 1000.3     13.45     0.00    -9999
MOSC 23nmF 061212 3600 130000-140000   00      13.45 1000.3     13.55     0.74    -9999
MOSC 23nmF 061212 3600 140000-150000   00      13.32 1000.3     13.42    -0.23    -9999
MOSC 23nmF 061212 3600 150000-160000   00      13.36 1000.1     13.44    -0.06    -9999
MOSC 23nmF 061212 3600 160000-170000   00      13.31 1000.1     13.38    -0.49    -9999
MOSC 23nmF 061212 3600 170000-180000   00      13.32 1000.0     13.39    -0.42    -9999
MOSC 23nmF 061212 3600 180000-190000   00      13.19 1000.0     13.26    -1.43    -9999
MOSC 23nmF 061212 3600 190000-200000   00      13.31 1000.2     13.39    -0.43    -9999
MOSC 23nmF 061212 3600 200000-210000   00      13.29 1000.4     13.40    -0.39    -9999
MOSC 23nmF 061212 3600 210000-220000   00      13.30 1000.2     13.39    -0.45    -9999
MOSC 23nmF 061212 3600 220000-230000   00      13.40  999.8     13.45     0.03    -9999
MOSC 23nmF 061212 3600 230000-240000   00      13.40  999.7     13.45    -0.02    -9999
MOSC 23nmF 061213 3600 000000-010000   00      13.57  999.6     13.60     1.09    -9999
MOSC 23nmF 061213 300  010000-010500   00      13.33  999.2     13.33    -0.91    -9999
MOSC 23nmF 061213 300  010500-011000   00      13.52  999.2     13.52     0.49    -9999
MOSC 23nmF 061213 300  011000-011500   00      13.62  999.2     13.62     1.24    -9999
MOSC 23nmF 061213 300  011500-012000   00      13.40  999.2     13.39    -0.47    -9999
MOSC 23nmF 061213 300  012000-012500   00      13.45  999.1     13.43    -0.12    -9999
MOSC 23nmF 061213 300  012500-013000   00      13.29  999.1     13.27    -1.32    -9999
MOSC 23nmF 061213 300  013000-013500   00      12.98  999.1     12.97    -3.60    -9999
MOSC 23nmF 061213 300  013500-014000   00      13.82  999.0     13.80     2.60    -9999
MOSC 23nmF 061213 300  014000-014500   00      13.35  999.0     13.33    -0.89    -9999
MOSC 23nmF 061213 300  014500-015000   00      13.50  999.0     13.48     0.18    -9999
MOSC 23nmF 061213 300  015000-015500   00      13.72  999.0     13.69     1.77    -9999
MOSC 23nmF 061213 300  015500-020000   00      13.43  998.9     13.40    -0.35    -9999
MOSC 23nmF 061213 300  020000-020500   00      13.59  998.9     13.55     0.77    -9999
MOSC 23nmF 061213 300  020500-021000   00      13.92  998.9     13.88     3.18    -9999
MOSC 23nmF 061213 300  021000-021500   00      13.51  998.9     13.47     0.18    -9999
MOSC 23nmF 061213 300  021500-022000   00      13.18  998.9     13.15    -2.25    -9999
MOSC 23nmF 061213 300  022000-022500   00      13.56  998.9     13.52     0.55    -9999
MOSC 23nmF 061213 300  022500-023000   00      13.70  998.8     13.66     1.55    -9999
MOSC 23nmF 061213 300  023000-023500   00      13.07  998.8     13.03    -3.10    -9999
MOSC 23nmF 061213 300  023500-024000   00      13.64  998.8     13.59     1.07    -9999
MOSC 23nmF 061213 300  024000-024500   00      13.36  998.8     13.31    -1.00    -9999
MOSC 23nmF 061213 300  024500-025000   00      13.82  998.8     13.77     2.40    -9999
MOSC 23nmF 061213 300  025000-025500   00      14.34  998.8     14.29     6.27    -9999
MOSC 23nmF 061213 300  025500-030000   00      16.42  998.7     16.36    21.61    -9999
MOSC 23nmF 061213 300  030000-030500   00      17.16  998.7     17.10    27.08    -9999
MOSC 23nmF 061213 300  030500-031000   00      16.43  998.7     16.37    21.68    -9999
MOSC 23nmF 061213 300  031000-031500   00      15.92  998.7     15.86    17.91    -9999
MOSC 23nmF 061213 300  031500-032000   00      15.44  998.7     15.38    14.32    -9999
MOSC 23nmF 061213 300  032000-032500   00      15.39  998.7     15.33    13.93    -9999
