SANAE      LATITUDE    -71.67    LONGITUDE     357.15    ALTITUDE    856 M
SANAE      INSTRUMENT   4-NMD  NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   1.01      % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE      8.54      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      061212 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 150000-160000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 210000-220000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 220000-230000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061212 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      061213 300  000000-000500   00       8.09  663.3      8.37    -2.00    -9999
SANAE      061213 300  000500-001000   00       8.22  663.3      8.50    -0.60    -9999
SANAE      061213 300  001000-001500   00       8.24  663.3      8.52    -0.30    -9999
SANAE      061213 300  001500-002000   00       8.34  663.2      8.61     0.80    -9999
SANAE      061213 300  002000-002500   00       8.24  663.2      8.51    -0.40    -9999
SANAE      061213 300  002500-003000   00       8.13  663.2      8.40    -1.70    -9999
SANAE      061213 300  003000-003500   00       8.09  663.2      8.36    -2.20    -9999
SANAE      061213 300  003500-004000   00       8.04  663.2      8.31    -2.80    -9999
SANAE      061213 300  004000-004500   00       8.36  663.2      8.64     1.10    -9999
SANAE      061213 300  004500-005000   00       8.41  663.2      8.69     1.70    -9999
SANAE      061213 300  005000-005500   00       8.42  663.3      8.71     1.90    -9999
SANAE      061213 300  005500-010000   00       8.22  663.3      8.51    -0.50    -9999
SANAE      061213 300  010000-010500   00       8.44  663.3      8.73     2.10    -9999
SANAE      061213 300  010500-011000   00       8.35  663.3      8.64     1.10    -9999
SANAE      061213 300  011000-011500   00       8.32  663.3      8.60     0.70    -9999
SANAE      061213 300  011500-012000   00       8.13  663.3      8.40    -1.70    -9999
SANAE      061213 300  012000-012500   00       8.22  663.3      8.50    -0.50    -9999
SANAE      061213 300  012500-013000   00       8.35  663.2      8.63     1.00    -9999
SANAE      061213 300  013000-013500   00       7.95  663.2      8.20    -4.00    -9999
SANAE      061213 300  013500-014000   00       8.36  663.2      8.63     1.00    -9999
SANAE      061213 300  014000-014500   00       8.75  663.2      9.04     5.80    -9999
SANAE      061213 300  014500-015000   00       8.23  663.1      8.49    -0.60    -9999
SANAE      061213 300  015000-015500   00       8.29  663.1      8.55     0.10    -9999
SANAE      061213 300  015500-020000   00       7.86  663.1      8.11    -5.10    -9999
SANAE      061213 300  020000-020500   00       8.41  663.1      8.67     1.50     1.50
SANAE      061213 300  020500-021000   00       8.45  663.1      8.72     2.10     2.10
SANAE      061213 300  021000-021500   00       8.32  663.1      8.58     0.50     0.50
SANAE      061213 300  021500-022000   00       8.44  663.1      8.70     1.90     1.90
SANAE      061213 300  022000-022500   00       8.12  663.0      8.37    -2.00    -2.00
SANAE      061213 300  022500-023000   00       8.11  663.0      8.36    -2.20    -2.20
SANAE      061213 300  023000-023500   00       8.37  663.0      8.63     1.00     1.00
SANAE      061213 300  023500-024000   00       8.31  663.0      8.57     0.30     0.30
SANAE      061213 300  024000-024500   00       8.35  663.0      8.61     0.80     0.80
SANAE      061213 300  024500-025000   00       8.61  663.0      8.87     3.90     3.90
SANAE      061213 300  025000-025500   00       8.27  663.0      8.53    -0.20    -0.20
SANAE      061213 300  025500-030000   00       8.65  663.0      8.92     4.40     4.40
SANAE      061213 300  030000-030500   00       8.85  663.0      9.12     6.70     6.70
SANAE      061213 300  030500-031000   00       9.43  663.0      9.73    13.80    13.80
SANAE      061213 300  031000-031500   00      10.11  663.0     10.42    22.00    22.00
SANAE      061213 300  031500-032000   00      10.72  663.0     11.05    29.30    29.30
SANAE      061213 300  032000-032500   00      11.28  663.0     11.63    36.10    36.10
SANAE      061213 300  032500-033000   00      12.01  663.0     12.38    44.90    44.90
SANAE      061213 300  033000-033500   00      12.31  663.0     12.69    48.50    48.50
SANAE      061213 300  033500-034000   00      12.01  663.0     12.38    44.90    44.90
SANAE      061213 300  034000-034500   00      11.44  663.0     11.79    38.10    38.10
SANAE      061213 300  034500-035000   00      11.52  663.1     11.88    39.00    39.00
SANAE      061213 300  035000-035500   00      11.39  663.1     11.74    37.40    37.40
SANAE      061213 300  035500-040000   00      11.62  663.1     11.99    40.40    40.40
SANAE      061213 300  040000-040500   00      11.57  663.1     11.93    39.70    39.70
SANAE      061213 300  040500-041000   00      11.20  663.1     11.55    35.30    35.30
SANAE      061213 300  041000-041500   00      10.94  663.1     11.29    32.10    32.10
SANAE      061213 300  041500-042000   00      10.58  663.2     10.92    27.80    27.80
SANAE      061213 300  042000-042500   00      11.08  663.2     11.45    34.00    34.00
SANAE      061213 300  042500-043000   00      10.76  663.2     11.11    30.10    30.10
SANAE      061213 300  043000-043500   00      10.37  663.2     10.72    25.40    25.40
SANAE      061213 300  043500-044000   00      10.66  663.3     11.03    29.00    29.00
SANAE      061213 300  044000-044500   00      10.70  663.3     11.06    29.50    29.50
SANAE      061213 300  044500-045000   00      10.17  663.3     10.52    23.10    23.10
SANAE      061213 300  045000-045500   00       9.88  663.3     10.22    19.60    19.60
SANAE      061213 300  045500-050000   00       9.95  663.3     10.29    20.40    20.40
SANAE      061213 300  050000-050500   00       9.80  663.3     10.13    18.60    18.60
SANAE      061213 300  050500-051000   00       9.51  663.3      9.83    15.10    15.10
SANAE      061213 300  051000-051500   00       9.60  663.3      9.93    16.20    16.20
SANAE      061213 300  051500-052000   00       9.66  663.3      9.99    16.90    16.90
SANAE      061213 300  052000-052500   00       9.29  663.3      9.60    12.40    12.40
SANAE      061213 300  052500-053000   00       9.39  663.3      9.71    13.70    13.70
SANAE      061213 300  053000-053500   00       9.20  663.3      9.51    11.30    11.30
SANAE      061213 300  053500-054000   00       9.54  663.3      9.86    15.40    15.40
SANAE      061213 300  054000-054500   00       9.61  663.3      9.93    16.20    16.20
SANAE      061213 300  054500-055000   00       9.11  663.3      9.42    10.20    10.20
SANAE      061213 300  055000-055500   00       9.33  663.3      9.65    12.90    12.90
SANAE      061213 300  055500-060000   00       9.09  663.3      9.39    10.00    10.00
SANAE      061213 300  060000-060500   00       9.13  663.3      9.44    10.50    10.50
SANAE      061213 300  060500-061000   00       8.97  663.3      9.28     8.50     8.50
SANAE      061213 300  061000-061500   00       9.14  663.3      9.44    10.50    10.50
SANAE      061213 300  061500-062000   00       8.97  663.3      9.28     8.60     8.60
SANAE      061213 300  062000-062500   00       8.67  663.3      8.97     5.00     5.00
