OLC        LATITUDE    -33.49    LONGITUDE     289.28    ALTITUDE    570 M
OLC        INSTRUMENT   6-NM-64  NEUTRON MONITOR
OLC        STANDARD PRESSURE    954.04  mb     COEFFICIENT   -0.74     % / mb
OLC        PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
OLC        PRE-INCREASE AVERAGE COUNTING RATE     65.00      COUNTS PER SECOND
OLC        TIME INTERVALS    300         3600     
OLC        SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
OLC        061212 3600 000000-010000   00      63.94  956.6     65.17     0.30    -9999
OLC        061212 3600 010000-020000   00      63.69  956.7     64.97     0.00    -9999
OLC        061212 3600 020000-030000   00      63.53  957.1     64.99     0.00    -9999
OLC        061212 3600 030000-040000   00      63.81  957.0     65.25     0.40    -9999
OLC        061212 3600 040000-050000   00      63.73  956.7     65.00     0.00    -9999
OLC        061212 3600 050000-060000   00      63.60  956.4     64.72    -0.40    -9999
OLC        061212 3600 060000-070000   00      64.13  956.0     65.08     0.10    -9999
OLC        061212 3600 070000-080000   00      64.31  955.7     65.11     0.20    -9999
OLC        061212 3600 080000-090000   00      64.35  955.8     65.19     0.30    -9999
OLC        061212 3600 090000-100000   00      64.08  956.1     65.04     0.10    -9999
OLC        061212 3600 100000-110000   00      63.78  956.3     64.84    -0.20    -9999
OLC        061212 3600 110000-120000   00      64.34  956.3     65.41     0.60    -9999
OLC        061212 3600 120000-130000   00      64.04  956.1     65.01     0.00    -9999
OLC        061212 3600 130000-140000   00      64.45  955.8     65.29     0.40    -9999
OLC        061212 3600 140000-150000   00      64.63  955.4     65.27     0.40    -9999
OLC        061212 3600 150000-160000   00      64.75  955.2     65.30     0.50    -9999
OLC        061212 3600 160000-170000   00      65.28  954.9     65.70     1.10    -9999
OLC        061212 3600 170000-180000   00      65.60  954.5     65.83     1.30    -9999
OLC        061212 3600 180000-190000   00      64.90  954.4     65.06     0.10    -9999
OLC        061212 3600 190000-200000   00      65.50  954.5     65.71     1.10    -9999
OLC        061212 3600 200000-210000   00      64.90  954.7     65.22     0.30    -9999
OLC        061212 3600 210000-220000   00      65.16  954.9     65.58     0.90    -9999
OLC        061212 3600 220000-230000   00      64.37  955.7     65.16     0.20    -9999
OLC        061212 3600 230000-240000   00      64.26  956.6     65.49     0.70    -9999
OLC        061213 3600 000000-010000   00      63.61  957.4     65.19     0.30    -9999
OLC        061213 300  010000-010500   00      64.20  957.7     65.94     1.40    -9999
OLC        061213 300  010500-011000   00      63.34  957.7     65.07     0.10    -9999
OLC        061213 300  011000-011500   00      63.33  957.7     65.05     0.10    -9999
