TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    740     MMHG   COEFFICIENT   -0.99     % / MMHG
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    114.51      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300      
TERREADELI SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
TERREADELI 061212 300  000000-000500   10     120.33  733.8    113.07    -1.30    -9999
TERREADELI 061212 300  000500-001000   10     121.27  733.7    113.87    -0.60    -9999
TERREADELI 061212 300  001000-001500   10     120.40  733.7    113.00    -1.30    -9999
TERREADELI 061212 300  001500-002000   10     121.13  733.7    113.73    -0.70    -9999
TERREADELI 061212 300  002000-002500   10     121.13  733.7    113.73    -0.70    -9999
TERREADELI 061212 300  002500-003000   10     120.87  733.7    113.47    -0.90    -9999
TERREADELI 061212 300  003000-003500   10     122.20  733.7    114.73     0.20    -9999
TERREADELI 061212 300  003500-004000   10     121.73  733.6    114.20    -0.30    -9999
TERREADELI 061212 300  004000-004500   10     121.73  733.5    114.07    -0.40    -9999
TERREADELI 061212 300  004500-005000   10     122.27  733.5    114.53     0.00    -9999
TERREADELI 061212 300  005000-005500   10     121.87  733.5    114.20    -0.30    -9999
TERREADELI 061212 300  005500-010000   10     119.73  733.5    112.13    -2.10    -9999
TERREADELI 061212 300  010000-010500   10     121.40  733.5    113.67    -0.70    -9999
TERREADELI 061212 300  010500-011000   10     122.27  733.5    114.53     0.00    -9999
TERREADELI 061212 300  011000-011500   10     121.53  733.5    113.93    -0.50    -9999
TERREADELI 061212 300  011500-012000   10     122.60  733.5    114.87     0.30    -9999
TERREADELI 061212 300  012000-012500   10     123.40  733.5    115.60     1.00    -9999
TERREADELI 061212 300  012500-013000   10     119.33  733.5    111.80    -2.40    -9999
TERREADELI 061212 300  013000-013500   10     123.07  733.5    115.33     0.70    -9999
TERREADELI 061212 300  013500-014000   10     120.47  733.5    112.87    -1.40    -9999
TERREADELI 061212 300  014000-014500   10     121.13  733.5    113.47    -0.90    -9999
TERREADELI 061212 300  014500-015000   10     120.60  733.5    113.00    -1.30    -9999
TERREADELI 061212 300  015000-015500   10     121.33  733.6    113.80    -0.60    -9999
TERREADELI 061212 300  015500-020000   10     121.80  733.5    114.07    -0.40    -9999
