THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   mb     COEFFICIENT   -0.743    % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    221.82      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      061212 3600 000000-010000   00    -999.00 -999.0    219.93    -0.90    -9999
THULE      061212 3600 010000-020000   00    -999.00 -999.0    220.03    -0.80    -9999
THULE      061212 3600 020000-030000   00    -999.00 -999.0    219.83    -0.90    -9999
THULE      061212 3600 030000-040000   00    -999.00 -999.0    220.81    -0.50    -9999
THULE      061212 3600 040000-050000   00    -999.00 -999.0    220.60    -0.50    -9999
THULE      061212 3600 050000-060000   00    -999.00 -999.0    220.60    -0.50    -9999
THULE      061212 3600 060000-070000   00    -999.00 -999.0    221.27    -0.20    -9999
THULE      061212 3600 070000-080000   00    -999.00 -999.0    220.29    -0.70    -9999
THULE      061212 3600 080000-090000   00    -999.00 -999.0    220.65    -0.50    -9999
THULE      061212 3600 090000-100000   00    -999.00 -999.0    221.11    -0.30    -9999
THULE      061212 3600 100000-110000   00    -999.00 -999.0    220.96    -0.40    -9999
THULE      061212 3600 110000-120000   00    -999.00 -999.0    220.75    -0.50    -9999
THULE      061212 3600 120000-130000   00    -999.00 -999.0    220.81    -0.50    -9999
THULE      061212 3600 130000-140000   00    -999.00 -999.0    221.83     0.00    -9999
THULE      061212 3600 140000-150000   00    -999.00 -999.0    222.40     0.30    -9999
THULE      061212 3600 150000-160000   00    -999.00 -999.0    222.55     0.30    -9999
THULE      061212 3600 160000-170000   00    -999.00 -999.0    222.81     0.40    -9999
THULE      061212 3600 170000-180000   00    -999.00 -999.0    222.97     0.50    -9999
THULE      061212 3600 180000-190000   00    -999.00 -999.0    222.04     0.10    -9999
THULE      061212 3600 190000-200000   00    -999.00 -999.0    223.07     0.60    -9999
THULE      061212 3600 200000-210000   00    -999.00 -999.0    222.76     0.40    -9999
THULE      061212 3600 210000-220000   00    -999.00 -999.0    222.71     0.40    -9999
THULE      061212 3600 220000-230000   00    -999.00 -999.0    222.71     0.40    -9999
THULE      061212 3600 230000-240000   00    -999.00 -999.0    222.35     0.20    -9999
THULE      061213 3600 000000-010000   00     221.40  996.9    222.22     0.18    -9999
THULE      061213 300  010000-010500   00     221.68  996.4    221.69    -0.06    -9999
THULE      061213 300  010500-011000   00     221.02  996.4    221.04    -0.35    -9999
