TSUMEB     LATITUDE    -19.2     LONGITUDE     17.6      ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18NM64    NEUTRON MONITOR     
TSUMEB     STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.935     % / MMHG
TSUMEB     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
TSUMEB     PRE-INCREASE AVERAGE COUNTING RATE    348.81      COUNTS PER SECOND
TSUMEB     TIME INTERVALS    300         3600     
TSUMEB     SCALE FACTORS     1.066       1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
TSUMEB     061212 3600 000000-010000   00    -999.00 -999.0    348.07    -0.20    -9999
TSUMEB     061212 3600 010000-020000   00    -999.00 -999.0    348.30    -0.10    -9999
TSUMEB     061212 3600 020000-030000   00    -999.00 -999.0    348.27    -0.20    -9999
TSUMEB     061212 3600 030000-040000   00    -999.00 -999.0    348.75     0.00    -9999
TSUMEB     061212 3600 040000-050000   00    -999.00 -999.0    347.77    -0.30    -9999
TSUMEB     061212 3600 050000-060000   00    -999.00 -999.0    348.57    -0.10    -9999
TSUMEB     061212 3600 060000-070000   00    -999.00 -999.0    348.66     0.00    -9999
TSUMEB     061212 3600 070000-080000   00    -999.00 -999.0    347.89    -0.30    -9999
TSUMEB     061212 3600 080000-090000   00    -999.00 -999.0    349.22     0.10    -9999
TSUMEB     061212 3600 090000-100000   00    -999.00 -999.0    350.61     0.50    -9999
TSUMEB     061212 3600 100000-110000   00    -999.00 -999.0    351.71     0.80    -9999
TSUMEB     061212 3600 110000-120000   00    -999.00 -999.0    351.65     0.80    -9999
TSUMEB     061212 3600 120000-130000   00    -999.00 -999.0    351.68     0.80    -9999
TSUMEB     061212 3600 130000-140000   00    -999.00 -999.0    351.68     0.80    -9999
TSUMEB     061212 3600 140000-150000   00    -999.00 -999.0    350.85     0.60    -9999
TSUMEB     061212 3600 150000-160000   00    -999.00 -999.0    349.69     0.30    -9999
TSUMEB     061212 3600 160000-170000   00    -999.00 -999.0    349.16     0.10    -9999
TSUMEB     061212 3600 170000-180000   00    -999.00 -999.0    349.19     0.10    -9999
TSUMEB     061212 3600 180000-190000   00    -999.00 -999.0    349.19     0.10    -9999
TSUMEB     061212 3600 190000-200000   00    -999.00 -999.0    348.48    -0.10    -9999
TSUMEB     061212 3600 200000-210000   00    -999.00 -999.0    347.68    -0.30    -9999
TSUMEB     061212 3600 210000-220000   00    -999.00 -999.0    348.72     0.00    -9999
TSUMEB     061212 3600 220000-230000   00    -999.00 -999.0    349.64     0.20    -9999
TSUMEB     061212 3600 230000-240000   00    -999.00 -999.0    349.01     0.10    -9999
TSUMEB     061213 300  000000-000500   00     351.77  658.9    348.17    -0.20    -9999
TSUMEB     061213 300  000500-001000   00     352.99  658.9    349.38     0.10    -9999
TSUMEB     061213 300  001000-001500   00     353.36  658.9    349.74     0.30    -9999
TSUMEB     061213 300  001500-002000   00     351.09  658.9    347.49    -0.40    -9999
TSUMEB     061213 300  002000-002500   00     354.84  658.9    351.21     0.70    -9999
TSUMEB     061213 300  002500-003000   00     355.86  658.9    352.35     1.00    -9999
TSUMEB     061213 300  003000-003500   00     351.60  659.0    348.33    -0.10    -9999
TSUMEB     061213 300  003500-004000   00     351.83  659.0    348.56    -0.10    -9999
TSUMEB     061213 300  004000-004500   00     351.32  659.0    348.05    -0.20    -9999
TSUMEB     061213 300  004500-005000   00     356.79  659.0    353.47     1.30    -9999
TSUMEB     061213 300  005000-005500   00     351.43  659.0    348.16    -0.20    -9999
TSUMEB     061213 300  005500-010000   00     353.87  659.0    350.58     0.50    -9999
TSUMEB     061213 300  010000-010500   00     351.65  659.0    348.38    -0.10    -9999
TSUMEB     061213 300  010500-011000   00     351.37  659.0    348.10    -0.20    -9999
TSUMEB     061213 300  011000-011500   00     353.01  659.1    349.93     0.30    -9999
TSUMEB     061213 300  011500-012000   00     351.02  659.1    348.08    -0.20    -9999
TSUMEB     061213 300  012000-012500   00     353.50  659.1    350.54     0.50    -9999
TSUMEB     061213 300  012500-013000   00     354.58  659.1    351.61     0.80    -9999
TSUMEB     061213 300  013000-013500   00     349.61  659.1    346.68    -0.60    -9999
TSUMEB     061213 300  013500-014000   00     349.90  659.1    346.97    -0.60    -9999
TSUMEB     061213 300  014000-014500   00     353.26  659.1    350.30     0.40    -9999
TSUMEB     061213 300  014500-015000   00     350.98  659.1    348.16    -0.20    -9999
TSUMEB     061213 300  015000-015500   00     350.27  659.1    347.34    -0.40    -9999
TSUMEB     061213 300  015500-020000   00     352.63  659.1    349.67     0.20    -9999
TSUMEB     061213 300  020000-020500   00     350.88  659.1    347.94    -0.20    -9999
TSUMEB     061213 300  020500-021000   00     355.43  659.1    352.46     1.10    -9999
TSUMEB     061213 300  021000-021500   00     353.78  659.1    350.69     0.50    -9999
TSUMEB     061213 300  021500-022000   00     355.72  659.0    352.41     1.10    -9999
TSUMEB     061213 300  022000-022500   00     353.47  659.0    350.18     0.40    -9999
TSUMEB     061213 300  022500-023000   00     352.40  659.0    349.13     0.10    -9999
TSUMEB     061213 300  023000-023500   00     352.63  659.0    349.35     0.20    -9999
TSUMEB     061213 300  023500-024000   00     352.05  659.0    348.78     0.00    -9999
TSUMEB     061213 300  024000-024500   00     354.91  659.0    351.68     0.80    -9999
TSUMEB     061213 300  024500-025000   00     356.53  659.1    353.55     1.40    -9999
TSUMEB     061213 300  025000-025500   00     354.38  659.1    351.41     0.70    -9999
TSUMEB     061213 300  025500-030000   00     355.48  659.2    352.76     1.10    -9999
TSUMEB     061213 300  030000-030500   00     348.36  659.2    345.76    -0.90    -9999
TSUMEB     061213 300  030500-031000   00     354.33  659.2    351.69     0.80    -9999
TSUMEB     061213 300  031000-031500   00     350.17  659.2    347.56    -0.40    -9999
TSUMEB     061213 300  031500-032000   00     353.07  659.3    350.64     0.50    -9999
TSUMEB     061213 300  032000-032500   00     352.06  659.3    349.77     0.30    -9999
TSUMEB     061213 300  032500-033000   00     353.50  659.3    351.19     0.70    -9999
TSUMEB     061213 300  033000-033500   00     346.94  659.3    344.68    -1.20    -9999
TSUMEB     061213 300  033500-034000   00     352.66  659.3    350.36     0.50    -9999
TSUMEB     061213 300  034000-034500   00     354.84  659.3    352.53     1.10    -9999
TSUMEB     061213 300  034500-035000   00     349.32  659.4    347.24    -0.40    -9999
TSUMEB     061213 300  035000-035500   00     350.86  659.4    348.89     0.00    -9999
TSUMEB     061213 300  035500-040000   00     353.10  659.4    351.13     0.70    -9999
TSUMEB     061213 300  040000-040500   00     347.96  659.5    346.34    -0.70    -9999
TSUMEB     061213 300  040500-041000   00     349.14  659.5    347.51    -0.40    -9999
TSUMEB     061213 300  041000-041500   00     353.73  659.5    352.08     0.90    -9999
TSUMEB     061213 300  041500-042000   00     352.16  659.5    350.51     0.50    -9999
TSUMEB     061213 300  042000-042500   00     353.61  659.6    352.22     1.00    -9999
TSUMEB     061213 300  042500-043000   00     352.57  659.6    351.26     0.70    -9999
TSUMEB     061213 300  043000-043500   00     349.35  659.7    348.24    -0.20    -9999
TSUMEB     061213 300  043500-044000   00     350.81  659.7    349.83     0.30    -9999
TSUMEB     061213 300  044000-044500   00     351.38  659.8    350.72     0.50    -9999
TSUMEB     061213 300  044500-045000   00     348.99  659.9    348.54    -0.10    -9999
TSUMEB     061213 300  045000-045500   00     350.64  659.9    350.31     0.50    -9999
TSUMEB     061213 300  045500-050000   00     350.30  659.9    350.03     0.40    -9999
