TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1015.8  mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE    771.37      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE BAY  061212 3600 000000-010000   00     678.61 1010.0    650.86    -9999    -9999
TIXIE BAY  061212 3600 010000-020000   00    -999.00 1010.5   -999.00    -9999    -9999
TIXIE BAY  061212 3600 020000-030000   00    -999.00 1010.9   -999.00    -9999    -9999
TIXIE BAY  061212 3600 030000-040000   00     648.55 1011.3    627.87    -9999    -9999
TIXIE BAY  061212 3600 040000-050000   00     788.30 1011.7    765.37    -0.80    -9999
TIXIE BAY  061212 3600 050000-060000   00     785.30 1012.4    766.31    -0.70    -9999
TIXIE BAY  061212 3600 060000-070000   00     787.40 1012.7    770.02    -0.20    -9999
TIXIE BAY  061212 3600 070000-080000   00     786.13 1013.2    771.55     0.00    -9999
TIXIE BAY  061212 3600 080000-090000   00     780.28 1013.7    768.58    -0.40    -9999
TIXIE BAY  061212 3600 090000-100000   00     773.65 1014.3    765.34    -0.80    -9999
TIXIE BAY  061212 3600 100000-110000   00     772.11 1014.6    765.46    -0.80    -9999
TIXIE BAY  061212 3600 110000-120000   00     772.71 1014.9    767.72    -0.50    -9999
TIXIE BAY  061212 3600 120000-130000   00     771.73 1014.6    765.09    -0.80    -9999
TIXIE BAY  061212 3600 130000-140000   00     771.98 1014.3    763.69    -1.00    -9999
TIXIE BAY  061212 3600 140000-150000   00    -999.00 1014.3   -999.00    -9999    -9999
TIXIE BAY  061212 3600 150000-160000   00     775.70 1014.3    767.37    -0.50    -9999
TIXIE BAY  061212 3600 160000-170000   00     770.54 1014.5    763.36    -1.00    -9999
TIXIE BAY  061212 3600 170000-180000   00     776.89 1014.7    770.76    -0.10    -9999
TIXIE BAY  061212 3600 180000-190000   00     774.19 1014.9    769.19    -0.30    -9999
TIXIE BAY  061212 3600 190000-200000   00     772.78 1015.0    768.34    -0.40    -9999
TIXIE BAY  061212 3600 200000-210000   00     774.58 1015.3    771.79     0.10    -9999
TIXIE BAY  061212 3600 210000-220000   00     771.61 1015.4    769.39    -0.30    -9999
TIXIE BAY  061212 3600 220000-230000   00     772.32 1015.7    771.76     0.10    -9999
TIXIE BAY  061212 3600 230000-240000   00     771.59 1015.8    771.59     0.00    -9999
TIXIE BAY  061213 3600 000000-010000   00    -999.00 1015.9   -999.00    -9999    -9999
TIXIE BAY  061213 300  010000-010500   00     765.65 1015.8    765.60    -0.70    -9999
TIXIE BAY  061213 300  010500-011000   00     768.85 1015.8    768.66    -0.40    -9999
TIXIE BAY  061213 300  011000-011500   00     764.37 1015.7    764.04    -1.00    -9999
TIXIE BAY  061213 300  011500-012000   00     767.36 1015.7    766.89    -0.60    -9999
TIXIE BAY  061213 300  012000-012500   00     766.72 1015.7    766.11    -0.70    -9999
TIXIE BAY  061213 300  012500-013000   00     764.37 1015.7    763.63    -1.00    -9999
TIXIE BAY  061213 300  013000-013500   00     780.80 1015.6    779.90     1.10    -9999
TIXIE BAY  061213 300  013500-014000   00     788.91 1015.6    787.86     2.10    -9999
TIXIE BAY  061213 300  014000-014500   00     771.20 1015.6    770.03    -0.20    -9999
TIXIE BAY  061213 300  014500-015000   00     780.37 1015.6    779.05     1.00    -9999
TIXIE BAY  061213 300  015000-015500   00     778.45 1015.5    777.00     0.70    -9999
TIXIE BAY  061213 300  015500-020000   00     769.28 1015.5    767.70    -0.50    -9999
TIXIE BAY  061213 300  020000-020500   00    -999.00 1015.5   -999.00    -9999    -9999
TIXIE BAY  061213 300  020500-021000   00    -999.00 1015.5   -999.00    -9999    -9999
TIXIE BAY  061213 300  021000-021500   00    -999.00 1015.5   -999.00    -9999    -9999
TIXIE BAY  061213 300  021500-022000   00    -999.00 1015.5   -999.00    -9999    -9999
TIXIE BAY  061213 300  022000-022500   00    -999.00 1015.5   -999.00    -9999    -9999
TIXIE BAY  061213 300  022500-023000   00    -999.00 1015.5   -999.00    -9999    -9999
TIXIE BAY  061213 300  023000-023500   00    -999.00 1015.6   -999.00    -9999    -9999
TIXIE BAY  061213 300  023500-024000   00     774.61 1015.6    773.29     0.20     0.20
TIXIE BAY  061213 300  024000-024500   00     756.91 1015.6    755.65    -2.00    -2.00
TIXIE BAY  061213 300  024500-025000   00     764.37 1015.6    763.16    -1.10    -1.10
TIXIE BAY  061213 300  025000-025500   00     783.15 1015.6    781.95     1.40     1.40
TIXIE BAY  061213 300  025500-030000   00     789.54 1015.6    788.38     2.20     2.20
TIXIE BAY  061213 300  030000-030500   00     845.87 1015.6    844.65     9.50     9.50
TIXIE BAY  061213 300  030500-031000   00     869.12 1015.6    867.87    12.50    12.50
TIXIE BAY  061213 300  031000-031500   00     897.71 1015.6    896.41    16.20    16.20
TIXIE BAY  061213 300  031500-032000   00     915.84 1015.6    914.52    18.60    18.60
TIXIE BAY  061213 300  032000-032500   00     924.59 1015.6    923.26    19.70    19.70
TIXIE BAY  061213 300  032500-033000   00     937.60 1015.6    936.25    21.40    21.40
TIXIE BAY  061213 300  033000-033500   00     933.97 1015.6    932.63    20.90    20.90
TIXIE BAY  061213 300  033500-034000   00     911.36 1015.6    910.05    18.00    18.00
TIXIE BAY  061213 300  034000-034500   00     905.60 1015.6    904.30    17.20    17.20
TIXIE BAY  061213 300  034500-035000   00     890.77 1015.6    889.49    15.30    15.30
TIXIE BAY  061213 300  035000-035500   00     893.87 1015.6    892.58    15.70    15.70
TIXIE BAY  061213 300  035500-040000   00     883.20 1015.6    881.93    14.30    14.30
TIXIE BAY  061213 300  040000-040500   00     881.28 1015.6    879.97    14.10    14.10
TIXIE BAY  061213 300  040500-041000   00     879.79 1015.6    878.37    13.90    13.90
TIXIE BAY  061213 300  041000-041500   00     874.03 1015.6    872.52    13.10    13.10
TIXIE BAY  061213 300  041500-042000   00     867.84 1015.5    866.24    12.30    12.30
TIXIE BAY  061213 300  042000-042500   00     859.52 1015.5    857.83    11.20    11.20
TIXIE BAY  061213 300  042500-043000   00     872.11 1015.5    870.29    12.80    12.80
TIXIE BAY  061213 300  043000-043500   00     858.88 1015.5    856.99    11.10    11.10
TIXIE BAY  061213 300  043500-044000   00     859.52 1015.5    857.52    11.20    11.20
TIXIE BAY  061213 300  044000-044500   00     836.91 1015.5    834.86     8.20     8.20
TIXIE BAY  061213 300  044500-045000   00     838.19 1015.4    836.04     8.40     8.40
TIXIE BAY  061213 300  045000-045500   00     846.51 1015.4    844.24     9.40     9.40
TIXIE BAY  061213 300  045500-050000   00     841.81 1015.4    839.45     8.80     8.80
TIXIE BAY  061213 300  050000-050500   00     823.26 1015.4    820.91     6.40     6.40
TIXIE BAY  061213 300  050500-051000   00     834.77 1015.4    832.44     7.90     7.90
TIXIE BAY  061213 300  051000-051500   00     817.28 1015.4    815.05     5.70     5.70
TIXIE BAY  061213 300  051500-052000   00     823.25 1015.4    821.05     6.40     6.40
TIXIE BAY  061213 300  052000-052500   00     827.95 1015.4    825.78     7.10     7.10
TIXIE BAY  061213 300  052500-053000   00     825.60 1015.4    823.49     6.80     6.80
TIXIE BAY  061213 300  053000-053500   00     814.93 1015.5    812.90     5.40     5.40
TIXIE BAY  061213 300  053500-054000   00     822.40 1015.5    820.40     6.40     6.40
TIXIE BAY  061213 300  054000-054500   00     816.85 1015.5    814.92     5.60     5.60
TIXIE BAY  061213 300  054500-055000   00     812.16 1015.5    810.28     5.00     5.00
TIXIE BAY  061213 300  055000-055500   00     806.40 1015.5    804.58     4.30     4.30
TIXIE BAY  061213 300  055500-060000   00     804.05 1015.5    802.29     4.00     4.00
TIXIE BAY  061213 300  060000-060500   00     811.52 1015.5    809.79     5.00     5.00
