YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1003    mb     COEFFICIENT   -0.715    % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    210.77      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    061212 3600 000000-010000   00    -999.00 -999.0    209.18    -0.80    -9999
YAKUTSK    061212 3600 010000-020000   00    -999.00 -999.0    209.10    -0.80    -9999
YAKUTSK    061212 3600 020000-030000   00    -999.00 -999.0    208.93    -0.90    -9999
YAKUTSK    061212 3600 030000-040000   00    -999.00 -999.0    208.79    -0.90    -9999
YAKUTSK    061212 3600 040000-050000   00    -999.00 -999.0    208.96    -0.90    -9999
YAKUTSK    061212 3600 050000-060000   00    -999.00 -999.0    209.25    -0.70    -9999
YAKUTSK    061212 3600 060000-070000   00    -999.00 -999.0    209.46    -0.60    -9999
YAKUTSK    061212 3600 070000-080000   00    -999.00 -999.0    208.82    -0.90    -9999
YAKUTSK    061212 3600 080000-090000   00    -999.00 -999.0    208.54    -1.10    -9999
YAKUTSK    061212 3600 090000-100000   00    -999.00 -999.0    208.65    -1.00    -9999
YAKUTSK    061212 3600 100000-110000   00    -999.00 -999.0    208.26    -1.20    -9999
YAKUTSK    061212 3600 110000-120000   00    -999.00 -999.0    208.08    -1.30    -9999
YAKUTSK    061212 3600 120000-130000   00    -999.00 -999.0    208.43    -1.10    -9999
YAKUTSK    061212 3600 130000-140000   00    -999.00 -999.0    208.12    -1.30    -9999
YAKUTSK    061212 3600 140000-150000   00    -999.00 -999.0    208.01    -1.30    -9999
YAKUTSK    061212 3600 150000-160000   00    -999.00 -999.0    207.83    -1.40    -9999
YAKUTSK    061212 3600 160000-170000   00    -999.00 -999.0    207.98    -1.30    -9999
YAKUTSK    061212 3600 170000-180000   00    -999.00 -999.0    209.07    -0.80    -9999
YAKUTSK    061212 3600 180000-190000   00    -999.00 -999.0    209.18    -0.80    -9999
YAKUTSK    061212 3600 190000-200000   00    -999.00 -999.0    208.68    -1.00    -9999
YAKUTSK    061212 3600 200000-210000   00    -999.00 -999.0    208.58    -1.00    -9999
YAKUTSK    061212 3600 210000-220000   00    -999.00 -999.0    209.56    -0.60    -9999
YAKUTSK    061212 3600 220000-230000   00    -999.00 -999.0    209.14    -0.80    -9999
YAKUTSK    061212 3600 230000-240000   00    -999.00 -999.0    209.49    -0.60    -9999
YAKUTSK    061213 300  000000-000400   00     202.02 1006.5    207.14    -1.70    -9999
YAKUTSK    061213 300  000400-000900   00     206.48 1006.5    211.72     0.50    -9999
YAKUTSK    061213 300  000900-001400   00     203.64 1006.4    208.70    -1.00    -9999
YAKUTSK    061213 300  001400-001900   00     203.62 1006.4    208.66    -1.00    -9999
YAKUTSK    061213 300  001900-002400   00     205.90 1006.5    211.14     0.20    -9999
YAKUTSK    061213 300  002400-002900   00     204.22 1006.5    209.40    -0.60    -9999
YAKUTSK    061213 300  002900-003400   00     203.14 1006.5    208.30    -1.20    -9999
YAKUTSK    061213 300  003400-003900   00     205.00 1006.6    210.36    -0.20    -9999
YAKUTSK    061213 300  003900-004400   00     203.30 1006.5    208.50    -1.10    -9999
YAKUTSK    061213 300  004400-004900   00     205.62 1006.6    210.96     0.10    -9999
YAKUTSK    061213 300  004900-005400   00     203.82 1006.5    209.02    -0.80    -9999
YAKUTSK    061213 300  005400-005900   00     205.10 1006.5    210.32    -0.20    -9999
YAKUTSK    061213 300  005900-010400   00     206.08 1006.5    211.32     0.30    -9999
YAKUTSK    061213 300  010400-010900   00     205.42 1006.5    210.62    -0.10    -9999
YAKUTSK    061213 300  010900-011400   00     206.22 1006.5    211.44     0.30    -9999
YAKUTSK    061213 300  011400-011900   00     204.66 1006.5    209.82    -0.50    -9999
YAKUTSK    061213 300  011900-012400   00     205.38 1006.4    210.42    -0.20    -9999
YAKUTSK    061213 300  012400-012900   00     205.70 1006.4    210.80     0.00    -9999
YAKUTSK    061213 300  012900-013400   00     202.32 1006.4    207.32    -1.60    -9999
YAKUTSK    061213 300  013400-013900   00     207.80 1006.3    212.78     1.00    -9999
YAKUTSK    061213 300  013900-014400   00     206.36 1006.3    211.36     0.30    -9999
YAKUTSK    061213 300  014400-014900   00     204.72 1006.3    209.62    -0.50    -9999
YAKUTSK    061213 300  014900-015400   00     207.06 1006.3    212.02     0.60    -9999
YAKUTSK    061213 300  015400-015900   00     206.80 1006.3    211.72     0.50    -9999
YAKUTSK    061213 300  015900-020400   00     206.62 1006.3    211.50     0.30     0.30
YAKUTSK    061213 300  020400-020900   00     203.88 1006.2    208.62    -1.00    -1.00
YAKUTSK    061213 300  020900-021400   00     204.88 1006.2    209.56    -0.60    -0.60
YAKUTSK    061213 300  021400-021900   00     203.88 1006.1    208.46    -1.10    -1.10
YAKUTSK    061213 300  021900-022400   00     206.38 1006.1    211.04     0.10     0.10
YAKUTSK    061213 300  022400-022900   00     205.50 1006.1    210.10    -0.30    -0.30
YAKUTSK    061213 300  022900-023400   00     205.50 1006.1    210.08    -0.30    -0.30
YAKUTSK    061213 300  023400-023900   00     207.60 1006.1    212.26     0.70     0.70
YAKUTSK    061213 300  023900-024400   00     205.42 1006.1    210.04    -0.30    -0.30
YAKUTSK    061213 300  024400-024900   00     206.22 1006.1    210.84     0.00     0.00
YAKUTSK    061213 300  024900-025400   00     205.52 1006.1    210.16    -0.30    -0.30
YAKUTSK    061213 300  025400-025900   00     208.42 1006.1    213.08     1.10     1.10
YAKUTSK    061213 300  025900-030400   00     208.68 1006.1    213.38     1.20     1.20
YAKUTSK    061213 300  030400-030900   00     218.24 1006.1    223.22     5.90     5.90
YAKUTSK    061213 300  030900-031400   00     225.26 1006.1    230.30     9.30     9.30
YAKUTSK    061213 300  031400-031900   00     229.98 1006.1    235.12    11.60    11.60
YAKUTSK    061213 300  031900-032400   00     236.54 1006.2    241.98    14.80    14.80
YAKUTSK    061213 300  032400-032900   00     238.46 1006.2    243.92    15.70    15.70
YAKUTSK    061213 300  032900-033400   00     239.48 1006.1    244.82    16.20    16.20
YAKUTSK    061213 300  033400-033900   00     239.64 1006.0    244.94    16.20    16.20
YAKUTSK    061213 300  033900-034400   00     238.42 1006.1    243.76    15.70    15.70
YAKUTSK    061213 300  034400-034900   00     238.04 1006.1    243.38    15.50    15.50
YAKUTSK    061213 300  034900-035400   00     238.38 1006.2    243.90    15.70    15.70
YAKUTSK    061213 300  035400-035900   00     233.80 1006.2    239.22    13.50    13.50
YAKUTSK    061213 300  035900-040400   00     233.32 1006.2    238.70    13.30    13.30
YAKUTSK    061213 300  040400-040900   00     231.84 1006.2    237.28    12.60    12.60
YAKUTSK    061213 300  040900-041400   00     228.84 1006.2    234.16    11.10    11.10
YAKUTSK    061213 300  041400-041900   00     226.44 1006.2    231.68     9.90     9.90
YAKUTSK    061213 300  041900-042400   00     226.62 1006.2    231.86    10.00    10.00
YAKUTSK    061213 300  042400-042900   00     227.44 1006.2    232.70    10.40    10.40
YAKUTSK    061213 300  042900-043400   00     223.56 1006.2    228.70     8.50     8.50
YAKUTSK    061213 300  043400-043900   00     223.36 1006.3    228.68     8.50     8.50
YAKUTSK    061213 300  043900-044400   00     222.10 1006.3    227.38     7.90     7.90
YAKUTSK    061213 300  044400-044900   00     221.16 1006.3    226.44     7.40     7.40
YAKUTSK    061213 300  044900-045400   00     220.52 1006.3    225.76     7.10     7.10
YAKUTSK    061213 300  045400-045900   00     217.16 1006.3    222.34     5.50     5.50
YAKUTSK    061213 300  045900-050400   00     218.90 1006.3    224.12     6.30     6.30
YAKUTSK    061213 300  050400-050900   00     218.60 1006.3    223.74     6.20     6.20
YAKUTSK    061213 300  050900-051400   00     218.70 1006.3    223.90     6.20     6.20
YAKUTSK    061213 300  051400-051900   00     216.52 1006.3    221.68     5.20     5.20
YAKUTSK    061213 300  051900-052400   00     215.52 1006.2    220.52     4.60     4.60
YAKUTSK    061213 300  052400-052900   00     216.52 1006.2    221.54     5.10     5.10
YAKUTSK    061213 300  052900-053400   00     217.02 1006.2    222.04     5.30     5.30
YAKUTSK    061213 300  053400-053900   00     214.68 1006.2    219.64     4.20     4.20
YAKUTSK    061213 300  053900-054400   00     214.04 1006.2    218.98     3.90     3.90
YAKUTSK    061213 300  054400-054900   00     213.48 1006.2    218.42     3.60     3.60
YAKUTSK    061213 300  054900-055400   00     213.62 1006.2    218.58     3.70     3.70
YAKUTSK    061213 300  055400-055900   00     215.40 1006.2    220.40     4.60     4.60
YAKUTSK    061213 300  055900-060400   00     213.38 1006.3    218.44     3.60     3.60
YAKUTSK    061213 300  060400-060900   00     211.50 1006.3    216.56     2.70     2.70
YAKUTSK    061213 300  060900-061400   00     210.90 1006.3    215.96     2.50     2.50
YAKUTSK    061213 300  061400-061900   00     214.16 1006.4    219.42     4.10     4.10
YAKUTSK    061213 300  061900-062400   00     210.80 1006.4    216.00     2.50     2.50
YAKUTSK    061213 300  062400-062900   00     212.26 1006.5    217.64     3.30     3.30
YAKUTSK    061213 300  062900-063400   00     211.60 1006.4    216.88     2.90     2.90
YAKUTSK    061213 300  063400-063900   00     210.62 1006.5    215.96     2.50     2.50
YAKUTSK    061213 300  063900-064400   00     212.70 1006.5    218.12     3.50     3.50
YAKUTSK    061213 300  064400-064900   00     210.96 1006.6    216.40     2.70     2.70
YAKUTSK    061213 300  064900-065400   00     210.56 1006.5    215.96     2.50     2.50
YAKUTSK    061213 300  065400-065900   00     212.04 1006.6    217.62     3.20     3.20
YAKUTSK    061213 300  065900-070400   00     209.90 1006.7    215.54     2.30     2.30
YAKUTSK    061213 300  070400-070900   00     210.64 1006.7    216.20     2.60     2.60
YAKUTSK    061213 300  070900-071400   00     208.64 1006.7    214.24     1.60     1.60
YAKUTSK    061213 300  071400-071900   00     211.52 1006.7    217.18     3.00     3.00
YAKUTSK    061213 300  071900-072400   00     210.64 1006.7    216.36     2.70     2.70
YAKUTSK    061213 300  072400-072900   00     210.36 1006.8    216.14     2.50     2.50
YAKUTSK    061213 300  072900-073400   00     208.18 1006.8    214.00     1.50     1.50
YAKUTSK    061213 300  073400-073900   00     207.42 1006.9    213.24     1.20     1.20
YAKUTSK    061213 300  073900-074400   00     208.30 1006.9    214.20     1.60     1.60
YAKUTSK    061213 300  074400-074900   00     207.64 1006.9    213.46     1.30     1.30
YAKUTSK    061213 300  074900-075400   00     206.06 1006.8    211.74     0.50     0.50
YAKUTSK    061213 300  075400-075900   00     209.52 1006.8    215.30     2.10     2.10
YAKUTSK    061213 300  075900-080400   00     208.22 1006.8    213.96     1.50     1.50
YAKUTSK    061213 300  080400-080900   00     206.92 1006.8    212.64     0.90     0.90
YAKUTSK    061213 300  080900-081400   00     208.40 1006.8    214.18     1.60     1.60
YAKUTSK    061213 300  081400-081900   00     206.40 1006.8    212.08     0.60     0.60
YAKUTSK    061213 300  081900-082400   00     207.58 1006.9    213.40     1.20     1.20
YAKUTSK    061213 300  082400-082900   00     209.12 1006.9    215.04     2.00     2.00
YAKUTSK    061213 300  082900-083400   00     207.24 1006.9    213.10     1.10     1.10
YAKUTSK    061213 300  083400-083900   00     206.62 1007.0    212.58     0.90     0.90
YAKUTSK    061213 300  083900-084400   00     204.98 1007.0    210.94     0.10     0.10
YAKUTSK    061213 300  084400-084900   00     206.64 1007.0    212.64     0.90     0.90
YAKUTSK    061213 300  084900-085400   00     205.38 1007.0    211.36     0.30     0.30
YAKUTSK    061213 300  085400-085900   00     206.18 1006.9    212.06     0.60     0.60
YAKUTSK    061213 300  085900-090400   00     205.36 1007.0    211.26     0.20     0.20
YAKUTSK    061213 300  090400-090900   00     208.96 1006.9    214.86     1.90     1.90
YAKUTSK    061213 300  090900-091400   00     205.48 1007.0    211.36     0.30     0.30
YAKUTSK    061213 300  091400-091900   00     205.26 1007.0    211.14     0.20     0.20
YAKUTSK    061213 300  091900-092400   00     205.84 1006.9    211.66     0.40     0.40
YAKUTSK    061213 300  092400-092900   00     203.26 1007.0    209.16    -0.80    -0.80
YAKUTSK    061213 300  092900-093400   00     203.92 1007.1    209.98    -0.40    -0.40
YAKUTSK    061213 300  093400-093900   00     206.74 1007.2    213.00     1.10     1.10
YAKUTSK    061213 300  093900-094400   00     201.38 1007.2    207.54    -1.50    -1.50
YAKUTSK    061213 300  094400-094900   00     206.38 1007.2    212.66     0.90     0.90
YAKUTSK    061213 300  094900-095400   00     205.30 1007.2    211.56     0.40     0.40
YAKUTSK    061213 300  095400-095900   00     204.24 1007.2    210.48    -0.10    -0.10
YAKUTSK    061213 300  095900-100400   00     204.72 1007.2    210.96     0.10    -9999
YAKUTSK    061213 300  100400-100900   00     204.64 1007.3    211.02     0.10    -9999
YAKUTSK    061213 300  100900-101400   00     204.56 1007.3    210.96     0.10    -9999
YAKUTSK    061213 300  101400-101900   00     203.46 1007.3    209.76    -0.50    -9999
YAKUTSK    061213 300  101900-102400   00     202.76 1007.2    208.92    -0.90    -9999
