ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,450.22      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 120516 3600 000000-010000   00    1353.60  678.6   1436.98    -0.90    -9999
ALMA-ATA-B 120516 3600 010000-020000   00    1356.57  678.8   1442.02    -0.60    -9999
ALMA-ATA-B 120516 3600 020000-030000   00    1355.98  678.7   1440.51    -0.70    -9999
ALMA-ATA-B 120516 3600 030000-040000   00    1355.97  678.6   1440.26    -0.70    -9999
ALMA-ATA-B 120516 3600 040000-050000   00    1355.91  678.8   1441.81    -0.60    -9999
ALMA-ATA-B 120516 3600 050000-060000   00    1354.80  678.9   1442.07    -0.60    -9999
ALMA-ATA-B 120516 3600 060000-070000   00    1354.64  678.8   1440.27    -0.70    -9999
ALMA-ATA-B 120516 3600 070000-080000   00    1353.99  678.8   1439.52    -0.70    -9999
ALMA-ATA-B 120516 3600 080000-090000   00    1351.98  678.8   1437.27    -0.90    -9999
ALMA-ATA-B 120516 3600 090000-100000   00    1349.42  678.7   1433.87    -1.10    -9999
ALMA-ATA-B 120516 3600 100000-110000   00    1348.56  678.6   1431.64    -1.30    -9999
ALMA-ATA-B 120516 3600 110000-120000   00    1345.38  678.6   1428.80    -1.50    -9999
ALMA-ATA-B 120516 3600 120000-130000   00    1347.25  678.6   1430.52    -1.40    -9999
ALMA-ATA-B 120516 3600 130000-140000   00    1348.94  678.6   1432.64    -1.20    -9999
ALMA-ATA-B 120516 3600 140000-150000   00    1351.69  678.7   1436.61    -0.90    -9999
ALMA-ATA-B 120516 3600 150000-160000   00    1351.36  679.0   1439.06    -0.80    -9999
ALMA-ATA-B 120516 3600 160000-170000   00    1348.90  679.0   1436.27    -1.00    -9999
ALMA-ATA-B 120516 3600 170000-180000   00    1354.41  678.5   1437.51    -0.90    -9999
ALMA-ATA-B 120516 3600 180000-190000   00    1364.27  677.8   1440.40    -0.70    -9999
ALMA-ATA-B 120516 3600 190000-200000   00    1372.29  677.4   1445.15    -0.30    -9999
ALMA-ATA-B 120516 3600 200000-210000   00    1374.27  677.1   1443.96    -0.40    -9999
ALMA-ATA-B 120516 300  210000-210500   00    1372.70  677.0   1441.30    -0.60    -9999
ALMA-ATA-B 120516 300  210500-211000   00    1385.32  677.0   1454.14     0.30    -9999
