APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    173.69      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY  L 120516 3600 000000-010000   00     175.25  997.9    172.62    -0.60    -9999
APATITY  L 120516 3600 010000-020000   00     174.99  998.3    172.90    -0.50    -9999
APATITY  L 120516 3600 020000-030000   00     174.62  998.7    173.05    -0.40    -9999
APATITY  L 120516 3600 030000-040000   00     174.99  999.0    173.68     0.00    -9999
APATITY  L 120516 3600 040000-050000   00     175.21  999.1    174.12     0.20    -9999
APATITY  L 120516 3600 050000-060000   00     174.84  999.3    173.91     0.10    -9999
APATITY  L 120516 3600 060000-070000   00     174.17  999.5    173.58    -0.10    -9999
APATITY  L 120516 3600 070000-080000   00     174.19  999.9    174.03     0.20    -9999
APATITY  L 120516 3600 080000-090000   00     173.31 1000.3    173.64     0.00    -9999
APATITY  L 120516 3600 090000-100000   00     173.16 1000.4    173.65     0.00    -9999
APATITY  L 120516 3600 100000-110000   00     173.90 1000.2    174.18     0.30    -9999
APATITY  L 120516 3600 110000-120000   00     174.16 1000.2    174.44     0.40    -9999
APATITY  L 120516 3600 120000-130000   00     173.45 1000.2    173.72     0.00    -9999
APATITY  L 120516 3600 130000-140000   00     173.56 1000.3    173.91     0.10    -9999
APATITY  L 120516 3600 140000-150000   00     174.00 1000.2    174.23     0.30    -9999
APATITY  L 120516 3600 150000-160000   00     172.99 1000.2    173.30    -0.20    -9999
APATITY  L 120516 3600 160000-170000   00     173.27 1000.4    173.82     0.10    -9999
APATITY  L 120516 3600 170000-180000   00     172.41 1000.8    173.37    -0.20    -9999
APATITY  L 120516 3600 180000-190000   00     171.38 1001.2    172.83    -0.50    -9999
APATITY  L 120516 3600 190000-200000   00     170.66 1001.4    172.38    -0.80    -9999
APATITY  L 120516 3600 200000-210000   00     170.56 1001.7    172.68    -0.60    -9999
APATITY  L 120516 300  210000-210500   00     170.64 1001.9    172.95    -0.40    -9999
APATITY  L 120516 300  210500-211000   00     168.68 1001.9    171.03    -1.50    -9999
APATITY  L 120516 300  211000-211500   00     168.91 1002.0    171.32    -1.40    -9999
APATITY  L 120516 300  211500-212000   00     169.47 1002.0    171.95    -1.00    -9999
APATITY  L 120516 300  212000-212500   00     170.43 1002.0    172.93    -0.40    -9999
APATITY  L 120516 300  212500-213000   00     170.21 1002.0    172.68    -0.60    -9999
APATITY  L 120516 300  213000-213500   00     169.42 1002.0    171.88    -1.00    -9999
APATITY  L 120516 300  213500-214000   00     170.99 1002.0    173.47    -0.10    -9999
APATITY  L 120516 300  214000-214500   00     168.21 1002.1    170.73    -1.70    -9999
APATITY  L 120516 300  214500-215000   00     168.96 1002.1    171.55    -1.20    -9999
APATITY  L 120516 300  215000-215500   00     169.78 1002.2    172.43    -0.70    -9999
APATITY  L 120516 300  215500-220000   00     168.64 1002.1    171.26    -1.40    -9999
APATITY  L 120516 300  220000-220500   00     169.78 1002.1    172.40    -0.70    -9999
APATITY  L 120516 300  220500-221000   00     168.61 1002.1    171.21    -1.40    -9999
APATITY  L 120516 300  221000-221500   00     171.20 1002.1    173.86     0.10    -9999
APATITY  L 120516 300  221500-222000   00     170.18 1002.2    172.91    -0.40    -9999
APATITY  L 120516 300  222000-222500   00     167.94 1002.1    170.53    -1.80    -9999
APATITY  L 120516 300  222500-223000   00     169.56 1002.2    172.26    -0.80    -9999
APATITY  L 120516 300  223000-223500   00     169.98 1002.1    172.63    -0.60    -9999
APATITY  L 120516 300  223500-224000   00     170.30 1002.2    173.03    -0.40    -9999
APATITY  L 120516 300  224000-224500   00     170.42 1002.1    173.06    -0.40    -9999
APATITY  L 120516 300  224500-225000   00     169.28 1002.1    171.88    -1.00    -9999
APATITY  L 120516 300  225000-225500   00     169.55 1002.0    172.06    -0.90    -9999
APATITY  L 120516 300  225500-230000   00     170.08 1002.0    172.55    -0.70    -9999
APATITY  L 120516 300  230000-230500   00     171.02 1002.0    173.51    -0.10    -9999
APATITY  L 120516 300  230500-231000   00     171.91 1002.0    174.40     0.40    -9999
APATITY  L 120516 300  231000-231500   00     171.63 1002.0    174.10     0.20    -9999
APATITY  L 120516 300  231500-232000   00     170.05 1001.9    172.40    -0.70    -9999
APATITY  L 120516 300  232000-232500   00     171.35 1001.8    173.62     0.00    -9999
APATITY  L 120516 300  232500-233000   00     172.04 1001.8    174.33     0.40    -9999
APATITY  L 120516 300  233000-233500   00     171.92 1001.9    174.23     0.30    -9999
APATITY  L 120516 300  233500-234000   00     170.55 1001.9    172.90    -0.50    -9999
APATITY  L 120516 300  234000-234500   00     169.68 1001.9    171.97    -1.00    -9999
APATITY  L 120516 300  234500-235000   00     170.76 1001.9    173.10    -0.30    -9999
APATITY  L 120516 300  235000-235500   00     172.79 1001.9    175.15     0.80    -9999
APATITY  L 120516 300  235500-240000   00     168.86 1001.9    171.20    -1.40    -9999
APATITY  L 120517 300  000000-000500   00     171.24 1001.9    173.65     0.00    -9999
APATITY  L 120517 300  000500-001000   00     171.16 1002.0    173.58    -0.10    -9999
APATITY  L 120517 300  001000-001500   00     170.66 1002.0    173.09    -0.30    -9999
APATITY  L 120517 300  001500-002000   00     173.48 1002.0    175.94     1.30    -9999
APATITY  L 120517 300  002000-002500   00     173.14 1001.9    175.58     1.10    -9999
APATITY  L 120517 300  002500-003000   00     171.63 1001.9    174.04     0.20    -9999
APATITY  L 120517 300  003000-003500   00     171.63 1001.9    173.94     0.10    -9999
