ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     mb     COEFFICIENT   -0.7      % / mb
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     56.84      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ATHENS     120516 3600 000000-010000   00      58.14  975.8     56.46    -0.70    -9999
ATHENS     120516 3600 010000-020000   00      58.17  975.8     56.48    -0.60    -9999
ATHENS     120516 3600 020000-030000   00      57.75  976.0     56.14    -1.20    -9999
ATHENS     120516 3600 030000-040000   00      57.59  976.3     56.13    -1.20    -9999
ATHENS     120516 3600 040000-050000   00      58.28  976.4     56.85     0.00    -9999
ATHENS     120516 3600 050000-060000   00      57.17  976.8     55.90    -1.70    -9999
ATHENS     120516 3600 060000-070000   00      57.66  976.9     56.43    -0.70    -9999
ATHENS     120516 3600 070000-080000   00      57.48  976.9     56.25    -1.00    -9999
ATHENS     120516 3600 080000-090000   00      57.68  977.3     56.59    -0.40    -9999
ATHENS     120516 3600 090000-100000   00      57.35  977.5     56.36    -0.80    -9999
ATHENS     120516 3600 100000-110000   00      57.76  977.4     56.73    -0.20    -9999
ATHENS     120516 3600 110000-120000   00      57.71  977.4     56.68    -0.30    -9999
ATHENS     120516 3600 120000-130000   00      57.51  977.4     56.47    -0.70    -9999
ATHENS     120516 3600 130000-140000   00      57.73  977.2     56.62    -0.40    -9999
ATHENS     120516 3600 140000-150000   00      57.52  977.1     56.35    -0.90    -9999
ATHENS     120516 3600 150000-160000   00      57.58  976.8     56.30    -1.00    -9999
ATHENS     120516 3600 160000-170000   00      57.67  976.7     56.36    -0.80    -9999
ATHENS     120516 3600 170000-180000   00      57.45  976.8     56.17    -1.20    -9999
ATHENS     120516 3600 180000-190000   00      57.58  976.9     56.34    -0.90    -9999
ATHENS     120516 3600 190000-200000   00      57.78  977.3     56.69    -0.30    -9999
ATHENS     120516 3600 200000-210000   00      57.88  976.9     56.63    -0.40    -9999
ATHENS     120516 300  210000-210500   00      58.74  976.6     57.37     0.90    -9999
