BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    820     mb     COEFFICIENT   -0.73     % / mb
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    108.62      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
BAKSAN     120516 3600 000000-010000   00     105.78  830.6    107.81    -0.70    -9999
BAKSAN     120516 3600 010000-020000   00     106.03  830.5    107.94    -0.60    -9999
BAKSAN     120516 3600 020000-030000   00     105.93  830.6    107.92    -0.60    -9999
BAKSAN     120516 3600 030000-040000   00     105.86  830.7    107.94    -0.60    -9999
BAKSAN     120516 3600 040000-050000   00     106.21  830.7    108.30    -0.30    -9999
BAKSAN     120516 3600 050000-060000   00     105.43  830.5    107.37    -1.20    -9999
BAKSAN     120516 3600 060000-070000   00     106.34  830.3    108.12    -0.50    -9999
BAKSAN     120516 3600 070000-080000   00     105.68  830.4    107.50    -1.00    -9999
BAKSAN     120516 3600 080000-090000   00     106.07  830.4    107.91    -0.70    -9999
BAKSAN     120516 3600 090000-100000   00     106.73  830.2    108.43    -0.20    -9999
BAKSAN     120516 3600 100000-110000   00     106.69  830.1    108.30    -0.30    -9999
BAKSAN     120516 3600 110000-120000   00     106.44  830.0    108.01    -0.60    -9999
BAKSAN     120516 3600 120000-130000   00     106.65  830.1    108.25    -0.30    -9999
BAKSAN     120516 3600 130000-140000   00     106.02  830.4    107.83    -0.70    -9999
BAKSAN     120516 3600 140000-150000   00     106.45  830.2    108.18    -0.40    -9999
BAKSAN     120516 3600 150000-160000   00     106.07  830.4    107.95    -0.60    -9999
BAKSAN     120516 3600 160000-170000   00     104.99  830.9    107.18    -1.30    -9999
BAKSAN     120516 3600 170000-180000   00     105.64  831.5    108.33    -0.30    -9999
BAKSAN     120516 3600 180000-190000   00     105.11  831.7    107.94    -0.60    -9999
BAKSAN     120516 3600 190000-200000   00     105.36  831.6    108.14    -0.40    -9999
BAKSAN     120516 3600 200000-210000   00     105.77  831.4    108.40    -0.20    -9999
BAKSAN     120516 300  210000-210500   00     105.80  831.3    108.31    -0.30    -9999
BAKSAN     120516 300  210500-211000   00     106.08  831.2    108.57     0.00    -9999
BAKSAN     120516 300  211000-211500   00     105.35  831.2    107.79    -0.80    -9999
BAKSAN     120516 300  211500-212000   00     105.23  831.2    107.66    -0.90    -9999
