Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
Fort SMITH PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
Fort SMITH PRE-INCREASE AVERAGE COUNTING RATE    215.82      COUNTS PER SECOND
Fort SMITH TIME INTERVALS    300         3600     
Fort SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
Fort SMITH 120516 3600 000000-010000   00     263.66  986.9    216.33     0.20    -9999
Fort SMITH 120516 3600 010000-020000   00     264.91  986.6    216.91     0.50    -9999
Fort SMITH 120516 3600 020000-030000   00     264.89  986.5    216.78     0.40    -9999
Fort SMITH 120516 3600 030000-040000   00     263.93  986.6    216.13     0.10    -9999
Fort SMITH 120516 3600 040000-050000   00     261.10  986.5    213.60    -1.00    -9999
Fort SMITH 120516 3600 050000-060000   00     260.84  986.2    212.88    -1.40    -9999
Fort SMITH 120516 3600 060000-070000   00     263.14  985.8    214.10    -0.80    -9999
Fort SMITH 120516 3600 070000-080000   00     263.56  985.6    214.18    -0.80    -9999
Fort SMITH 120516 3600 080000-090000   00     263.79  985.4    214.11    -0.80    -9999
Fort SMITH 120516 3600 090000-100000   00     265.14  985.3    214.98    -0.40    -9999
Fort SMITH 120516 3600 100000-110000   00     265.03  985.3    214.85    -0.40    -9999
Fort SMITH 120516 3600 110000-120000   00     264.83  985.3    214.80    -0.50    -9999
Fort SMITH 120516 3600 120000-130000   00     265.75  985.5    215.73     0.00    -9999
Fort SMITH 120516 3600 130000-140000   00     265.99  985.4    215.84     0.00    -9999
Fort SMITH 120516 3600 140000-150000   00     266.53  985.2    215.92     0.00    -9999
Fort SMITH 120516 3600 150000-160000   00     267.49  984.9    216.17     0.20    -9999
Fort SMITH 120516 3600 160000-170000   00     268.19  984.6    216.32     0.20    -9999
Fort SMITH 120516 3600 170000-180000   00     269.94  984.2    217.00     0.50    -9999
Fort SMITH 120516 3600 180000-190000   00     269.61  984.2    216.87     0.50    -9999
Fort SMITH 120516 3600 190000-200000   00     269.28  984.4    216.90     0.50    -9999
Fort SMITH 120516 3600 200000-210000   00     270.26  984.1    217.25     0.70    -9999
Fort SMITH 120516 300  210000-210500   00     272.27  984.1    218.75     1.40    -9999
Fort SMITH 120516 300  210500-211000   00     269.26  984.1    216.32     0.20    -9999
Fort SMITH 120516 300  211000-211500   00     269.84  984.0    216.72     0.40    -9999
Fort SMITH 120516 300  211500-212000   00     270.56  984.0    217.23     0.70    -9999
Fort SMITH 120516 300  212000-212500   00     266.54  984.0    214.00    -0.80    -9999
Fort SMITH 120516 300  212500-213000   00     268.55  984.0    215.65    -0.10    -9999
Fort SMITH 120516 300  213000-213500   00     269.37  984.0    216.37     0.30    -9999
Fort SMITH 120516 300  213500-214000   00     269.56  984.1    216.55     0.30    -9999
Fort SMITH 120516 300  214000-214500   00     268.46  984.1    215.76     0.00    -9999
Fort SMITH 120516 300  214500-215000   00     270.80  984.2    217.72     0.90    -9999
