INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1008.14 MB     COEFFICIENT   -0.74     % / MB
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    193.10      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
INUVIK     120516 3600 000000-010000   00     180.19 1022.5    193.05     0.00    -9999
INUVIK     120516 3600 010000-020000   00     180.10 1022.8    193.50     0.20    -9999
INUVIK     120516 3600 020000-030000   00     179.61 1023.1    193.40     0.20    -9999
INUVIK     120516 3600 030000-040000   00     178.58 1023.6    193.01     0.00    -9999
INUVIK     120516 3600 040000-050000   00     177.04 1024.1    192.05    -0.50    -9999
INUVIK     120516 3600 050000-060000   00     176.84 1024.6    192.60    -0.30    -9999
INUVIK     120516 3600 060000-070000   00     175.69 1025.1    192.05    -0.50    -9999
INUVIK     120516 3600 070000-080000   00     175.14 1025.3    191.70    -0.70    -9999
INUVIK     120516 3600 080000-090000   00     174.04 1025.6    190.99    -1.10    -9999
INUVIK     120516 3600 090000-100000   00     174.19 1025.9    191.56    -0.80    -9999
INUVIK     120516 3600 100000-110000   00     174.41 1026.2    192.15    -0.50    -9999
INUVIK     120516 3600 110000-120000   00     173.96 1026.3    191.83    -0.70    -9999
INUVIK     120516 3600 120000-130000   00     174.21 1026.6    192.57    -0.30    -9999
INUVIK     120516 3600 130000-140000   00     173.87 1026.9    192.60    -0.30    -9999
INUVIK     120516 3600 140000-150000   00     173.46 1027.2    192.52    -0.30    -9999
INUVIK     120516 3600 150000-160000   00     173.35 1027.4    192.82    -0.10    -9999
INUVIK     120516 3600 160000-170000   00     173.27 1027.6    192.91    -0.10    -9999
INUVIK     120516 3600 170000-180000   00     172.69 1027.8    192.61    -0.30    -9999
INUVIK     120516 3600 180000-190000   00     173.24 1027.9    193.36     0.10    -9999
INUVIK     120516 3600 190000-200000   00     173.52 1028.1    194.01     0.50    -9999
INUVIK     120516 3600 200000-210000   00     172.89 1028.4    193.65     0.30    -9999
INUVIK     120516 300  210000-210500   00     172.75 1028.4    193.52     0.20    -9999
INUVIK     120516 300  210500-211000   00     173.49 1028.4    194.34     0.60    -9999
INUVIK     120516 300  211000-211500   00     171.93 1028.4    192.57    -0.30    -9999
INUVIK     120516 300  211500-212000   00     173.49 1028.4    194.30     0.60    -9999
INUVIK     120516 300  212000-212500   00     174.40 1028.4    195.32     1.10    -9999
INUVIK     120516 300  212500-213000   00     173.92 1028.4    194.79     0.90    -9999
INUVIK     120516 300  213000-213500   00     174.01 1028.4    194.95     1.00    -9999
INUVIK     120516 300  213500-214000   00     170.77 1028.4    191.37    -0.90    -9999
INUVIK     120516 300  214000-214500   00     171.27 1028.5    191.99    -0.60    -9999
INUVIK     120516 300  214500-215000   00     172.57 1028.5    193.49     0.20    -9999
INUVIK     120516 300  215000-215500   00     170.89 1028.5    191.62    -0.80    -9999
INUVIK     120516 300  215500-220000   00     171.65 1028.5    192.51    -0.30    -9999
INUVIK     120516 300  220000-220500   00     171.98 1028.5    192.88    -0.10    -9999
INUVIK     120516 300  220500-221000   00     173.50 1028.5    194.58     0.80    -9999
INUVIK     120516 300  221000-221500   00     170.79 1028.5    191.53    -0.80    -9999
INUVIK     120516 300  221500-222000   00     172.90 1028.6    193.93     0.40    -9999
INUVIK     120516 300  222000-222500   00     171.93 1028.6    192.90    -0.10    -9999
INUVIK     120516 300  222500-223000   00     173.23 1028.6    194.36     0.70    -9999
INUVIK     120516 300  223000-223500   00     173.52 1028.6    194.69     0.80    -9999
INUVIK     120516 300  223500-224000   00     171.72 1028.6    192.69    -0.20    -9999
INUVIK     120516 300  224000-224500   00     172.37 1028.6    193.43     0.20    -9999
INUVIK     120516 300  224500-225000   00     172.55 1028.6    193.60     0.30    -9999
INUVIK     120516 300  225000-225500   00     172.64 1028.6    193.71     0.30    -9999
INUVIK     120516 300  225500-230000   00     173.22 1028.6    194.37     0.70    -9999
INUVIK     120516 300  230000-230500   00     173.31 1028.7    194.53     0.70    -9999
INUVIK     120516 300  230500-231000   00     173.99 1028.7    195.32     1.10    -9999
INUVIK     120516 300  231000-231500   00     171.77 1028.6    192.80    -0.20    -9999
INUVIK     120516 300  231500-232000   00     173.71 1028.6    194.95     1.00    -9999
INUVIK     120516 300  232000-232500   00     169.74 1028.6    190.48    -1.40    -9999
INUVIK     120516 300  232500-233000   00     171.10 1028.6    191.98    -0.60    -9999
INUVIK     120516 300  233000-233500   00     170.62 1028.6    191.41    -0.90    -9999
INUVIK     120516 300  233500-234000   00     172.50 1028.6    193.55     0.20    -9999
INUVIK     120516 300  234000-234500   00     172.76 1028.6    193.88     0.40    -9999
INUVIK     120516 300  234500-235000   00     171.27 1028.7    192.25    -0.40    -9999
INUVIK     120516 300  235000-235500   00     170.56 1028.6    191.42    -0.90    -9999
