IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    428.23      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   120516 3600 000000-010000   00     405.72  721.6    425.45    -0.60    -9999
IRKUTSK3   120516 3600 010000-020000   00     406.80  721.4    426.15    -0.50    -9999
IRKUTSK3   120516 3600 020000-030000   00     406.95  721.2    425.37    -0.70    -9999
IRKUTSK3   120516 3600 030000-040000   00     408.50  721.0    426.47    -0.40    -9999
IRKUTSK3   120516 3600 040000-050000   00     410.53  720.4    426.67    -0.40    -9999
IRKUTSK3   120516 3600 050000-060000   00     410.75  719.7    424.97    -0.80    -9999
IRKUTSK3   120516 3600 060000-070000   00     412.22  719.1    424.48    -0.90    -9999
IRKUTSK3   120516 3600 070000-080000   00     411.83  718.5    422.25    -1.40    -9999
IRKUTSK3   120516 3600 080000-090000   00     413.68  718.0    422.58    -1.30    -9999
IRKUTSK3   120516 3600 090000-100000   00     415.68  717.6    423.58    -1.10    -9999
IRKUTSK3   120516 3600 100000-110000   00     416.10  717.2    422.77    -1.30    -9999
IRKUTSK3   120516 3600 110000-120000   00     417.20  716.8    422.72    -1.30    -9999
IRKUTSK3   120516 3600 120000-130000   00     417.60  716.2    421.32    -1.60    -9999
IRKUTSK3   120516 3600 130000-140000   00     420.82  715.8    423.07    -1.20    -9999
IRKUTSK3   120516 3600 140000-150000   00     424.05  715.3    424.85    -0.80    -9999
IRKUTSK3   120516 3600 150000-160000   00     426.90  714.7    426.00    -0.50    -9999
IRKUTSK3   120516 3600 160000-170000   00     428.33  714.2    426.02    -0.50    -9999
IRKUTSK3   120516 3600 170000-180000   00     430.12  713.5    425.47    -0.60    -9999
IRKUTSK3   120516 3600 180000-190000   00     433.65  712.6    426.33    -0.40    -9999
IRKUTSK3   120516 3600 190000-200000   00     436.37  712.0    426.85    -0.30    -9999
IRKUTSK3   120516 3600 200000-210000   00     440.45  711.5    429.40     0.30    -9999
IRKUTSK3   120516 300  210000-210500   00     438.80  711.3    427.20    -0.20    -9999
IRKUTSK3   120516 300  210500-211000   00     441.40  711.2    429.40     0.30    -9999
IRKUTSK3   120516 300  211000-211500   00     441.20  711.1    428.80     0.10    -9999
IRKUTSK3   120516 300  211500-212000   00     440.40  711.1    428.20     0.00    -9999
IRKUTSK3   120516 300  212000-212500   00     440.60  711.1    428.60     0.10    -9999
IRKUTSK3   120516 300  212500-213000   00     441.80  711.1    429.60     0.30    -9999
IRKUTSK3   120516 300  213000-213500   00     447.40  711.0    434.40     1.40    -9999
IRKUTSK3   120516 300  213500-214000   00     440.60  711.0    428.40     0.00    -9999
IRKUTSK3   120516 300  214000-214500   00     445.00  711.0    432.40     1.00    -9999
IRKUTSK3   120516 300  214500-215000   00     438.80  711.0    426.20    -0.50    -9999
IRKUTSK3   120516 300  215000-215500   00     443.00  710.9    430.00     0.40    -9999
IRKUTSK3   120516 300  215500-220000   00     439.60  710.9    426.80    -0.30    -9999
IRKUTSK3   120516 300  220000-220500   00     439.60  711.1    427.20    -0.20    -9999
IRKUTSK3   120516 300  220500-221000   00     443.20  711.0    430.60     0.60    -9999
IRKUTSK3   120516 300  221000-221500   00     443.20  710.9    430.40     0.50    -9999
IRKUTSK3   120516 300  221500-222000   00     444.80  710.9    431.80     0.80    -9999
IRKUTSK3   120516 300  222000-222500   00     441.60  710.8    428.40     0.00    -9999
IRKUTSK3   120516 300  222500-223000   00     440.80  710.8    428.00    -0.10    -9999
IRKUTSK3   120516 300  223000-223500   00     443.40  710.8    430.00     0.40    -9999
IRKUTSK3   120516 300  223500-224000   00     438.00  710.8    425.00    -0.80    -9999
IRKUTSK3   120516 300  224000-224500   00     441.40  710.9    428.40     0.00    -9999
IRKUTSK3   120516 300  224500-225000   00     445.20  710.9    432.20     0.90    -9999
IRKUTSK3   120516 300  225000-225500   00     441.80  710.9    428.80     0.10    -9999
IRKUTSK3   120516 300  225500-230000   00     444.80  710.9    431.80     0.80    -9999
IRKUTSK3   120516 300  230000-230500   00     443.20  710.9    430.20     0.50    -9999
IRKUTSK3   120516 300  230500-231000   00     439.20  710.7    426.20    -0.50    -9999
IRKUTSK3   120516 300  231000-231500   00     441.60  710.7    428.20     0.00    -9999
IRKUTSK3   120516 300  231500-232000   00     438.40  710.7    425.00    -0.80    -9999
IRKUTSK3   120516 300  232000-232500   00     443.80  710.7    430.40     0.50    -9999
IRKUTSK3   120516 300  232500-233000   00     442.80  710.7    429.00     0.20    -9999
IRKUTSK3   120516 300  233000-233500   00     442.20  710.7    428.60     0.10    -9999
IRKUTSK3   120516 300  233500-234000   00     439.40  710.7    426.20    -0.50    -9999
IRKUTSK3   120516 300  234000-234500   00     442.20  710.7    428.60     0.10    -9999
IRKUTSK3   120516 300  234500-235000   00     442.20  710.7    428.80     0.10    -9999
IRKUTSK3   120516 300  235000-235500   00     439.00  710.6    425.20    -0.70    -9999
IRKUTSK3   120516 300  235500-240000   00     443.40  710.6    429.60     0.30    -9999
IRKUTSK3   120517 300  000000-000500   00     443.80  710.5    429.80     0.40    -9999
IRKUTSK3   120517 300  000500-001000   00     443.60  710.4    429.40     0.30    -9999
IRKUTSK3   120517 300  001000-001500   00     443.80  710.5    429.40     0.30    -9999
IRKUTSK3   120517 300  001500-002000   00     442.00  710.5    427.80    -0.10    -9999
IRKUTSK3   120517 300  002000-002500   00     442.40  710.5    428.20     0.00    -9999
IRKUTSK3   120517 300  002500-003000   00     441.00  710.6    427.20    -0.20    -9999
IRKUTSK3   120517 300  003000-003500   00     441.00  710.6    427.20    -0.20    -9999
IRKUTSK3   120517 300  003500-004000   00     441.20  710.5    427.20    -0.20    -9999
IRKUTSK3   120517 300  004000-004500   00     443.00  710.6    429.00     0.20    -9999
IRKUTSK3   120517 300  004500-005000   00     442.40  710.5    428.40     0.00    -9999
IRKUTSK3   120517 300  005000-005500   00     441.40  710.5    427.60    -0.10    -9999
IRKUTSK3   120517 300  005500-010000   00     444.20  710.5    430.20     0.50    -9999
IRKUTSK3   120517 300  010000-010500   00     442.40  710.6    428.40     0.00    -9999
IRKUTSK3   120517 300  010500-011000   00     443.40  710.5    429.40     0.30    -9999
IRKUTSK3   120517 300  011000-011500   00     445.40  710.5    431.00     0.60    -9999
IRKUTSK3   120517 300  011500-012000   00     443.20  710.5    429.00     0.20    -9999
IRKUTSK3   120517 300  012000-012500   00     442.20  710.4    428.00    -0.10    -9999
IRKUTSK3   120517 300  012500-013000   00     446.20  710.4    431.60     0.80    -9999
IRKUTSK3   120517 300  013000-013500   00     444.00  710.2    429.20     0.20    -9999
IRKUTSK3   120517 300  013500-014000   00     446.60  710.3    431.60     0.80    -9999
IRKUTSK3   120517 300  014000-014500   00     444.80  710.2    429.80     0.40    -9999
IRKUTSK3   120517 300  014500-015000   00     443.80  710.2    428.80     0.10    -9999
IRKUTSK3   120517 300  015000-015500   00     446.60  710.2    431.40     0.70    -9999
IRKUTSK3   120517 300  015500-020000   00     446.80  710.2    431.60     0.80    -9999
IRKUTSK3   120517 300  020000-020500   00     447.00  710.2    431.80     0.80    -9999
IRKUTSK3   120517 300  020500-021000   00     446.80  710.3    432.20     0.90    -9999
IRKUTSK3   120517 300  021000-021500   00     445.60  710.3    430.80     0.60    -9999
IRKUTSK3   120517 300  021500-022000   00     447.60  710.3    432.60     1.00    -9999
IRKUTSK3   120517 300  022000-022500   00     446.60  710.2    431.20     0.70    -9999
IRKUTSK3   120517 300  022500-023000   00     444.80  710.2    429.80     0.40    -9999
IRKUTSK3   120517 300  023000-023500   00     446.00  710.1    430.80     0.60    -9999
IRKUTSK3   120517 300  023500-024000   00     448.00  710.2    432.80     1.10    -9999
IRKUTSK3   120517 300  024000-024500   00     446.60  710.2    431.40     0.70    -9999
