JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    352.70      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  120516 3600 000000-010000   00     320.78  656.2    352.90     0.10    -9999
JUNGFRAU1  120516 3600 010000-020000   00     320.88  656.0    352.52    -0.10    -9999
JUNGFRAU1  120516 3600 020000-030000   00     321.05  655.7    351.95    -0.20    -9999
JUNGFRAU1  120516 3600 030000-040000   00     322.07  655.4    352.23    -0.10    -9999
JUNGFRAU1  120516 3600 040000-050000   00     322.39  655.6    353.24     0.20    -9999
JUNGFRAU1  120516 3600 050000-060000   00     321.21  655.8    352.51    -0.10    -9999
JUNGFRAU1  120516 3600 060000-070000   00     320.96  656.2    353.19     0.10    -9999
JUNGFRAU1  120516 3600 070000-080000   00     319.11  656.9    352.86     0.00    -9999
JUNGFRAU1  120516 3600 080000-090000   00     317.35  657.5    352.33    -0.10    -9999
JUNGFRAU1  120516 3600 090000-100000   00     317.26  657.7    352.75     0.00    -9999
JUNGFRAU1  120516 3600 100000-110000   00     315.39  658.3    352.31    -0.10    -9999
JUNGFRAU1  120516 3600 110000-120000   00     313.92  659.1    352.73     0.00    -9999
JUNGFRAU1  120516 3600 120000-130000   00     312.68  659.4    352.05    -0.20    -9999
JUNGFRAU1  120516 3600 130000-140000   00     312.37  660.0    353.14     0.10    -9999
JUNGFRAU1  120516 3600 140000-150000   00     308.87  660.3    350.03    -0.80    -9999
JUNGFRAU1  120516 3600 150000-160000   00     308.35  660.4    349.66    -0.90    -9999
JUNGFRAU1  120516 3600 160000-170000   00     307.38  660.7    349.34    -1.00    -9999
JUNGFRAU1  120516 3600 170000-180000   00     306.20  661.2    349.16    -1.00    -9999
JUNGFRAU1  120516 3600 180000-190000   00     306.36  661.6    350.37    -0.70    -9999
JUNGFRAU1  120516 3600 190000-200000   00     305.34  662.0    350.35    -0.70    -9999
JUNGFRAU1  120516 3600 200000-210000   00     304.27  662.3    349.93    -0.80    -9999
JUNGFRAU1  120516 300  210000-210500   00     306.52  662.6    353.16     0.10    -9999
JUNGFRAU1  120516 300  210500-211000   00     305.80  662.5    352.20    -0.10    -9999
JUNGFRAU1  120516 300  211000-211500   00     304.31  662.5    350.38    -0.70    -9999
JUNGFRAU1  120516 300  211500-212000   00     304.30  662.4    350.20    -0.70    -9999
JUNGFRAU1  120516 300  212000-212500   00     304.33  662.4    350.23    -0.70    -9999
JUNGFRAU1  120516 300  212500-213000   00     303.28  662.4    348.85    -1.10    -9999
JUNGFRAU1  120516 300  213000-213500   00     308.93  662.4    355.43     0.80    -9999
JUNGFRAU1  120516 300  213500-214000   00     308.14  662.4    354.48     0.50    -9999
JUNGFRAU1  120516 300  214000-214500   00     309.27  662.2    355.33     0.70    -9999
JUNGFRAU1  120516 300  214500-215000   00     303.67  662.1    348.55    -1.20    -9999
JUNGFRAU1  120516 300  215000-215500   00     303.53  662.2    348.73    -1.10    -9999
JUNGFRAU1  120516 300  215500-220000   00     305.76  662.1    351.12    -0.40    -9999
JUNGFRAU1  120516 300  220000-220500   00     307.49  661.9    352.54     0.00    -9999
JUNGFRAU1  120516 300  220500-221000   00     303.87  662.2    349.19    -1.00    -9999
JUNGFRAU1  120516 300  221000-221500   00     306.26  662.3    352.11    -0.20    -9999
JUNGFRAU1  120516 300  221500-222000   00     305.59  662.2    351.12    -0.40    -9999
JUNGFRAU1  120516 300  222000-222500   00     306.35  662.2    351.87    -0.20    -9999
JUNGFRAU1  120516 300  222500-223000   00     302.17  662.3    347.37    -1.50    -9999
JUNGFRAU1  120516 300  223000-223500   00     307.99  662.2    353.73     0.30    -9999
JUNGFRAU1  120516 300  223500-224000   00     303.55  662.4    349.19    -1.00    -9999
JUNGFRAU1  120516 300  224000-224500   00     304.87  662.4    350.71    -0.60    -9999
JUNGFRAU1  120516 300  224500-225000   00     305.51  662.4    351.51    -0.30    -9999
JUNGFRAU1  120516 300  225000-225500   00     305.60  662.3    351.47    -0.30    -9999
JUNGFRAU1  120516 300  225500-230000   00     305.07  662.4    351.10    -0.50    -9999
JUNGFRAU1  120516 300  230000-230500   00     306.09  662.3    352.06    -0.20    -9999
JUNGFRAU1  120516 300  230500-231000   00     304.38  662.4    350.11    -0.70    -9999
JUNGFRAU1  120516 300  231000-231500   00     308.84  662.3    355.13     0.70    -9999
JUNGFRAU1  120516 300  231500-232000   00     305.72  662.4    351.72    -0.30    -9999
JUNGFRAU1  120516 300  232000-232500   00     305.08  662.4    351.10    -0.50    -9999
JUNGFRAU1  120516 300  232500-233000   00     305.40  662.4    351.40    -0.40    -9999
JUNGFRAU1  120516 300  233000-233500   00     305.73  662.4    351.86    -0.20    -9999
JUNGFRAU1  120516 300  233500-234000   00     307.91  662.6    354.69     0.60    -9999
JUNGFRAU1  120516 300  234000-234500   00     307.10  662.6    353.78     0.30    -9999
JUNGFRAU1  120516 300  234500-235000   00     305.48  662.6    351.98    -0.20    -9999
JUNGFRAU1  120516 300  235000-235500   00     307.46  662.5    353.89     0.30    -9999
JUNGFRAU1  120516 300  235500-240000   00     304.69  662.6    351.16    -0.40    -9999
JUNGFRAU1  120517 300  000000-000500   00     310.38  662.5    357.50     1.40    -9999
JUNGFRAU1  120517 300  000500-001000   00     308.72  662.6    355.76     0.90    -9999
JUNGFRAU1  120517 300  001000-001500   00     305.79  662.5    351.95    -0.20    -9999
JUNGFRAU1  120517 300  001500-002000   00     308.72  662.5    355.59     0.80    -9999
JUNGFRAU1  120517 300  002000-002500   00     307.62  662.6    354.46     0.50    -9999
JUNGFRAU1  120517 300  002500-003000   00     307.68  662.7    354.79     0.60    -9999
JUNGFRAU1  120517 300  003000-003500   00     304.14  662.6    350.39    -0.70    -9999
JUNGFRAU1  120517 300  003500-004000   00     303.88  662.6    350.21    -0.70    -9999
JUNGFRAU1  120517 300  004000-004500   00     305.36  662.7    352.18    -0.10    -9999
JUNGFRAU1  120517 300  004500-005000   00     304.54  662.7    351.04    -0.50    -9999
JUNGFRAU1  120517 300  005000-005500   00     307.08  662.7    354.03     0.40    -9999
JUNGFRAU1  120517 300  005500-010000   00     302.46  662.5    348.12    -1.30    -9999
JUNGFRAU1  120517 300  010000-010500   00     309.39  662.6    356.50     1.10    -9999
JUNGFRAU1  120517 300  010500-011000   00     311.24  662.6    358.66     1.70    -9999
JUNGFRAU1  120517 300  011000-011500   00     307.81  662.7    354.88     0.60    -9999
JUNGFRAU1  120517 300  011500-012000   00     306.11  662.7    353.07     0.10    -9999
JUNGFRAU1  120517 300  012000-012500   00     306.46  662.6    353.12     0.10    -9999
JUNGFRAU1  120517 300  012500-013000   00     306.37  662.7    353.30     0.20    -9999
JUNGFRAU1  120517 300  013000-013500   00     303.89  662.8    350.69    -0.60    -9999
JUNGFRAU1  120517 300  013500-014000   00     304.25  662.8    350.93    -0.50    -9999
JUNGFRAU1  120517 300  014000-014500   00     305.11  662.7    351.69    -0.30    -9999
JUNGFRAU1  120517 300  014500-015000   00     307.16  662.7    354.23     0.40    -9999
JUNGFRAU1  120517 300  015000-015500   00     305.32  662.7    352.09    -0.20    -9999
JUNGFRAU1  120517 300  015500-020000   00     306.31  662.8    353.54     0.20    -9999
JUNGFRAU1  120517 300  020000-020500   00     306.69  662.8    353.87     0.30    -9999
JUNGFRAU1  120517 300  020500-021000   00     305.78  662.7    352.63     0.00    -9999
JUNGFRAU1  120517 300  021000-021500   00     305.26  662.6    351.77    -0.30    -9999
JUNGFRAU1  120517 300  021500-022000   00     301.74  662.8    348.05    -1.30    -9999
JUNGFRAU1  120517 300  022000-022500   00     307.02  662.8    354.13     0.40    -9999
JUNGFRAU1  120517 300  022500-023000   00     305.76  662.8    352.76     0.00    -9999
