JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    159.14      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   120516 3600 000000-010000   00     178.69  647.3    158.82    -0.20    -9999
JUNGFRAU   120516 3600 010000-020000   00     178.74  647.0    158.58    -0.40    -9999
JUNGFRAU   120516 3600 020000-030000   00     178.85  646.7    158.35    -0.50    -9999
JUNGFRAU   120516 3600 030000-040000   00     179.04  646.5    158.28    -0.50    -9999
JUNGFRAU   120516 3600 040000-050000   00     179.89  646.7    159.25     0.10    -9999
JUNGFRAU   120516 3600 050000-060000   00     179.66  646.8    159.21     0.00    -9999
JUNGFRAU   120516 3600 060000-070000   00     179.44  647.3    159.48     0.20    -9999
JUNGFRAU   120516 3600 070000-080000   00     177.62  647.9    158.63    -0.30    -9999
JUNGFRAU   120516 3600 080000-090000   00     177.47  648.3    158.99    -0.10    -9999
JUNGFRAU   120516 3600 090000-100000   00     177.30  649.0    159.54     0.30    -9999
JUNGFRAU   120516 3600 100000-110000   00     177.11  649.5    159.98     0.50    -9999
JUNGFRAU   120516 3600 110000-120000   00     176.22  650.2    159.96     0.50    -9999
JUNGFRAU   120516 3600 120000-130000   00     175.43  650.6    159.67     0.30    -9999
JUNGFRAU   120516 3600 130000-140000   00     174.20  651.1    159.17     0.00    -9999
JUNGFRAU   120516 3600 140000-150000   00     173.47  651.4    158.89    -0.20    -9999
JUNGFRAU   120516 3600 150000-160000   00     172.44  651.5    158.07    -0.70    -9999
JUNGFRAU   120516 3600 160000-170000   00     172.04  651.9    158.06    -0.70    -9999
JUNGFRAU   120516 3600 170000-180000   00     171.75  652.3    158.28    -0.50    -9999
JUNGFRAU   120516 3600 180000-190000   00     171.48  652.6    158.41    -0.50    -9999
JUNGFRAU   120516 3600 190000-200000   00     170.88  653.1    158.40    -0.50    -9999
JUNGFRAU   120516 3600 200000-210000   00     170.71  653.4    158.63    -0.30    -9999
JUNGFRAU   120516 300  210000-210500   00     170.73  653.6    158.81    -0.20    -9999
JUNGFRAU   120516 300  210500-211000   00     169.65  653.5    157.70    -0.90    -9999
JUNGFRAU   120516 300  211000-211500   00     172.72  653.5    160.59     0.90    -9999
JUNGFRAU   120516 300  211500-212000   00     171.36  653.5    159.33     0.10    -9999
JUNGFRAU   120516 300  212000-212500   00     172.99  653.4    160.75     1.00    -9999
JUNGFRAU   120516 300  212500-213000   00     171.59  653.4    159.36     0.10    -9999
JUNGFRAU   120516 300  213000-213500   00     169.48  653.3    157.35    -1.10    -9999
JUNGFRAU   120516 300  213500-214000   00     170.86  653.3    158.58    -0.40    -9999
JUNGFRAU   120516 300  214000-214500   00     172.26  653.3    159.94     0.50    -9999
JUNGFRAU   120516 300  214500-215000   00     171.42  653.2    159.02    -0.10    -9999
JUNGFRAU   120516 300  215000-215500   00     171.15  653.2    158.70    -0.30    -9999
JUNGFRAU   120516 300  215500-220000   00     171.58  653.1    159.08     0.00    -9999
JUNGFRAU   120516 300  220000-220500   00     172.60  653.2    160.06     0.60    -9999
JUNGFRAU   120516 300  220500-221000   00     170.78  653.2    158.24    -0.60    -9999
JUNGFRAU   120516 300  221000-221500   00     172.57  653.2    160.09     0.60    -9999
JUNGFRAU   120516 300  221500-222000   00     172.51  653.2    159.93     0.50    -9999
