KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.7575   % / MB
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    222.38      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KERGUELEN  120516 3600 000000-010000   00     219.03 1002.4    223.26     0.40    -9999
KERGUELEN  120516 3600 010000-020000   00     222.00 1000.6    223.08     0.30    -9999
KERGUELEN  120516 3600 020000-030000   00     223.19  999.1    221.76    -0.30    -9999
KERGUELEN  120516 3600 030000-040000   00     227.77  996.0    221.11    -0.60    -9999
KERGUELEN  120516 3600 040000-050000   00     233.33  993.0    221.49    -0.40    -9999
KERGUELEN  120516 3600 050000-060000   00     236.79  990.8    221.02    -0.60    -9999
KERGUELEN  120516 3600 060000-070000   00     238.71  989.6    220.69    -0.80    -9999
KERGUELEN  120516 3600 070000-080000   00     244.12  986.9    221.18    -0.50    -9999
KERGUELEN  120516 3600 080000-090000   00     245.47  986.2    221.19    -0.50    -9999
KERGUELEN  120516 3600 090000-100000   00     248.56  985.4    222.64     0.10    -9999
KERGUELEN  120516 3600 100000-110000   00     248.61  985.1    222.23    -0.10    -9999
KERGUELEN  120516 3600 110000-120000   00     248.30  984.9    221.65    -0.30    -9999
KERGUELEN  120516 3600 120000-130000   00     249.84  984.5    222.39     0.00    -9999
KERGUELEN  120516 3600 130000-140000   00     250.77  983.8    221.98    -0.20    -9999
KERGUELEN  120516 3600 140000-150000   00     249.71  984.4    222.07    -0.10    -9999
KERGUELEN  120516 3600 150000-160000   00     247.04  984.8    220.37    -0.90    -9999
KERGUELEN  120516 3600 160000-170000   00     247.70  984.8    220.83    -0.70    -9999
KERGUELEN  120516 3600 170000-180000   00     247.89  985.6    222.37     0.00    -9999
KERGUELEN  120516 3600 180000-190000   00     245.90  986.0    221.36    -0.50    -9999
KERGUELEN  120516 3600 190000-200000   00     243.93  987.0    221.25    -0.50    -9999
KERGUELEN  120516 3600 200000-210000   00     245.53  986.8    222.26    -0.10    -9999
KERGUELEN  120516 300  210000-210500   00     245.47  986.8    222.33     0.00    -9999
KERGUELEN  120516 300  210500-211000   00     245.07  986.9    222.06    -0.10    -9999
KERGUELEN  120516 300  211000-211500   00     244.00  987.1    221.41    -0.40    -9999
KERGUELEN  120516 300  211500-212000   00     244.00  987.2    221.63    -0.30    -9999
KERGUELEN  120516 300  212000-212500   00     246.13  987.3    223.66     0.60    -9999
KERGUELEN  120516 300  212500-213000   00     244.40  987.2    222.04    -0.20    -9999
KERGUELEN  120516 300  213000-213500   00     242.27  987.4    220.28    -0.90    -9999
KERGUELEN  120516 300  213500-214000   00     245.73  987.3    223.34     0.40    -9999
KERGUELEN  120516 300  214000-214500   00     243.60  987.4    221.54    -0.40    -9999
KERGUELEN  120516 300  214500-215000   00     243.73  987.4    221.61    -0.30    -9999
KERGUELEN  120516 300  215000-215500   00     242.53  987.3    220.48    -0.90    -9999
KERGUELEN  120516 300  215500-220000   00     244.27  987.5    222.32     0.00    -9999
KERGUELEN  120516 300  220000-220500   00     246.53  987.4    224.29     0.90    -9999
KERGUELEN  120516 300  220500-221000   00     245.33  987.5    223.29     0.40    -9999
KERGUELEN  120516 300  221000-221500   00     244.67  987.5    222.69     0.10    -9999
KERGUELEN  120516 300  221500-222000   00     243.33  987.5    221.52    -0.40    -9999
KERGUELEN  120516 300  222000-222500   00     244.53  987.6    222.75     0.20    -9999
KERGUELEN  120516 300  222500-223000   00     243.07  987.6    221.36    -0.50    -9999
KERGUELEN  120516 300  223000-223500   00     245.20  987.6    223.31     0.40    -9999
KERGUELEN  120516 300  223500-224000   00     242.67  987.6    221.09    -0.60    -9999
KERGUELEN  120516 300  224000-224500   00     245.33  987.5    223.38     0.40    -9999
KERGUELEN  120516 300  224500-225000   00     243.87  987.5    221.96    -0.20    -9999
KERGUELEN  120516 300  225000-225500   00     242.13  987.4    220.25    -1.00    -9999
KERGUELEN  120516 300  225500-230000   00     242.93  987.5    221.06    -0.60    -9999
KERGUELEN  120516 300  230000-230500   00     242.40  987.5    220.62    -0.80    -9999
KERGUELEN  120516 300  230500-231000   00     241.87  987.5    220.23    -1.00    -9999
KERGUELEN  120516 300  231000-231500   00     243.47  987.4    221.46    -0.40    -9999
KERGUELEN  120516 300  231500-232000   00     242.00  987.5    220.22    -1.00    -9999
KERGUELEN  120516 300  232000-232500   00     245.60  987.4    223.31     0.40    -9999
KERGUELEN  120516 300  232500-233000   00     242.93  987.4    220.93    -0.70    -9999
KERGUELEN  120516 300  233000-233500   00     242.27  987.4    220.41    -0.90    -9999
KERGUELEN  120516 300  233500-234000   00     246.13  987.4    223.93     0.70    -9999
KERGUELEN  120516 300  234000-234500   00     244.00  987.5    222.12    -0.10    -9999
KERGUELEN  120516 300  234500-235000   00     244.40  987.4    222.31     0.00    -9999
KERGUELEN  120516 300  235000-235500   00     243.20  987.4    221.13    -0.60    -9999
KERGUELEN  120516 300  235500-240000   00     246.53  987.3    224.11     0.80    -9999
KERGUELEN  120517 300  000000-000500   00     247.07  987.2    224.46     0.90    -9999
KERGUELEN  120517 300  000500-001000   00     246.27  987.1    223.55     0.50    -9999
KERGUELEN  120517 300  001000-001500   00     245.60  987.1    222.81     0.20    -9999
KERGUELEN  120517 300  001500-002000   00     245.87  987.0    223.01     0.30    -9999
KERGUELEN  120517 300  002000-002500   00     244.27  987.0    221.47    -0.40    -9999
KERGUELEN  120517 300  002500-003000   00     245.47  987.0    222.56     0.10    -9999
KERGUELEN  120517 300  003000-003500   00     248.27  986.9    224.91     1.10    -9999
KERGUELEN  120517 300  003500-004000   00     245.33  986.9    222.26    -0.10    -9999
KERGUELEN  120517 300  004000-004500   00     245.73  986.8    222.53     0.10    -9999
KERGUELEN  120517 300  004500-005000   00     247.20  986.8    223.81     0.60    -9999
KERGUELEN  120517 300  005000-005500   00     245.20  986.7    221.87    -0.20    -9999
KERGUELEN  120517 300  005500-010000   00     246.40  986.8    223.04     0.30    -9999
KERGUELEN  120517 300  010000-010500   00     246.13  986.7    222.71     0.10    -0.14
KERGUELEN  120517 300  010500-011000   00     245.07  986.7    221.79    -0.30    -0.56
KERGUELEN  120517 300  011000-011500   00     245.20  986.8    221.96    -0.20    -0.48
KERGUELEN  120517 300  011500-012000   00     244.00  986.8    220.96    -0.60    -0.89
KERGUELEN  120517 300  012000-012500   00     246.53  986.8    223.21     0.40     0.09
KERGUELEN  120517 300  012500-013000   00     244.27  986.8    221.16    -0.50    -0.82
KERGUELEN  120517 300  013000-013500   00     246.67  986.6    223.01     0.30    -0.04
KERGUELEN  120517 300  013500-014000   00     247.87  986.5    223.92     0.70     0.34
KERGUELEN  120517 300  014000-014500   00     248.27  986.5    224.33     0.90     0.53
KERGUELEN  120517 300  014500-015000   00     246.80  986.6    223.13     0.30    -0.09
KERGUELEN  120517 300  015000-015500   00     247.87  986.7    224.19     0.80     0.39
KERGUELEN  120517 300  015500-020000   00     247.73  986.6    224.02     0.70     0.27
KERGUELEN  120517 300  020000-020500   00     250.40  986.7    226.53     1.90     1.46
KERGUELEN  120517 300  020500-021000   00     253.60  986.7    229.47     3.20     2.74
KERGUELEN  120517 300  021000-021500   00     250.40  986.6    226.44     1.80     1.32
KERGUELEN  120517 300  021500-022000   00     253.20  986.8    229.25     3.10     2.60
KERGUELEN  120517 300  022000-022500   00     252.67  986.8    228.72     2.90     2.39
KERGUELEN  120517 300  022500-023000   00     251.33  987.0    227.83     2.50     1.97
KERGUELEN  120517 300  023000-023500   00     251.60  986.9    228.03     2.50     1.95
KERGUELEN  120517 300  023500-024000   00     249.20  987.1    226.08     1.70     1.13
KERGUELEN  120517 300  024000-024500   00     250.93  987.0    227.61     2.40     1.81
KERGUELEN  120517 300  024500-025000   00     250.40  987.0    227.03     2.10     1.49
KERGUELEN  120517 300  025000-025500   00     252.13  987.2    228.93     2.90     2.27
KERGUELEN  120517 300  025500-030000   00     253.60  987.0    230.03     3.40     2.75
KERGUELEN  120517 300  030000-030500   00     252.13  987.0    228.56     2.80     2.13
KERGUELEN  120517 300  030500-031000   00     250.27  987.0    226.96     2.10     1.41
KERGUELEN  120517 300  031000-031500   00     250.67  987.1    227.50     2.30     1.59
KERGUELEN  120517 300  031500-032000   00     251.20  987.1    227.94     2.50     1.77
