KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18NM64    NEUTRON MONITOR	
KINGSTON   STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    207.41      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KINGSTON   120516 3600 000000-010000   00    -999.00 -999.0    207.13    -0.10    -9999
KINGSTON   120516 3600 010000-020000   00    -999.00 -999.0    207.83     0.20    -9999
KINGSTON   120516 3600 020000-030000   00    -999.00 -999.0    207.80     0.20    -9999
KINGSTON   120516 3600 030000-040000   00    -999.00 -999.0    207.83     0.20    -9999
KINGSTON   120516 3600 040000-050000   00    -999.00 -999.0    208.22     0.40    -9999
KINGSTON   120516 3600 050000-060000   00    -999.00 -999.0    206.85    -0.30    -9999
KINGSTON   120516 3600 060000-070000   00    -999.00 -999.0    206.48    -0.40    -9999
KINGSTON   120516 3600 070000-080000   00    -999.00 -999.0    206.08    -0.60    -9999
KINGSTON   120516 3600 080000-090000   00    -999.00 -999.0    205.20    -1.10    -9999
KINGSTON   120516 3600 090000-100000   00    -999.00 -999.0    205.20    -1.10    -9999
KINGSTON   120516 3600 100000-110000   00    -999.00 -999.0    205.42    -1.00    -9999
KINGSTON   120516 3600 110000-120000   00    -999.00 -999.0    205.75    -0.80    -9999
KINGSTON   120516 3600 120000-130000   00    -999.00 -999.0    206.37    -0.50    -9999
KINGSTON   120516 3600 130000-140000   00    -999.00 -999.0    206.40    -0.50    -9999
KINGSTON   120516 3600 140000-150000   00    -999.00 -999.0    207.03    -0.20    -9999
KINGSTON   120516 3600 150000-160000   00    -999.00 -999.0    206.20    -0.60    -9999
KINGSTON   120516 3600 160000-170000   00    -999.00 -999.0    205.50    -0.90    -9999
