KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1006.6  mb     COEFFICIENT   -0.721    % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    170.29      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       120516 3600 000000-010000   00     177.41  999.5    168.61    -1.00    -9999
KIEL       120516 3600 010000-020000   00     178.50 1000.0    170.21     0.00    -9999
KIEL       120516 3600 020000-030000   00     177.39 1000.4    169.59    -0.40    -9999
KIEL       120516 3600 030000-040000   00     177.42 1001.1    170.52     0.10    -9999
KIEL       120516 3600 040000-050000   00     175.84 1001.8    169.91    -0.20    -9999
KIEL       120516 3600 050000-060000   00     175.62 1002.3    170.25     0.00    -9999
KIEL       120516 3600 060000-070000   00     175.57 1002.8    170.80     0.30    -9999
KIEL       120516 3600 070000-080000   00     175.08 1003.2    170.80     0.30    -9999
KIEL       120516 3600 080000-090000   00     174.45 1003.8    170.98     0.40    -9999
KIEL       120516 3600 090000-100000   00     173.68 1004.4    170.97     0.40    -9999
KIEL       120516 3600 100000-110000   00     172.44 1005.0    170.42     0.10    -9999
KIEL       120516 3600 110000-120000   00     171.02 1005.6    169.77    -0.30    -9999
KIEL       120516 3600 120000-130000   00     171.57 1006.2    171.11     0.50    -9999
KIEL       120516 3600 130000-140000   00     171.46 1007.1    172.10     1.10    -9999
KIEL       120516 3600 140000-150000   00     168.68 1007.8    170.13    -0.10    -9999
KIEL       120516 3600 150000-160000   00     169.21 1008.3    171.33     0.60    -9999
KIEL       120516 3600 160000-170000   00     167.03 1008.9    169.87    -0.20    -9999
KIEL       120516 3600 170000-180000   00     165.42 1009.5    168.88    -0.80    -9999
KIEL       120516 3600 180000-190000   00     165.82 1010.0    169.94    -0.20    -9999
KIEL       120516 3600 190000-200000   00     165.10 1010.4    169.67    -0.40    -9999
KIEL       120516 3600 200000-210000   00     164.71 1010.8    169.76    -0.30    -9999
KIEL       120516 300  210000-210500   00     163.22 1010.8    168.25    -1.20    -9999
KIEL       120516 300  210500-211000   00     164.02 1010.9    169.13    -0.70    -9999
KIEL       120516 300  211000-211500   00     163.46 1010.9    168.64    -1.00    -9999
KIEL       120516 300  211500-212000   00     164.07 1010.9    169.28    -0.60    -9999
KIEL       120516 300  212000-212500   00     164.62 1010.8    169.68    -0.40    -9999
KIEL       120516 300  212500-213000   00     164.11 1010.8    169.17    -0.70    -9999
KIEL       120516 300  213000-213500   00     169.77 1010.8    174.98     2.80    -9999
KIEL       120516 300  213500-214000   00     164.34 1010.9    169.48    -0.50    -9999
KIEL       120516 300  214000-214500   00     163.99 1010.9    169.13    -0.70    -9999
KIEL       120516 300  214500-215000   00     161.99 1010.9    167.08    -1.90    -9999
KIEL       120516 300  215000-215500   00     165.29 1010.9    170.49     0.10    -9999
KIEL       120516 300  215500-220000   00     165.48 1011.0    170.76     0.30    -9999
KIEL       120516 300  220000-220500   00     163.00 1010.9    168.16    -1.30    -9999
KIEL       120516 300  220500-221000   00     164.94 1010.8    170.00    -0.20    -9999
KIEL       120516 300  221000-221500   00     164.29 1010.9    169.41    -0.50    -9999
KIEL       120516 300  221500-222000   00     164.49 1010.8    169.57    -0.40    -9999
KIEL       120516 300  222000-222500   00     164.20 1010.8    169.22    -0.60    -9999
KIEL       120516 300  222500-223000   00     163.46 1010.8    168.48    -1.10    -9999
KIEL       120516 300  223000-223500   00     163.63 1010.8    168.66    -1.00    -9999
KIEL       120516 300  223500-224000   00     166.10 1010.8    171.18     0.50    -9999
KIEL       120516 300  224000-224500   00     166.14 1010.8    171.30     0.60    -9999
KIEL       120516 300  224500-225000   00     166.51 1010.7    171.53     0.70    -9999
KIEL       120516 300  225000-225500   00     164.68 1010.7    169.67    -0.40    -9999
KIEL       120516 300  225500-230000   00     165.23 1010.8    170.30     0.00    -9999
KIEL       120516 300  230000-230500   00     163.87 1010.7    168.81    -0.90    -9999
KIEL       120516 300  230500-231000   00     165.36 1010.7    170.36     0.00    -9999
KIEL       120516 300  231000-231500   00     166.91 1010.7    171.96     1.00    -9999
KIEL       120516 300  231500-232000   00     165.21 1010.7    170.18    -0.10    -9999
KIEL       120516 300  232000-232500   00     165.95 1010.6    170.80     0.30    -9999
KIEL       120516 300  232500-233000   00     167.64 1010.6    172.54     1.30    -9999
KIEL       120516 300  233000-233500   00     165.53 1010.6    170.37     0.00    -9999
KIEL       120516 300  233500-234000   00     164.36 1010.6    169.16    -0.70    -9999
KIEL       120516 300  234000-234500   00     163.38 1010.6    168.15    -1.30    -9999
KIEL       120516 300  234500-235000   00     163.78 1010.6    168.57    -1.00    -9999
KIEL       120516 300  235000-235500   00     163.40 1010.6    168.17    -1.20    -9999
KIEL       120516 300  235500-240000   00     165.83 1010.6    170.68     0.20    -9999
KIEL       120517 300  000000-000500   00     164.52 1010.6    169.33    -0.60    -9999
KIEL       120517 300  000500-001000   00     168.39 1010.5    173.22     1.70    -9999
KIEL       120517 300  001000-001500   00     165.32 1010.5    170.05    -0.10    -9999
KIEL       120517 300  001500-002000   00     164.21 1010.5    168.84    -0.90    -9999
KIEL       120517 300  002000-002500   00     167.47 1010.5    172.29     1.20    -9999
KIEL       120517 300  002500-003000   00     164.93 1010.5    169.65    -0.40    -9999
