LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     mb     COEFFICIENT   -0.72     % / mb
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    470.15      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LOMNICKY   120516 3600 000000-010000   00     481.19  730.1    470.38     0.00    -9999
LOMNICKY   120516 3600 010000-020000   00     482.03  729.8    470.27     0.00    -9999
LOMNICKY   120516 3600 020000-030000   00     483.18  729.5    470.39     0.10    -9999
LOMNICKY   120516 3600 030000-040000   00     486.59  729.4    473.38     0.70    -9999
LOMNICKY   120516 3600 040000-050000   00     485.94  729.3    472.47     0.50    -9999
LOMNICKY   120516 3600 050000-060000   00     486.23  729.4    472.85     0.60    -9999
LOMNICKY   120516 3600 060000-070000   00     486.95  729.3    473.46     0.70    -9999
LOMNICKY   120516 3600 070000-080000   00     486.79  729.4    473.37     0.70    -9999
LOMNICKY   120516 3600 080000-090000   00     488.29  729.4    474.91     1.00    -9999
LOMNICKY   120516 3600 090000-100000   00     486.85  729.5    473.79     0.80    -9999
LOMNICKY   120516 3600 100000-110000   00     487.79  729.4    474.64     1.00    -9999
LOMNICKY   120516 3600 110000-120000   00     488.33  729.5    475.39     1.10    -9999
LOMNICKY   120516 3600 120000-130000   00     487.64  729.1    473.47     0.70    -9999
LOMNICKY   120516 3600 130000-140000   00     487.02  729.1    472.85     0.60    -9999
LOMNICKY   120516 3600 140000-150000   00     485.23  729.1    470.93     0.20    -9999
LOMNICKY   120516 3600 150000-160000   00     485.61  729.0    470.87     0.20    -9999
LOMNICKY   120516 3600 160000-170000   00     484.46  728.9    469.57    -0.10    -9999
LOMNICKY   120516 3600 170000-180000   00     485.25  728.9    470.42     0.10    -9999
LOMNICKY   120516 3600 180000-190000   00     484.64  729.0    469.93     0.00    -9999
LOMNICKY   120516 3600 190000-200000   00     484.93  728.8    469.74    -0.10    -9999
LOMNICKY   120516 3600 200000-210000   00     485.05  728.8    469.79    -0.10    -9999
LOMNICKY   120516 300  210000-210500   00     487.26  728.8    472.01     0.40    -9999
LOMNICKY   120516 300  210500-211000   00     484.96  728.8    469.68    -0.10    -9999
LOMNICKY   120516 300  211000-211500   00     487.95  728.7    472.19     0.40    -9999
LOMNICKY   120516 300  211500-212000   00     487.59  728.7    471.89     0.40    -9999
LOMNICKY   120516 300  212000-212500   00     486.74  728.7    471.18     0.20    -9999
LOMNICKY   120516 300  212500-213000   00     490.33  728.7    474.70     1.00    -9999
LOMNICKY   120516 300  213000-213500   00     488.24  728.8    472.99     0.60    -9999
LOMNICKY   120516 300  213500-214000   00     487.18  728.7    471.43     0.30    -9999
LOMNICKY   120516 300  214000-214500   00     486.62  728.8    471.44     0.30    -9999
LOMNICKY   120516 300  214500-215000   00     485.62  728.8    470.20     0.00    -9999
LOMNICKY   120516 300  215000-215500   00     485.54  728.7    470.10     0.00    -9999
LOMNICKY   120516 300  215500-220000   00     485.69  728.7    470.12     0.00    -9999
LOMNICKY   120516 300  220000-220500   00     488.51  728.7    472.92     0.60    -9999
LOMNICKY   120516 300  220500-221000   00     483.71  728.8    468.39    -0.40    -9999
LOMNICKY   120516 300  221000-221500   00     485.15  728.7    469.63    -0.10    -9999
LOMNICKY   120516 300  221500-222000   00     485.95  728.5    469.74    -0.10    -9999
