MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    1007    mb     COEFFICIENT   -0.71     % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    269.63      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    120516 3600 000000-010000   00     258.30  979.5    270.52     0.30    -9999
MCMURDO    120516 3600 010000-020000   00     259.67  979.3    271.63     0.70    -9999
MCMURDO    120516 3600 020000-030000   00     260.40  978.9    271.55     0.70    -9999
MCMURDO    120516 3600 030000-040000   00     260.31  978.7    271.09     0.50    -9999
MCMURDO    120516 3600 040000-050000   00     260.15  978.9    271.21     0.60    -9999
MCMURDO    120516 3600 050000-060000   00     260.13  978.7    270.87     0.50    -9999
MCMURDO    120516 3600 060000-070000   00     259.64  978.4    269.80     0.10    -9999
MCMURDO    120516 3600 070000-080000   00     259.11  978.9    270.17     0.20    -9999
MCMURDO    120516 3600 080000-090000   00     259.32  978.9    270.52     0.30    -9999
MCMURDO    120516 3600 090000-100000   00     258.52  979.2    270.13     0.20    -9999
MCMURDO    120516 3600 100000-110000   00     258.47  979.5    270.64     0.40    -9999
MCMURDO    120516 3600 110000-120000   00     258.00  979.7    270.63     0.40    -9999
MCMURDO    120516 3600 120000-130000   00     256.54  979.9    269.57     0.00    -9999
MCMURDO    120516 3600 130000-140000   00     257.41  980.2    270.96     0.50    -9999
MCMURDO    120516 3600 140000-150000   00     257.99  980.1    271.50     0.70    -9999
MCMURDO    120516 3600 150000-160000   00     257.55  980.0    270.83     0.40    -9999
MCMURDO    120516 3600 160000-170000   00     256.49  980.3    270.26     0.20    -9999
MCMURDO    120516 3600 170000-180000   00     254.60  981.0    269.74     0.00    -9999
MCMURDO    120516 3600 180000-190000   00     253.74  981.5    269.86     0.10    -9999
MCMURDO    120516 3600 190000-200000   00     251.51  982.5    269.47    -0.10    -9999
MCMURDO    120516 3600 200000-210000   00     249.47  983.6    269.43    -0.10    -9999
MCMURDO    120516 300  210000-210500   00     250.04  984.1    270.95     0.50    -9999
MCMURDO    120516 300  210500-211000   00     248.09  984.3    269.22    -0.20    -9999
MCMURDO    120516 300  211000-211500   00     250.55  984.3    271.93     0.90    -9999
MCMURDO    120516 300  211500-212000   00     249.64  984.5    271.30     0.60    -9999
MCMURDO    120516 300  212000-212500   00     247.59  984.6    269.46    -0.10    -9999
MCMURDO    120516 300  212500-213000   00     252.08  984.9    274.85     1.90    -9999
MCMURDO    120516 300  213000-213500   00     245.96  985.1    268.49    -0.40    -9999
MCMURDO    120516 300  213500-214000   00     249.55  985.2    272.63     1.10    -9999
