MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    982     mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    180.38      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    120516 3600 000000-010000   00     182.68  977.7    179.66    -0.40    -9999
MAGADAN    120516 3600 010000-020000   00     183.74  977.4    180.38     0.00    -9999
MAGADAN    120516 3600 020000-030000   00     184.08  977.1    180.34     0.00    -9999
MAGADAN    120516 3600 030000-040000   00     185.24  976.7    180.91     0.30    -9999
MAGADAN    120516 3600 040000-050000   00     184.61  976.4    179.86    -0.30    -9999
MAGADAN    120516 3600 050000-060000   00     184.48  976.3    179.64    -0.40    -9999
MAGADAN    120516 3600 060000-070000   00     184.25  976.3    179.42    -0.50    -9999
MAGADAN    120516 3600 070000-080000   00     183.50  976.5    178.92    -0.80    -9999
MAGADAN    120516 3600 080000-090000   00     181.87  976.8    177.72    -1.50    -9999
MAGADAN    120516 3600 090000-100000   00     181.63  977.3    178.14    -1.20    -9999
MAGADAN    120516 3600 100000-110000   00     181.32  977.8    178.46    -1.10    -9999
MAGADAN    120516 3600 110000-120000   00     181.09  978.1    178.62    -1.00    -9999
MAGADAN    120516 3600 120000-130000   00     181.15  978.4    179.04    -0.70    -9999
MAGADAN    120516 3600 130000-140000   00     181.16  978.7    179.53    -0.50    -9999
MAGADAN    120516 3600 140000-150000   00     181.04  978.9    179.58    -0.40    -9999
MAGADAN    120516 3600 150000-160000   00     179.83  978.9    178.42    -1.10    -9999
MAGADAN    120516 3600 160000-170000   00     180.08  978.9    178.71    -0.90    -9999
MAGADAN    120516 3600 170000-180000   00     180.43  979.2    179.39    -0.50    -9999
MAGADAN    120516 3600 180000-190000   00     179.61  979.3    178.66    -1.00    -9999
MAGADAN    120516 3600 190000-200000   00     180.01  979.5    179.31    -0.60    -9999
MAGADAN    120516 3600 200000-210000   00     180.28  979.6    179.77    -0.30    -9999
MAGADAN    120516 300  210000-210500   00     180.79  979.5    180.15    -0.10    -9999
MAGADAN    120516 300  210500-211000   00     181.18  979.6    180.61     0.10    -9999
MAGADAN    120516 300  211000-211500   00     179.79  979.6    179.24    -0.60    -9999
MAGADAN    120516 300  211500-212000   00     181.86  979.6    181.35     0.50    -9999
MAGADAN    120516 300  212000-212500   00     181.10  979.7    180.66     0.20    -9999
MAGADAN    120516 300  212500-213000   00     183.27  979.7    182.83     1.40    -9999
MAGADAN    120516 300  213000-213500   00     182.57  979.7    182.12     1.00    -9999
MAGADAN    120516 300  213500-214000   00     181.30  979.7    180.87     0.30    -9999
MAGADAN    120516 300  214000-214500   00     180.03  979.6    179.58    -0.40    -9999
MAGADAN    120516 300  214500-215000   00     183.51  979.7    183.08     1.50    -9999
MAGADAN    120516 300  215000-215500   00     177.68  979.6    177.23    -1.70    -9999
MAGADAN    120516 300  215500-220000   00     181.29  979.7    180.93     0.30    -9999
MAGADAN    120516 300  220000-220500   00     181.29  979.7    180.93     0.30    -9999
MAGADAN    120516 300  220500-221000   00     180.57  979.7    180.17    -0.10    -9999
MAGADAN    120516 300  221000-221500   00     177.78  979.6    177.33    -1.70    -9999
MAGADAN    120516 300  221500-222000   00     177.61  979.6    177.10    -1.80    -9999
MAGADAN    120516 300  222000-222500   00     180.90  979.6    180.42     0.00    -9999
MAGADAN    120516 300  222500-223000   00     179.39  979.7    179.00    -0.80    -9999
MAGADAN    120516 300  223000-223500   00     179.03  979.7    178.67    -0.90    -9999
MAGADAN    120516 300  223500-224000   00     180.46  979.8    180.17    -0.10    -9999
MAGADAN    120516 300  224000-224500   00     178.49  979.7    178.15    -1.20    -9999
MAGADAN    120516 300  224500-225000   00     180.43  979.8    180.15    -0.10    -9999
MAGADAN    120516 300  225000-225500   00     180.80  979.7    180.44     0.00    -9999
MAGADAN    120516 300  225500-230000   00     179.55  979.7    179.22    -0.60    -9999
MAGADAN    120516 300  230000-230500   00     180.15  979.8    179.84    -0.30    -9999
MAGADAN    120516 300  230500-231000   00     182.05  979.8    181.75     0.80    -9999
MAGADAN    120516 300  231000-231500   00     178.44  979.8    178.15    -1.20    -9999
MAGADAN    120516 300  231500-232000   00     179.78  979.8    179.46    -0.50    -9999
MAGADAN    120516 300  232000-232500   00     178.51  979.8    178.20    -1.20    -9999
MAGADAN    120516 300  232500-233000   00     181.20  979.8    180.89     0.30    -9999
MAGADAN    120516 300  233000-233500   00     182.36  979.8    182.04     0.90    -9999
MAGADAN    120516 300  233500-234000   00     181.42  979.7    181.08     0.40    -9999
MAGADAN    120516 300  234000-234500   00     179.97  979.7    179.56    -0.50    -9999
MAGADAN    120516 300  234500-235000   00     180.98  979.6    180.40     0.00    -9999
MAGADAN    120516 300  235000-235500   00     181.24  979.5    180.63     0.10    -9999
MAGADAN    120516 300  235500-240000   00     180.91  979.5    180.29     0.00    -9999
MAGADAN    120517 300  000000-000500   00     183.47  979.5    182.81     1.30    -9999
MAGADAN    120517 300  000500-001000   00     179.88  979.6    179.31    -0.60    -9999
MAGADAN    120517 300  001000-001500   00     182.25  979.6    181.70     0.70    -9999
MAGADAN    120517 300  001500-002000   00     181.15  979.6    180.63     0.10    -9999
MAGADAN    120517 300  002000-002500   00     180.92  979.6    180.40     0.00    -9999
MAGADAN    120517 300  002500-003000   00     180.34  979.6    179.84    -0.30    -9999
MAGADAN    120517 300  003000-003500   00     180.93  979.6    180.44     0.00    -9999
MAGADAN    120517 300  003500-004000   00     180.80  979.6    180.27    -0.10    -9999
MAGADAN    120517 300  004000-004500   00     179.86  979.6    179.36    -0.60    -9999
MAGADAN    120517 300  004500-005000   00     180.56  979.6    180.05    -0.20    -9999
MAGADAN    120517 300  005000-005500   00     180.40  979.5    179.81    -0.30    -9999
MAGADAN    120517 300  005500-010000   00     182.92  979.5    182.30     1.10    -9999
MAGADAN    120517 300  010000-010500   00     181.39  979.4    180.67     0.20     0.20
MAGADAN    120517 300  010500-011000   00     180.47  979.4    179.73    -0.40    -0.40
MAGADAN    120517 300  011000-011500   00     181.76  979.4    180.93     0.30     0.30
MAGADAN    120517 300  011500-012000   00     180.36  979.3    179.49    -0.50    -0.50
MAGADAN    120517 300  012000-012500   00     180.73  979.3    179.77    -0.30    -0.30
MAGADAN    120517 300  012500-013000   00     182.42  979.2    181.32     0.50     0.50
MAGADAN    120517 300  013000-013500   00     181.38  979.1    180.25    -0.10    -0.10
MAGADAN    120517 300  013500-014000   00     182.38  979.1    181.23     0.50     0.50
MAGADAN    120517 300  014000-014500   00     181.12  979.1    179.92    -0.30    -0.30
MAGADAN    120517 300  014500-015000   00     181.95  979.1    180.77     0.20     0.20
MAGADAN    120517 300  015000-015500   00     184.01  979.1    182.80     1.30     1.30
MAGADAN    120517 300  015500-020000   00     182.70  979.1    181.49     0.60     0.60
MAGADAN    120517 300  020000-020500   00     182.47  979.1    181.24     0.50     0.50
MAGADAN    120517 300  020500-021000   00     183.05  979.0    181.79     0.80     0.80
MAGADAN    120517 300  021000-021500   00     183.62  979.0    182.27     1.00     1.00
MAGADAN    120517 300  021500-022000   00     185.58  978.9    184.07     2.00     2.00
MAGADAN    120517 300  022000-022500   00     182.89  978.9    181.40     0.60     0.60
MAGADAN    120517 300  022500-023000   00     185.03  978.9    183.50     1.70     1.70
MAGADAN    120517 300  023000-023500   00     182.28  978.8    180.77     0.20     0.20
MAGADAN    120517 300  023500-024000   00     184.77  978.8    183.24     1.60     1.60
MAGADAN    120517 300  024000-024500   00     185.19  978.8    183.57     1.80     1.80
MAGADAN    120517 300  024500-025000   00     184.81  978.8    183.22     1.60     1.60
MAGADAN    120517 300  025000-025500   00     184.37  978.8    182.74     1.30     1.30
MAGADAN    120517 300  025500-030000   00     185.15  978.7    183.43     1.70     1.70
MAGADAN    120517 300  030000-030500   00     183.89  978.6    182.11     1.00     1.00
MAGADAN    120517 300  030500-031000   00     185.86  978.6    184.02     2.00     2.00
MAGADAN    120517 300  031000-031500   00     183.53  978.6    181.63     0.70     0.70
MAGADAN    120517 300  031500-032000   00     184.40  978.5    182.43     1.10     1.10
MAGADAN    120517 300  032000-032500   00     185.45  978.4    183.38     1.70     1.70
MAGADAN    120517 300  032500-033000   00     184.58  978.5    182.54     1.20     1.20
MAGADAN    120517 300  033000-033500   00     182.09  978.5    180.08    -0.20    -0.20
MAGADAN    120517 300  033500-034000   00     184.46  978.5    182.44     1.10     1.10
MAGADAN    120517 300  034000-034500   00     183.52  978.4    181.46     0.60     0.60
MAGADAN    120517 300  034500-035000   00     183.42  978.4    181.34     0.50     0.50
MAGADAN    120517 300  035000-035500   00     183.83  978.4    181.72     0.70     0.70
MAGADAN    120517 300  035500-040000   00     183.80  978.4    181.66     0.70     0.70
